Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Shannon,Missouri,0,0,US
2020-01-23,Shannon,Missouri,0,0,US
2020-01-24,Shannon,Missouri,0,0,US
2020-01-25,Shannon,Missouri,0,0,US
2020-01-26,Shannon,Missouri,0,0,US
2020-01-27,Shannon,Missouri,0,0,US
2020-01-28,Shannon,Missouri,0,0,US
2020-01-29,Shannon,Missouri,0,0,US
2020-01-30,Shannon,Missouri,0,0,US
2020-01-31,Shannon,Missouri,0,0,US
2020-02-01,Shannon,Missouri,0,0,US
2020-02-02,Shannon,Missouri,0,0,US
2020-02-03,Shannon,Missouri,0,0,US
2020-02-04,Shannon,Missouri,0,0,US
2020-02-05,Shannon,Missouri,0,0,US
2020-02-06,Shannon,Missouri,0,0,US
2020-02-07,Shannon,Missouri,0,0,US
2020-02-08,Shannon,Missouri,0,0,US
2020-02-09,Shannon,Missouri,0,0,US
2020-02-10,Shannon,Missouri,0,0,US
2020-02-11,Shannon,Missouri,0,0,US
2020-02-12,Shannon,Missouri,0,0,US
2020-02-13,Shannon,Missouri,0,0,US
2020-02-14,Shannon,Missouri,0,0,US
2020-02-15,Shannon,Missouri,0,0,US
2020-02-16,Shannon,Missouri,0,0,US
2020-02-17,Shannon,Missouri,0,0,US
2020-02-18,Shannon,Missouri,0,0,US
2020-02-19,Shannon,Missouri,0,0,US
2020-02-20,Shannon,Missouri,0,0,US
2020-02-21,Shannon,Missouri,0,0,US
2020-02-22,Shannon,Missouri,0,0,US
2020-02-23,Shannon,Missouri,0,0,US
2020-02-24,Shannon,Missouri,0,0,US
2020-02-25,Shannon,Missouri,0,0,US
2020-02-26,Shannon,Missouri,0,0,US
2020-02-27,Shannon,Missouri,0,0,US
2020-02-28,Shannon,Missouri,0,0,US
2020-02-29,Shannon,Missouri,0,0,US
2020-03-01,Shannon,Missouri,0,0,US
2020-03-02,Shannon,Missouri,0,0,US
2020-03-03,Shannon,Missouri,0,0,US
2020-03-04,Shannon,Missouri,0,0,US
2020-03-05,Shannon,Missouri,0,0,US
2020-03-06,Shannon,Missouri,0,0,US
2020-03-07,Shannon,Missouri,0,0,US
2020-03-08,Shannon,Missouri,0,0,US
2020-03-09,Shannon,Missouri,0,0,US
2020-03-10,Shannon,Missouri,0,0,US
2020-03-11,Shannon,Missouri,0,0,US
2020-03-12,Shannon,Missouri,0,0,US
2020-03-13,Shannon,Missouri,0,0,US
2020-03-14,Shannon,Missouri,0,0,US
2020-03-15,Shannon,Missouri,0,0,US
2020-03-16,Shannon,Missouri,0,0,US
2020-03-17,Shannon,Missouri,0,0,US
2020-03-18,Shannon,Missouri,0,0,US
2020-03-19,Shannon,Missouri,0,0,US
2020-03-20,Shannon,Missouri,0,0,US
2020-03-21,Shannon,Missouri,0,0,US
2020-03-22,Shannon,Missouri,0,0,US
2020-03-23,Shannon,Missouri,0,0,US
2020-03-24,Shannon,Missouri,0,0,US
2020-03-25,Shannon,Missouri,0,0,US
2020-03-26,Shannon,Missouri,0,0,US
2020-03-27,Shannon,Missouri,0,0,US
2020-03-28,Shannon,Missouri,0,0,US
2020-03-29,Shannon,Missouri,0,0,US
2020-03-30,Shannon,Missouri,0,0,US
2020-03-31,Shannon,Missouri,0,0,US
2020-04-01,Shannon,Missouri,0,0,US
2020-04-02,Shannon,Missouri,0,0,US
2020-04-03,Shannon,Missouri,0,0,US
2020-04-04,Shannon,Missouri,0,0,US
2020-04-05,Shannon,Missouri,0,0,US
2020-04-06,Shannon,Missouri,0,0,US
2020-04-07,Shannon,Missouri,0,0,US
2020-04-08,Shannon,Missouri,0,0,US
2020-04-09,Shannon,Missouri,0,0,US
2020-04-10,Shannon,Missouri,0,0,US
2020-04-11,Shannon,Missouri,0,0,US
2020-04-12,Shannon,Missouri,0,0,US
2020-04-13,Shannon,Missouri,0,0,US
2020-04-14,Shannon,Missouri,0,0,US
2020-04-15,Shannon,Missouri,0,0,US
2020-04-16,Shannon,Missouri,0,0,US
2020-04-17,Shannon,Missouri,0,0,US
2020-04-18,Shannon,Missouri,0,0,US
2020-04-19,Shannon,Missouri,0,0,US
2020-04-20,Shannon,Missouri,0,0,US
2020-04-21,Shannon,Missouri,0,0,US
2020-04-22,Shannon,Missouri,0,0,US
2020-04-23,Shannon,Missouri,0,0,US
2020-04-24,Shannon,Missouri,0,0,US
2020-04-25,Shannon,Missouri,0,0,US
2020-04-26,Shannon,Missouri,0,0,US
2020-04-27,Shannon,Missouri,0,0,US
2020-04-28,Shannon,Missouri,0,0,US
2020-04-29,Shannon,Missouri,0,0,US
2020-04-30,Shannon,Missouri,0,0,US
2020-05-01,Shannon,Missouri,0,0,US
2020-05-02,Shannon,Missouri,0,0,US
2020-05-03,Shannon,Missouri,0,0,US
2020-05-04,Shannon,Missouri,0,0,US
2020-05-05,Shannon,Missouri,0,0,US
2020-05-06,Shannon,Missouri,0,0,US
2020-05-07,Shannon,Missouri,0,0,US
2020-05-08,Shannon,Missouri,0,0,US
2020-05-09,Shannon,Missouri,0,0,US
2020-05-10,Shannon,Missouri,0,0,US
2020-05-11,Shannon,Missouri,0,0,US
2020-05-12,Shannon,Missouri,0,0,US
2020-05-13,Shannon,Missouri,0,0,US
2020-05-14,Shannon,Missouri,0,0,US
2020-05-15,Shannon,Missouri,0,0,US
2020-05-16,Shannon,Missouri,0,0,US
2020-05-17,Shannon,Missouri,0,0,US
2020-05-18,Shannon,Missouri,0,0,US
2020-05-19,Shannon,Missouri,0,0,US
2020-05-20,Shannon,Missouri,0,0,US
2020-05-21,Shannon,Missouri,0,0,US
2020-05-22,Shannon,Missouri,0,0,US
2020-05-23,Shannon,Missouri,0,0,US
2020-05-24,Shannon,Missouri,0,0,US
2020-05-25,Shannon,Missouri,0,0,US
2020-05-26,Shannon,Missouri,0,0,US
2020-05-27,Shannon,Missouri,0,0,US
2020-05-28,Shannon,Missouri,0,0,US
2020-05-29,Shannon,Missouri,0,0,US
2020-05-30,Shannon,Missouri,0,0,US
2020-05-31,Shannon,Missouri,0,0,US
2020-06-01,Shannon,Missouri,0,0,US
2020-06-02,Shannon,Missouri,0,0,US
2020-06-03,Shannon,Missouri,0,0,US
2020-06-04,Shannon,Missouri,0,0,US
2020-06-05,Shannon,Missouri,0,0,US
2020-06-06,Shannon,Missouri,0,0,US
2020-06-07,Shannon,Missouri,0,0,US
2020-06-08,Shannon,Missouri,0,0,US
2020-06-09,Shannon,Missouri,0,0,US
2020-06-10,Shannon,Missouri,0,0,US
2020-06-11,Shannon,Missouri,0,0,US
2020-06-12,Shannon,Missouri,6,0,US
2020-06-13,Shannon,Missouri,6,0,US
2020-06-14,Shannon,Missouri,6,0,US
2020-06-15,Shannon,Missouri,6,0,US
2020-06-16,Shannon,Missouri,6,0,US
2020-06-17,Shannon,Missouri,6,0,US
2020-06-18,Shannon,Missouri,6,0,US
2020-06-19,Shannon,Missouri,6,0,US
2020-06-20,Shannon,Missouri,6,0,US
2020-06-21,Shannon,Missouri,6,0,US
2020-06-22,Shannon,Missouri,6,0,US
2020-06-23,Shannon,Missouri,6,0,US
2020-06-24,Shannon,Missouri,6,0,US
2020-06-25,Shannon,Missouri,6,0,US
2020-06-26,Shannon,Missouri,6,0,US
2020-06-27,Shannon,Missouri,6,0,US
2020-06-28,Shannon,Missouri,6,0,US
2020-06-29,Shannon,Missouri,7,0,US
2020-06-30,Shannon,Missouri,8,0,US
2020-07-01,Shannon,Missouri,8,0,US
2020-07-02,Shannon,Missouri,11,0,US
2020-07-03,Shannon,Missouri,13,0,US
2020-07-04,Shannon,Missouri,17,0,US
2020-07-05,Shannon,Missouri,18,0,US
2020-07-06,Shannon,Missouri,19,0,US
2020-07-07,Shannon,Missouri,22,0,US
2020-07-08,Shannon,Missouri,23,0,US
2020-07-09,Shannon,Missouri,23,0,US
2020-07-10,Shannon,Missouri,24,0,US
2020-07-11,Shannon,Missouri,27,0,US
2020-07-12,Shannon,Missouri,27,0,US
2020-07-13,Shannon,Missouri,28,0,US
2020-07-14,Shannon,Missouri,29,0,US
2020-07-15,Shannon,Missouri,29,0,US
2020-07-16,Shannon,Missouri,29,0,US
2020-07-17,Shannon,Missouri,29,0,US
2020-07-18,Shannon,Missouri,30,0,US
2020-07-19,Shannon,Missouri,31,0,US
2020-07-20,Shannon,Missouri,33,0,US
2020-07-21,Shannon,Missouri,35,0,US
2020-07-22,Shannon,Missouri,35,0,US
