Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Shelby,Kentucky,0,0,US
2020-01-23,Shelby,Kentucky,0,0,US
2020-01-24,Shelby,Kentucky,0,0,US
2020-01-25,Shelby,Kentucky,0,0,US
2020-01-26,Shelby,Kentucky,0,0,US
2020-01-27,Shelby,Kentucky,0,0,US
2020-01-28,Shelby,Kentucky,0,0,US
2020-01-29,Shelby,Kentucky,0,0,US
2020-01-30,Shelby,Kentucky,0,0,US
2020-01-31,Shelby,Kentucky,0,0,US
2020-02-01,Shelby,Kentucky,0,0,US
2020-02-02,Shelby,Kentucky,0,0,US
2020-02-03,Shelby,Kentucky,0,0,US
2020-02-04,Shelby,Kentucky,0,0,US
2020-02-05,Shelby,Kentucky,0,0,US
2020-02-06,Shelby,Kentucky,0,0,US
2020-02-07,Shelby,Kentucky,0,0,US
2020-02-08,Shelby,Kentucky,0,0,US
2020-02-09,Shelby,Kentucky,0,0,US
2020-02-10,Shelby,Kentucky,0,0,US
2020-02-11,Shelby,Kentucky,0,0,US
2020-02-12,Shelby,Kentucky,0,0,US
2020-02-13,Shelby,Kentucky,0,0,US
2020-02-14,Shelby,Kentucky,0,0,US
2020-02-15,Shelby,Kentucky,0,0,US
2020-02-16,Shelby,Kentucky,0,0,US
2020-02-17,Shelby,Kentucky,0,0,US
2020-02-18,Shelby,Kentucky,0,0,US
2020-02-19,Shelby,Kentucky,0,0,US
2020-02-20,Shelby,Kentucky,0,0,US
2020-02-21,Shelby,Kentucky,0,0,US
2020-02-22,Shelby,Kentucky,0,0,US
2020-02-23,Shelby,Kentucky,0,0,US
2020-02-24,Shelby,Kentucky,0,0,US
2020-02-25,Shelby,Kentucky,0,0,US
2020-02-26,Shelby,Kentucky,0,0,US
2020-02-27,Shelby,Kentucky,0,0,US
2020-02-28,Shelby,Kentucky,0,0,US
2020-02-29,Shelby,Kentucky,0,0,US
2020-03-01,Shelby,Kentucky,0,0,US
2020-03-02,Shelby,Kentucky,0,0,US
2020-03-03,Shelby,Kentucky,0,0,US
2020-03-04,Shelby,Kentucky,0,0,US
2020-03-05,Shelby,Kentucky,0,0,US
2020-03-06,Shelby,Kentucky,0,0,US
2020-03-07,Shelby,Kentucky,0,0,US
2020-03-08,Shelby,Kentucky,0,0,US
2020-03-09,Shelby,Kentucky,0,0,US
2020-03-10,Shelby,Kentucky,0,0,US
2020-03-11,Shelby,Kentucky,0,0,US
2020-03-12,Shelby,Kentucky,0,0,US
2020-03-13,Shelby,Kentucky,0,0,US
2020-03-14,Shelby,Kentucky,0,0,US
2020-03-15,Shelby,Kentucky,0,0,US
2020-03-16,Shelby,Kentucky,0,0,US
2020-03-17,Shelby,Kentucky,0,0,US
2020-03-18,Shelby,Kentucky,0,0,US
2020-03-19,Shelby,Kentucky,0,0,US
2020-03-20,Shelby,Kentucky,0,0,US
2020-03-21,Shelby,Kentucky,0,0,US
2020-03-22,Shelby,Kentucky,0,0,US
2020-03-23,Shelby,Kentucky,0,0,US
2020-03-24,Shelby,Kentucky,0,0,US
2020-03-25,Shelby,Kentucky,0,0,US
2020-03-26,Shelby,Kentucky,0,0,US
2020-03-27,Shelby,Kentucky,0,0,US
2020-03-28,Shelby,Kentucky,0,0,US
2020-03-29,Shelby,Kentucky,1,0,US
2020-03-30,Shelby,Kentucky,1,0,US
2020-03-31,Shelby,Kentucky,2,0,US
2020-04-01,Shelby,Kentucky,2,0,US
2020-04-02,Shelby,Kentucky,2,0,US
2020-04-03,Shelby,Kentucky,2,0,US
2020-04-04,Shelby,Kentucky,7,0,US
2020-04-05,Shelby,Kentucky,7,0,US
2020-04-06,Shelby,Kentucky,7,0,US
2020-04-07,Shelby,Kentucky,8,0,US
2020-04-08,Shelby,Kentucky,8,0,US
2020-04-09,Shelby,Kentucky,11,0,US
2020-04-10,Shelby,Kentucky,11,0,US
2020-04-11,Shelby,Kentucky,11,0,US
2020-04-12,Shelby,Kentucky,18,0,US
2020-04-13,Shelby,Kentucky,18,0,US
2020-04-14,Shelby,Kentucky,18,1,US
2020-04-15,Shelby,Kentucky,19,1,US
2020-04-16,Shelby,Kentucky,21,2,US
2020-04-17,Shelby,Kentucky,22,2,US
2020-04-18,Shelby,Kentucky,23,2,US
2020-04-19,Shelby,Kentucky,23,2,US
2020-04-20,Shelby,Kentucky,22,2,US
2020-04-21,Shelby,Kentucky,24,2,US
2020-04-22,Shelby,Kentucky,23,2,US
2020-04-23,Shelby,Kentucky,23,2,US
2020-04-24,Shelby,Kentucky,26,3,US
2020-04-25,Shelby,Kentucky,26,3,US
2020-04-26,Shelby,Kentucky,28,3,US
