Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Sonoma,California,0,0,US
2020-01-23,Sonoma,California,0,0,US
2020-01-24,Sonoma,California,0,0,US
2020-01-25,Sonoma,California,0,0,US
2020-01-26,Sonoma,California,0,0,US
2020-01-27,Sonoma,California,0,0,US
2020-01-28,Sonoma,California,0,0,US
2020-01-29,Sonoma,California,0,0,US
2020-01-30,Sonoma,California,0,0,US
2020-01-31,Sonoma,California,0,0,US
2020-02-01,Sonoma,California,0,0,US
2020-02-02,Sonoma,California,0,0,US
2020-02-03,Sonoma,California,0,0,US
2020-02-04,Sonoma,California,0,0,US
2020-02-05,Sonoma,California,0,0,US
2020-02-06,Sonoma,California,0,0,US
2020-02-07,Sonoma,California,0,0,US
2020-02-08,Sonoma,California,0,0,US
2020-02-09,Sonoma,California,0,0,US
2020-02-10,Sonoma,California,0,0,US
2020-02-11,Sonoma,California,0,0,US
2020-02-12,Sonoma,California,0,0,US
2020-02-13,Sonoma,California,0,0,US
2020-02-14,Sonoma,California,0,0,US
2020-02-15,Sonoma,California,0,0,US
2020-02-16,Sonoma,California,0,0,US
2020-02-17,Sonoma,California,0,0,US
2020-02-18,Sonoma,California,0,0,US
2020-02-19,Sonoma,California,0,0,US
2020-02-20,Sonoma,California,0,0,US
2020-02-21,Sonoma,California,0,0,US
2020-02-22,Sonoma,California,0,0,US
2020-02-23,Sonoma,California,0,0,US
2020-02-24,Sonoma,California,0,0,US
2020-02-25,Sonoma,California,0,0,US
2020-02-26,Sonoma,California,0,0,US
2020-02-27,Sonoma,California,0,0,US
2020-02-28,Sonoma,California,0,0,US
2020-02-29,Sonoma,California,0,0,US
2020-03-01,Sonoma,California,0,0,US
2020-03-02,Sonoma,California,1,0,US
2020-03-03,Sonoma,California,1,0,US
2020-03-04,Sonoma,California,2,0,US
2020-03-05,Sonoma,California,2,0,US
2020-03-06,Sonoma,California,2,0,US
2020-03-07,Sonoma,California,2,0,US
2020-03-08,Sonoma,California,2,0,US
2020-03-09,Sonoma,California,2,0,US
2020-03-10,Sonoma,California,2,0,US
2020-03-11,Sonoma,California,2,0,US
2020-03-12,Sonoma,California,2,0,US
2020-03-13,Sonoma,California,2,0,US
2020-03-14,Sonoma,California,2,0,US
2020-03-15,Sonoma,California,4,0,US
2020-03-16,Sonoma,California,4,0,US
2020-03-17,Sonoma,California,4,0,US
2020-03-18,Sonoma,California,6,0,US
2020-03-19,Sonoma,California,8,0,US
2020-03-20,Sonoma,California,7,0,US
2020-03-21,Sonoma,California,15,1,US
2020-03-22,Sonoma,California,18,1,US
2020-03-23,Sonoma,California,19,1,US
2020-03-24,Sonoma,California,27,1,US
2020-03-25,Sonoma,California,31,1,US
