Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Spencer,Indiana,0,0,US
2020-01-23,Spencer,Indiana,0,0,US
2020-01-24,Spencer,Indiana,0,0,US
2020-01-25,Spencer,Indiana,0,0,US
2020-01-26,Spencer,Indiana,0,0,US
2020-01-27,Spencer,Indiana,0,0,US
2020-01-28,Spencer,Indiana,0,0,US
2020-01-29,Spencer,Indiana,0,0,US
2020-01-30,Spencer,Indiana,0,0,US
2020-01-31,Spencer,Indiana,0,0,US
2020-02-01,Spencer,Indiana,0,0,US
2020-02-02,Spencer,Indiana,0,0,US
2020-02-03,Spencer,Indiana,0,0,US
2020-02-04,Spencer,Indiana,0,0,US
2020-02-05,Spencer,Indiana,0,0,US
2020-02-06,Spencer,Indiana,0,0,US
2020-02-07,Spencer,Indiana,0,0,US
2020-02-08,Spencer,Indiana,0,0,US
2020-02-09,Spencer,Indiana,0,0,US
2020-02-10,Spencer,Indiana,0,0,US
2020-02-11,Spencer,Indiana,0,0,US
2020-02-12,Spencer,Indiana,0,0,US
2020-02-13,Spencer,Indiana,0,0,US
2020-02-14,Spencer,Indiana,0,0,US
2020-02-15,Spencer,Indiana,0,0,US
2020-02-16,Spencer,Indiana,0,0,US
2020-02-17,Spencer,Indiana,0,0,US
2020-02-18,Spencer,Indiana,0,0,US
2020-02-19,Spencer,Indiana,0,0,US
2020-02-20,Spencer,Indiana,0,0,US
2020-02-21,Spencer,Indiana,0,0,US
2020-02-22,Spencer,Indiana,0,0,US
2020-02-23,Spencer,Indiana,0,0,US
2020-02-24,Spencer,Indiana,0,0,US
2020-02-25,Spencer,Indiana,0,0,US
2020-02-26,Spencer,Indiana,0,0,US
2020-02-27,Spencer,Indiana,0,0,US
2020-02-28,Spencer,Indiana,0,0,US
2020-02-29,Spencer,Indiana,0,0,US
2020-03-01,Spencer,Indiana,0,0,US
2020-03-02,Spencer,Indiana,0,0,US
2020-03-03,Spencer,Indiana,0,0,US
2020-03-04,Spencer,Indiana,0,0,US
2020-03-05,Spencer,Indiana,0,0,US
2020-03-06,Spencer,Indiana,0,0,US
2020-03-07,Spencer,Indiana,0,0,US
2020-03-08,Spencer,Indiana,0,0,US
2020-03-09,Spencer,Indiana,0,0,US
2020-03-10,Spencer,Indiana,0,0,US
2020-03-11,Spencer,Indiana,0,0,US
2020-03-12,Spencer,Indiana,0,0,US
2020-03-13,Spencer,Indiana,0,0,US
2020-03-14,Spencer,Indiana,0,0,US
2020-03-15,Spencer,Indiana,0,0,US
2020-03-16,Spencer,Indiana,0,0,US
2020-03-17,Spencer,Indiana,0,0,US
2020-03-18,Spencer,Indiana,0,0,US
2020-03-19,Spencer,Indiana,0,0,US
2020-03-20,Spencer,Indiana,0,0,US
2020-03-21,Spencer,Indiana,0,0,US
2020-03-22,Spencer,Indiana,0,0,US
2020-03-23,Spencer,Indiana,0,0,US
2020-03-24,Spencer,Indiana,0,0,US
2020-03-25,Spencer,Indiana,0,0,US
2020-03-26,Spencer,Indiana,0,0,US
2020-03-27,Spencer,Indiana,0,0,US
2020-03-28,Spencer,Indiana,0,0,US
2020-03-29,Spencer,Indiana,0,0,US
2020-03-30,Spencer,Indiana,0,0,US
2020-03-31,Spencer,Indiana,0,0,US
2020-04-01,Spencer,Indiana,0,0,US
2020-04-02,Spencer,Indiana,1,0,US
2020-04-03,Spencer,Indiana,1,0,US
2020-04-04,Spencer,Indiana,1,0,US
2020-04-05,Spencer,Indiana,1,0,US
2020-04-06,Spencer,Indiana,1,0,US
2020-04-07,Spencer,Indiana,1,0,US
2020-04-08,Spencer,Indiana,1,0,US
2020-04-09,Spencer,Indiana,1,0,US
2020-04-10,Spencer,Indiana,1,0,US
2020-04-11,Spencer,Indiana,2,0,US
2020-04-12,Spencer,Indiana,3,0,US
2020-04-13,Spencer,Indiana,3,0,US
2020-04-14,Spencer,Indiana,3,0,US
2020-04-15,Spencer,Indiana,4,0,US
2020-04-16,Spencer,Indiana,4,0,US
2020-04-17,Spencer,Indiana,4,0,US
2020-04-18,Spencer,Indiana,4,0,US
2020-04-19,Spencer,Indiana,4,0,US
2020-04-20,Spencer,Indiana,4,0,US
2020-04-21,Spencer,Indiana,5,0,US
2020-04-22,Spencer,Indiana,5,0,US
2020-04-23,Spencer,Indiana,5,0,US
2020-04-24,Spencer,Indiana,5,0,US
2020-04-25,Spencer,Indiana,5,0,US
2020-04-26,Spencer,Indiana,5,0,US
2020-04-27,Spencer,Indiana,5,0,US
2020-04-28,Spencer,Indiana,5,0,US
2020-04-29,Spencer,Indiana,5,0,US
2020-04-30,Spencer,Indiana,5,0,US
2020-05-01,Spencer,Indiana,5,0,US
2020-05-02,Spencer,Indiana,5,1,US
2020-05-03,Spencer,Indiana,5,1,US
2020-05-04,Spencer,Indiana,5,1,US
2020-05-05,Spencer,Indiana,5,1,US
2020-05-06,Spencer,Indiana,6,1,US
2020-05-07,Spencer,Indiana,6,1,US
2020-05-08,Spencer,Indiana,7,1,US
2020-05-09,Spencer,Indiana,7,1,US
2020-05-10,Spencer,Indiana,7,1,US
2020-05-11,Spencer,Indiana,7,1,US
2020-05-12,Spencer,Indiana,7,1,US
2020-05-13,Spencer,Indiana,7,1,US
2020-05-14,Spencer,Indiana,7,1,US
2020-05-15,Spencer,Indiana,7,1,US
2020-05-16,Spencer,Indiana,8,1,US
2020-05-17,Spencer,Indiana,11,1,US
2020-05-18,Spencer,Indiana,12,1,US
2020-05-19,Spencer,Indiana,12,1,US
2020-05-20,Spencer,Indiana,13,1,US
2020-05-21,Spencer,Indiana,13,1,US
2020-05-22,Spencer,Indiana,14,1,US
2020-05-23,Spencer,Indiana,14,1,US
2020-05-24,Spencer,Indiana,14,1,US
2020-05-25,Spencer,Indiana,16,1,US
2020-05-26,Spencer,Indiana,17,1,US
2020-05-27,Spencer,Indiana,17,1,US
2020-05-28,Spencer,Indiana,19,1,US
2020-05-29,Spencer,Indiana,19,1,US
2020-05-30,Spencer,Indiana,20,1,US
2020-05-31,Spencer,Indiana,20,1,US
2020-06-01,Spencer,Indiana,20,1,US
2020-06-02,Spencer,Indiana,21,1,US
2020-06-03,Spencer,Indiana,21,1,US
2020-06-04,Spencer,Indiana,21,1,US
2020-06-05,Spencer,Indiana,22,1,US
2020-06-06,Spencer,Indiana,22,1,US
2020-06-07,Spencer,Indiana,22,1,US
2020-06-08,Spencer,Indiana,22,1,US
2020-06-09,Spencer,Indiana,22,1,US
2020-06-10,Spencer,Indiana,22,1,US
2020-06-11,Spencer,Indiana,22,1,US
2020-06-12,Spencer,Indiana,22,1,US
2020-06-13,Spencer,Indiana,22,1,US
2020-06-14,Spencer,Indiana,23,1,US
2020-06-15,Spencer,Indiana,23,1,US
2020-06-16,Spencer,Indiana,23,1,US
2020-06-17,Spencer,Indiana,23,1,US
2020-06-18,Spencer,Indiana,23,1,US
2020-06-19,Spencer,Indiana,24,1,US
2020-06-20,Spencer,Indiana,24,1,US
2020-06-21,Spencer,Indiana,24,1,US
2020-06-22,Spencer,Indiana,25,1,US
2020-06-23,Spencer,Indiana,25,1,US
2020-06-24,Spencer,Indiana,27,1,US
2020-06-25,Spencer,Indiana,28,1,US
2020-06-26,Spencer,Indiana,28,1,US
2020-06-27,Spencer,Indiana,30,1,US
2020-06-28,Spencer,Indiana,30,1,US
2020-06-29,Spencer,Indiana,30,1,US
2020-06-30,Spencer,Indiana,30,1,US
2020-07-01,Spencer,Indiana,31,1,US
2020-07-02,Spencer,Indiana,33,1,US
2020-07-03,Spencer,Indiana,35,1,US
2020-07-04,Spencer,Indiana,37,1,US
2020-07-05,Spencer,Indiana,38,1,US
2020-07-06,Spencer,Indiana,38,1,US
2020-07-07,Spencer,Indiana,41,1,US
2020-07-08,Spencer,Indiana,44,1,US
2020-07-09,Spencer,Indiana,46,1,US
2020-07-10,Spencer,Indiana,50,1,US
2020-07-11,Spencer,Indiana,54,1,US
2020-07-12,Spencer,Indiana,57,1,US
2020-07-13,Spencer,Indiana,59,1,US
2020-07-14,Spencer,Indiana,62,1,US
2020-07-15,Spencer,Indiana,64,1,US
2020-07-16,Spencer,Indiana,79,1,US
2020-07-17,Spencer,Indiana,82,1,US
2020-07-18,Spencer,Indiana,86,1,US
2020-07-19,Spencer,Indiana,89,1,US
2020-07-20,Spencer,Indiana,91,1,US
2020-07-21,Spencer,Indiana,93,1,US
2020-07-22,Spencer,Indiana,95,1,US
2020-07-23,Spencer,Indiana,99,1,US
2020-07-24,Spencer,Indiana,100,1,US
2020-07-25,Spencer,Indiana,101,1,US
2020-07-26,Spencer,Indiana,102,1,US
2020-07-27,Spencer,Indiana,104,1,US
2020-07-28,Spencer,Indiana,105,2,US
2020-07-29,Spencer,Indiana,109,2,US
2020-07-30,Spencer,Indiana,110,3,US
2020-07-31,Spencer,Indiana,110,3,US
2020-08-01,Spencer,Indiana,110,3,US
2020-08-02,Spencer,Indiana,113,3,US
2020-08-03,Spencer,Indiana,114,3,US
2020-08-04,Spencer,Indiana,112,3,US
2020-08-05,Spencer,Indiana,116,3,US
2020-08-06,Spencer,Indiana,119,3,US
2020-08-07,Spencer,Indiana,131,3,US
2020-08-08,Spencer,Indiana,131,3,US
2020-08-09,Spencer,Indiana,136,3,US
2020-08-10,Spencer,Indiana,136,3,US
2020-08-11,Spencer,Indiana,137,3,US
2020-08-12,Spencer,Indiana,139,3,US
2020-08-13,Spencer,Indiana,139,3,US
2020-08-14,Spencer,Indiana,140,3,US
2020-08-15,Spencer,Indiana,140,3,US
2020-08-16,Spencer,Indiana,141,3,US
2020-08-17,Spencer,Indiana,141,3,US
2020-08-18,Spencer,Indiana,141,3,US
2020-08-19,Spencer,Indiana,142,3,US
2020-08-20,Spencer,Indiana,143,3,US
2020-08-21,Spencer,Indiana,144,3,US
2020-08-22,Spencer,Indiana,148,3,US
2020-08-23,Spencer,Indiana,148,3,US
2020-08-24,Spencer,Indiana,150,3,US
2020-08-25,Spencer,Indiana,150,3,US
2020-08-26,Spencer,Indiana,150,3,US
2020-08-27,Spencer,Indiana,150,3,US
2020-08-28,Spencer,Indiana,151,3,US
2020-08-29,Spencer,Indiana,155,3,US
2020-08-30,Spencer,Indiana,158,3,US
2020-08-31,Spencer,Indiana,158,3,US
2020-09-01,Spencer,Indiana,159,3,US
2020-09-02,Spencer,Indiana,161,3,US
2020-09-03,Spencer,Indiana,165,3,US
2020-09-04,Spencer,Indiana,168,3,US
2020-09-05,Spencer,Indiana,169,3,US
2020-09-06,Spencer,Indiana,172,3,US
2020-09-07,Spencer,Indiana,175,3,US
2020-09-08,Spencer,Indiana,176,3,US
2020-09-09,Spencer,Indiana,176,3,US
2020-09-10,Spencer,Indiana,176,3,US
2020-09-11,Spencer,Indiana,178,3,US
2020-09-12,Spencer,Indiana,180,3,US
2020-09-13,Spencer,Indiana,182,3,US
2020-09-14,Spencer,Indiana,188,3,US
2020-09-15,Spencer,Indiana,191,3,US
2020-09-16,Spencer,Indiana,194,4,US
2020-09-17,Spencer,Indiana,198,4,US
2020-09-18,Spencer,Indiana,207,4,US
2020-09-19,Spencer,Indiana,215,4,US
2020-09-20,Spencer,Indiana,219,4,US
2020-09-21,Spencer,Indiana,221,4,US
2020-09-22,Spencer,Indiana,215,3,US
2020-09-23,Spencer,Indiana,222,3,US
2020-09-24,Spencer,Indiana,228,3,US
2020-09-25,Spencer,Indiana,241,3,US
2020-09-26,Spencer,Indiana,246,3,US
2020-09-27,Spencer,Indiana,259,3,US
2020-09-28,Spencer,Indiana,263,3,US
2020-09-29,Spencer,Indiana,268,3,US
2020-09-30,Spencer,Indiana,269,3,US
