Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Stephens,Georgia,0,0,US
2020-01-23,Stephens,Georgia,0,0,US
2020-01-24,Stephens,Georgia,0,0,US
2020-01-25,Stephens,Georgia,0,0,US
2020-01-26,Stephens,Georgia,0,0,US
2020-01-27,Stephens,Georgia,0,0,US
2020-01-28,Stephens,Georgia,0,0,US
2020-01-29,Stephens,Georgia,0,0,US
2020-01-30,Stephens,Georgia,0,0,US
2020-01-31,Stephens,Georgia,0,0,US
2020-02-01,Stephens,Georgia,0,0,US
2020-02-02,Stephens,Georgia,0,0,US
2020-02-03,Stephens,Georgia,0,0,US
2020-02-04,Stephens,Georgia,0,0,US
2020-02-05,Stephens,Georgia,0,0,US
2020-02-06,Stephens,Georgia,0,0,US
2020-02-07,Stephens,Georgia,0,0,US
2020-02-08,Stephens,Georgia,0,0,US
2020-02-09,Stephens,Georgia,0,0,US
2020-02-10,Stephens,Georgia,0,0,US
2020-02-11,Stephens,Georgia,0,0,US
2020-02-12,Stephens,Georgia,0,0,US
2020-02-13,Stephens,Georgia,0,0,US
2020-02-14,Stephens,Georgia,0,0,US
2020-02-15,Stephens,Georgia,0,0,US
2020-02-16,Stephens,Georgia,0,0,US
2020-02-17,Stephens,Georgia,0,0,US
2020-02-18,Stephens,Georgia,0,0,US
2020-02-19,Stephens,Georgia,0,0,US
2020-02-20,Stephens,Georgia,0,0,US
2020-02-21,Stephens,Georgia,0,0,US
2020-02-22,Stephens,Georgia,0,0,US
2020-02-23,Stephens,Georgia,0,0,US
2020-02-24,Stephens,Georgia,0,0,US
2020-02-25,Stephens,Georgia,0,0,US
2020-02-26,Stephens,Georgia,0,0,US
2020-02-27,Stephens,Georgia,0,0,US
2020-02-28,Stephens,Georgia,0,0,US
2020-02-29,Stephens,Georgia,0,0,US
2020-03-01,Stephens,Georgia,0,0,US
2020-03-02,Stephens,Georgia,0,0,US
2020-03-03,Stephens,Georgia,0,0,US
2020-03-04,Stephens,Georgia,0,0,US
2020-03-05,Stephens,Georgia,0,0,US
2020-03-06,Stephens,Georgia,0,0,US
2020-03-07,Stephens,Georgia,0,0,US
2020-03-08,Stephens,Georgia,0,0,US
2020-03-09,Stephens,Georgia,0,0,US
2020-03-10,Stephens,Georgia,0,0,US
2020-03-11,Stephens,Georgia,0,0,US
2020-03-12,Stephens,Georgia,0,0,US
2020-03-13,Stephens,Georgia,0,0,US
2020-03-14,Stephens,Georgia,0,0,US
2020-03-15,Stephens,Georgia,0,0,US
2020-03-16,Stephens,Georgia,0,0,US
2020-03-17,Stephens,Georgia,0,0,US
2020-03-18,Stephens,Georgia,0,0,US
2020-03-19,Stephens,Georgia,0,0,US
2020-03-20,Stephens,Georgia,0,0,US
2020-03-21,Stephens,Georgia,0,0,US
2020-03-22,Stephens,Georgia,0,0,US
2020-03-23,Stephens,Georgia,0,0,US
2020-03-24,Stephens,Georgia,1,0,US
2020-03-25,Stephens,Georgia,2,0,US
2020-03-26,Stephens,Georgia,1,0,US
2020-03-27,Stephens,Georgia,1,0,US
2020-03-28,Stephens,Georgia,2,0,US
2020-03-29,Stephens,Georgia,3,0,US
2020-03-30,Stephens,Georgia,3,0,US
2020-03-31,Stephens,Georgia,4,0,US
2020-04-01,Stephens,Georgia,5,0,US
2020-04-02,Stephens,Georgia,5,0,US
2020-04-03,Stephens,Georgia,5,0,US
2020-04-04,Stephens,Georgia,5,0,US
2020-04-05,Stephens,Georgia,6,0,US
2020-04-06,Stephens,Georgia,8,0,US
2020-04-07,Stephens,Georgia,11,0,US
2020-04-08,Stephens,Georgia,15,0,US
2020-04-09,Stephens,Georgia,15,0,US
2020-04-10,Stephens,Georgia,15,0,US
2020-04-11,Stephens,Georgia,17,0,US
2020-04-12,Stephens,Georgia,17,0,US
2020-04-13,Stephens,Georgia,19,0,US
2020-04-14,Stephens,Georgia,24,0,US
2020-04-15,Stephens,Georgia,24,0,US
2020-04-16,Stephens,Georgia,25,0,US
2020-04-17,Stephens,Georgia,28,1,US
2020-04-18,Stephens,Georgia,30,1,US
2020-04-19,Stephens,Georgia,35,1,US
2020-04-20,Stephens,Georgia,40,1,US
2020-04-21,Stephens,Georgia,41,1,US
2020-04-22,Stephens,Georgia,42,1,US
2020-04-23,Stephens,Georgia,48,1,US
2020-04-24,Stephens,Georgia,55,1,US
2020-04-25,Stephens,Georgia,56,1,US
2020-04-26,Stephens,Georgia,70,1,US
2020-04-27,Stephens,Georgia,73,1,US
2020-04-28,Stephens,Georgia,71,1,US
2020-04-29,Stephens,Georgia,72,1,US
2020-04-30,Stephens,Georgia,78,1,US
2020-05-01,Stephens,Georgia,81,1,US
2020-05-02,Stephens,Georgia,87,1,US
2020-05-03,Stephens,Georgia,87,1,US
2020-05-04,Stephens,Georgia,88,1,US
2020-05-05,Stephens,Georgia,90,1,US
2020-05-06,Stephens,Georgia,91,1,US
2020-05-07,Stephens,Georgia,91,1,US
2020-05-08,Stephens,Georgia,91,1,US
2020-05-09,Stephens,Georgia,91,1,US
2020-05-10,Stephens,Georgia,91,1,US
2020-05-11,Stephens,Georgia,92,1,US
2020-05-12,Stephens,Georgia,93,1,US
2020-05-13,Stephens,Georgia,94,1,US
2020-05-14,Stephens,Georgia,94,1,US
2020-05-15,Stephens,Georgia,97,1,US
2020-05-16,Stephens,Georgia,98,2,US
2020-05-17,Stephens,Georgia,107,2,US
2020-05-18,Stephens,Georgia,113,2,US
2020-05-19,Stephens,Georgia,114,2,US
2020-05-20,Stephens,Georgia,117,2,US
2020-05-21,Stephens,Georgia,121,2,US
2020-05-22,Stephens,Georgia,122,2,US
2020-05-23,Stephens,Georgia,123,2,US
2020-05-24,Stephens,Georgia,122,2,US
2020-05-25,Stephens,Georgia,123,2,US
2020-05-26,Stephens,Georgia,129,2,US
2020-05-27,Stephens,Georgia,132,2,US
2020-05-28,Stephens,Georgia,136,2,US
2020-05-29,Stephens,Georgia,138,2,US
2020-05-30,Stephens,Georgia,138,2,US
2020-05-31,Stephens,Georgia,139,2,US
2020-06-01,Stephens,Georgia,147,2,US
2020-06-02,Stephens,Georgia,147,2,US
2020-06-03,Stephens,Georgia,147,3,US
2020-06-04,Stephens,Georgia,147,3,US
2020-06-05,Stephens,Georgia,143,3,US
2020-06-06,Stephens,Georgia,144,3,US
2020-06-07,Stephens,Georgia,144,3,US
2020-06-08,Stephens,Georgia,145,3,US
2020-06-09,Stephens,Georgia,147,3,US
2020-06-10,Stephens,Georgia,147,3,US
2020-06-11,Stephens,Georgia,148,4,US
2020-06-12,Stephens,Georgia,152,4,US
2020-06-13,Stephens,Georgia,152,4,US
2020-06-14,Stephens,Georgia,152,4,US
2020-06-15,Stephens,Georgia,153,5,US
2020-06-16,Stephens,Georgia,158,6,US
2020-06-17,Stephens,Georgia,161,6,US
2020-06-18,Stephens,Georgia,160,5,US
2020-06-19,Stephens,Georgia,163,5,US
2020-06-20,Stephens,Georgia,165,5,US
2020-06-21,Stephens,Georgia,165,5,US
2020-06-22,Stephens,Georgia,165,5,US
2020-06-23,Stephens,Georgia,182,6,US
2020-06-24,Stephens,Georgia,184,6,US
2020-06-25,Stephens,Georgia,190,6,US
2020-06-26,Stephens,Georgia,194,6,US
2020-06-27,Stephens,Georgia,195,6,US
2020-06-28,Stephens,Georgia,212,6,US
2020-06-29,Stephens,Georgia,216,6,US
2020-06-30,Stephens,Georgia,224,6,US
2020-07-01,Stephens,Georgia,234,6,US
2020-07-02,Stephens,Georgia,240,6,US
2020-07-03,Stephens,Georgia,253,6,US
2020-07-04,Stephens,Georgia,261,6,US
2020-07-05,Stephens,Georgia,262,6,US
2020-07-06,Stephens,Georgia,262,6,US
2020-07-07,Stephens,Georgia,269,6,US
2020-07-08,Stephens,Georgia,280,6,US
2020-07-09,Stephens,Georgia,286,6,US
2020-07-10,Stephens,Georgia,303,6,US
2020-07-11,Stephens,Georgia,303,6,US
2020-07-12,Stephens,Georgia,322,6,US
2020-07-13,Stephens,Georgia,323,6,US
