Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Sumter,Alabama,0,0,US
2020-01-23,Sumter,Alabama,0,0,US
2020-01-24,Sumter,Alabama,0,0,US
2020-01-25,Sumter,Alabama,0,0,US
2020-01-26,Sumter,Alabama,0,0,US
2020-01-27,Sumter,Alabama,0,0,US
2020-01-28,Sumter,Alabama,0,0,US
2020-01-29,Sumter,Alabama,0,0,US
2020-01-30,Sumter,Alabama,0,0,US
2020-01-31,Sumter,Alabama,0,0,US
2020-02-01,Sumter,Alabama,0,0,US
2020-02-02,Sumter,Alabama,0,0,US
2020-02-03,Sumter,Alabama,0,0,US
2020-02-04,Sumter,Alabama,0,0,US
2020-02-05,Sumter,Alabama,0,0,US
2020-02-06,Sumter,Alabama,0,0,US
2020-02-07,Sumter,Alabama,0,0,US
2020-02-08,Sumter,Alabama,0,0,US
2020-02-09,Sumter,Alabama,0,0,US
2020-02-10,Sumter,Alabama,0,0,US
2020-02-11,Sumter,Alabama,0,0,US
2020-02-12,Sumter,Alabama,0,0,US
2020-02-13,Sumter,Alabama,0,0,US
2020-02-14,Sumter,Alabama,0,0,US
2020-02-15,Sumter,Alabama,0,0,US
2020-02-16,Sumter,Alabama,0,0,US
2020-02-17,Sumter,Alabama,0,0,US
2020-02-18,Sumter,Alabama,0,0,US
2020-02-19,Sumter,Alabama,0,0,US
2020-02-20,Sumter,Alabama,0,0,US
2020-02-21,Sumter,Alabama,0,0,US
2020-02-22,Sumter,Alabama,0,0,US
2020-02-23,Sumter,Alabama,0,0,US
2020-02-24,Sumter,Alabama,0,0,US
2020-02-25,Sumter,Alabama,0,0,US
2020-02-26,Sumter,Alabama,0,0,US
2020-02-27,Sumter,Alabama,0,0,US
2020-02-28,Sumter,Alabama,0,0,US
2020-02-29,Sumter,Alabama,0,0,US
2020-03-01,Sumter,Alabama,0,0,US
2020-03-02,Sumter,Alabama,0,0,US
2020-03-03,Sumter,Alabama,0,0,US
2020-03-04,Sumter,Alabama,0,0,US
2020-03-05,Sumter,Alabama,0,0,US
2020-03-06,Sumter,Alabama,0,0,US
2020-03-07,Sumter,Alabama,0,0,US
2020-03-08,Sumter,Alabama,0,0,US
2020-03-09,Sumter,Alabama,0,0,US
2020-03-10,Sumter,Alabama,0,0,US
2020-03-11,Sumter,Alabama,0,0,US
2020-03-12,Sumter,Alabama,0,0,US
2020-03-13,Sumter,Alabama,0,0,US
2020-03-14,Sumter,Alabama,0,0,US
2020-03-15,Sumter,Alabama,0,0,US
2020-03-16,Sumter,Alabama,0,0,US
2020-03-17,Sumter,Alabama,0,0,US
2020-03-18,Sumter,Alabama,0,0,US
2020-03-19,Sumter,Alabama,0,0,US
2020-03-20,Sumter,Alabama,0,0,US
2020-03-21,Sumter,Alabama,0,0,US
2020-03-22,Sumter,Alabama,0,0,US
2020-03-23,Sumter,Alabama,0,0,US
