Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Talbot,Maryland,0,0,US
2020-01-23,Talbot,Maryland,0,0,US
2020-01-24,Talbot,Maryland,0,0,US
2020-01-25,Talbot,Maryland,0,0,US
2020-01-26,Talbot,Maryland,0,0,US
2020-01-27,Talbot,Maryland,0,0,US
2020-01-28,Talbot,Maryland,0,0,US
2020-01-29,Talbot,Maryland,0,0,US
2020-01-30,Talbot,Maryland,0,0,US
2020-01-31,Talbot,Maryland,0,0,US
2020-02-01,Talbot,Maryland,0,0,US
2020-02-02,Talbot,Maryland,0,0,US
2020-02-03,Talbot,Maryland,0,0,US
2020-02-04,Talbot,Maryland,0,0,US
2020-02-05,Talbot,Maryland,0,0,US
2020-02-06,Talbot,Maryland,0,0,US
2020-02-07,Talbot,Maryland,0,0,US
2020-02-08,Talbot,Maryland,0,0,US
2020-02-09,Talbot,Maryland,0,0,US
2020-02-10,Talbot,Maryland,0,0,US
2020-02-11,Talbot,Maryland,0,0,US
2020-02-12,Talbot,Maryland,0,0,US
2020-02-13,Talbot,Maryland,0,0,US
2020-02-14,Talbot,Maryland,0,0,US
2020-02-15,Talbot,Maryland,0,0,US
2020-02-16,Talbot,Maryland,0,0,US
2020-02-17,Talbot,Maryland,0,0,US
2020-02-18,Talbot,Maryland,0,0,US
2020-02-19,Talbot,Maryland,0,0,US
2020-02-20,Talbot,Maryland,0,0,US
2020-02-21,Talbot,Maryland,0,0,US
2020-02-22,Talbot,Maryland,0,0,US
2020-02-23,Talbot,Maryland,0,0,US
2020-02-24,Talbot,Maryland,0,0,US
2020-02-25,Talbot,Maryland,0,0,US
2020-02-26,Talbot,Maryland,0,0,US
2020-02-27,Talbot,Maryland,0,0,US
2020-02-28,Talbot,Maryland,0,0,US
2020-02-29,Talbot,Maryland,0,0,US
2020-03-01,Talbot,Maryland,0,0,US
2020-03-02,Talbot,Maryland,0,0,US
2020-03-03,Talbot,Maryland,0,0,US
2020-03-04,Talbot,Maryland,0,0,US
2020-03-05,Talbot,Maryland,0,0,US
2020-03-06,Talbot,Maryland,0,0,US
2020-03-07,Talbot,Maryland,0,0,US
2020-03-08,Talbot,Maryland,0,0,US
2020-03-09,Talbot,Maryland,0,0,US
2020-03-10,Talbot,Maryland,0,0,US
2020-03-11,Talbot,Maryland,0,0,US
2020-03-12,Talbot,Maryland,0,0,US
2020-03-13,Talbot,Maryland,0,0,US
2020-03-14,Talbot,Maryland,0,0,US
2020-03-15,Talbot,Maryland,0,0,US
2020-03-16,Talbot,Maryland,1,0,US
2020-03-17,Talbot,Maryland,1,0,US
2020-03-18,Talbot,Maryland,1,0,US
2020-03-19,Talbot,Maryland,1,0,US
2020-03-20,Talbot,Maryland,1,0,US
2020-03-21,Talbot,Maryland,1,0,US
2020-03-22,Talbot,Maryland,1,0,US
2020-03-23,Talbot,Maryland,1,0,US
2020-03-24,Talbot,Maryland,1,0,US
