Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Thurston,Washington,0,0,US
2020-01-23,Thurston,Washington,0,0,US
2020-01-24,Thurston,Washington,0,0,US
2020-01-25,Thurston,Washington,0,0,US
2020-01-26,Thurston,Washington,0,0,US
2020-01-27,Thurston,Washington,0,0,US
2020-01-28,Thurston,Washington,0,0,US
2020-01-29,Thurston,Washington,0,0,US
2020-01-30,Thurston,Washington,0,0,US
2020-01-31,Thurston,Washington,0,0,US
2020-02-01,Thurston,Washington,0,0,US
2020-02-02,Thurston,Washington,0,0,US
2020-02-03,Thurston,Washington,0,0,US
2020-02-04,Thurston,Washington,0,0,US
2020-02-05,Thurston,Washington,0,0,US
2020-02-06,Thurston,Washington,0,0,US
2020-02-07,Thurston,Washington,0,0,US
2020-02-08,Thurston,Washington,0,0,US
2020-02-09,Thurston,Washington,0,0,US
2020-02-10,Thurston,Washington,0,0,US
2020-02-11,Thurston,Washington,0,0,US
2020-02-12,Thurston,Washington,0,0,US
2020-02-13,Thurston,Washington,0,0,US
2020-02-14,Thurston,Washington,0,0,US
2020-02-15,Thurston,Washington,0,0,US
2020-02-16,Thurston,Washington,0,0,US
2020-02-17,Thurston,Washington,0,0,US
2020-02-18,Thurston,Washington,0,0,US
2020-02-19,Thurston,Washington,0,0,US
2020-02-20,Thurston,Washington,0,0,US
2020-02-21,Thurston,Washington,0,0,US
2020-02-22,Thurston,Washington,0,0,US
2020-02-23,Thurston,Washington,0,0,US
2020-02-24,Thurston,Washington,0,0,US
2020-02-25,Thurston,Washington,0,0,US
2020-02-26,Thurston,Washington,0,0,US
2020-02-27,Thurston,Washington,0,0,US
2020-02-28,Thurston,Washington,0,0,US
2020-02-29,Thurston,Washington,0,0,US
2020-03-01,Thurston,Washington,0,0,US
2020-03-02,Thurston,Washington,0,0,US
2020-03-03,Thurston,Washington,0,0,US
2020-03-04,Thurston,Washington,0,0,US
2020-03-05,Thurston,Washington,0,0,US
2020-03-06,Thurston,Washington,0,0,US
2020-03-07,Thurston,Washington,0,0,US
2020-03-08,Thurston,Washington,0,0,US
2020-03-09,Thurston,Washington,0,0,US
2020-03-10,Thurston,Washington,0,0,US
