Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Tom Green,Texas,0,0,US
2020-01-23,Tom Green,Texas,0,0,US
2020-01-24,Tom Green,Texas,0,0,US
2020-01-25,Tom Green,Texas,0,0,US
2020-01-26,Tom Green,Texas,0,0,US
2020-01-27,Tom Green,Texas,0,0,US
2020-01-28,Tom Green,Texas,0,0,US
2020-01-29,Tom Green,Texas,0,0,US
2020-01-30,Tom Green,Texas,0,0,US
2020-01-31,Tom Green,Texas,0,0,US
2020-02-01,Tom Green,Texas,0,0,US
2020-02-02,Tom Green,Texas,0,0,US
2020-02-03,Tom Green,Texas,0,0,US
2020-02-04,Tom Green,Texas,0,0,US
2020-02-05,Tom Green,Texas,0,0,US
2020-02-06,Tom Green,Texas,0,0,US
2020-02-07,Tom Green,Texas,0,0,US
2020-02-08,Tom Green,Texas,0,0,US
2020-02-09,Tom Green,Texas,0,0,US
2020-02-10,Tom Green,Texas,0,0,US
2020-02-11,Tom Green,Texas,0,0,US
2020-02-12,Tom Green,Texas,0,0,US
2020-02-13,Tom Green,Texas,0,0,US
2020-02-14,Tom Green,Texas,0,0,US
2020-02-15,Tom Green,Texas,0,0,US
2020-02-16,Tom Green,Texas,0,0,US
2020-02-17,Tom Green,Texas,0,0,US
2020-02-18,Tom Green,Texas,0,0,US
2020-02-19,Tom Green,Texas,0,0,US
2020-02-20,Tom Green,Texas,0,0,US
2020-02-21,Tom Green,Texas,0,0,US
2020-02-22,Tom Green,Texas,0,0,US
2020-02-23,Tom Green,Texas,0,0,US
2020-02-24,Tom Green,Texas,0,0,US
2020-02-25,Tom Green,Texas,0,0,US
2020-02-26,Tom Green,Texas,0,0,US
2020-02-27,Tom Green,Texas,0,0,US
2020-02-28,Tom Green,Texas,0,0,US
2020-02-29,Tom Green,Texas,0,0,US
2020-03-01,Tom Green,Texas,0,0,US
2020-03-02,Tom Green,Texas,0,0,US
2020-03-03,Tom Green,Texas,0,0,US
2020-03-04,Tom Green,Texas,0,0,US
2020-03-05,Tom Green,Texas,0,0,US
2020-03-06,Tom Green,Texas,0,0,US
2020-03-07,Tom Green,Texas,0,0,US
2020-03-08,Tom Green,Texas,0,0,US
2020-03-09,Tom Green,Texas,0,0,US
2020-03-10,Tom Green,Texas,0,0,US
2020-03-11,Tom Green,Texas,0,0,US
2020-03-12,Tom Green,Texas,0,0,US
2020-03-13,Tom Green,Texas,0,0,US
2020-03-14,Tom Green,Texas,0,0,US
2020-03-15,Tom Green,Texas,0,0,US
2020-03-16,Tom Green,Texas,0,0,US
2020-03-17,Tom Green,Texas,0,0,US
2020-03-18,Tom Green,Texas,0,0,US
2020-03-19,Tom Green,Texas,0,0,US
2020-03-20,Tom Green,Texas,0,0,US
2020-03-21,Tom Green,Texas,0,0,US
2020-03-22,Tom Green,Texas,0,0,US
2020-03-23,Tom Green,Texas,0,0,US
2020-03-24,Tom Green,Texas,1,0,US
2020-03-25,Tom Green,Texas,3,0,US
2020-03-26,Tom Green,Texas,2,0,US
2020-03-27,Tom Green,Texas,2,0,US
2020-03-28,Tom Green,Texas,3,0,US
2020-03-29,Tom Green,Texas,5,0,US
2020-03-30,Tom Green,Texas,6,0,US
2020-03-31,Tom Green,Texas,9,0,US
2020-04-01,Tom Green,Texas,4,0,US
2020-04-02,Tom Green,Texas,5,0,US
2020-04-03,Tom Green,Texas,7,0,US
2020-04-04,Tom Green,Texas,7,0,US
2020-04-05,Tom Green,Texas,7,0,US
2020-04-06,Tom Green,Texas,8,0,US
2020-04-07,Tom Green,Texas,8,0,US
2020-04-08,Tom Green,Texas,8,0,US
2020-04-09,Tom Green,Texas,8,1,US
2020-04-10,Tom Green,Texas,8,1,US
2020-04-11,Tom Green,Texas,8,1,US
2020-04-12,Tom Green,Texas,8,1,US
2020-04-13,Tom Green,Texas,8,1,US
2020-04-14,Tom Green,Texas,8,1,US
2020-04-15,Tom Green,Texas,8,1,US
2020-04-16,Tom Green,Texas,8,1,US
2020-04-17,Tom Green,Texas,8,1,US
2020-04-18,Tom Green,Texas,8,1,US
2020-04-19,Tom Green,Texas,8,1,US
2020-04-20,Tom Green,Texas,8,1,US
2020-04-21,Tom Green,Texas,8,1,US
