Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Travis,Texas,0,0,US
2020-01-23,Travis,Texas,0,0,US
2020-01-24,Travis,Texas,0,0,US
2020-01-25,Travis,Texas,0,0,US
2020-01-26,Travis,Texas,0,0,US
2020-01-27,Travis,Texas,0,0,US
2020-01-28,Travis,Texas,0,0,US
2020-01-29,Travis,Texas,0,0,US
2020-01-30,Travis,Texas,0,0,US
2020-01-31,Travis,Texas,0,0,US
2020-02-01,Travis,Texas,0,0,US
2020-02-02,Travis,Texas,0,0,US
2020-02-03,Travis,Texas,0,0,US
2020-02-04,Travis,Texas,0,0,US
2020-02-05,Travis,Texas,0,0,US
2020-02-06,Travis,Texas,0,0,US
2020-02-07,Travis,Texas,0,0,US
2020-02-08,Travis,Texas,0,0,US
2020-02-09,Travis,Texas,0,0,US
2020-02-10,Travis,Texas,0,0,US
2020-02-11,Travis,Texas,0,0,US
2020-02-12,Travis,Texas,0,0,US
2020-02-13,Travis,Texas,0,0,US
2020-02-14,Travis,Texas,0,0,US
2020-02-15,Travis,Texas,0,0,US
2020-02-16,Travis,Texas,0,0,US
2020-02-17,Travis,Texas,0,0,US
2020-02-18,Travis,Texas,0,0,US
2020-02-19,Travis,Texas,0,0,US
2020-02-20,Travis,Texas,0,0,US
2020-02-21,Travis,Texas,0,0,US
2020-02-22,Travis,Texas,0,0,US
2020-02-23,Travis,Texas,0,0,US
2020-02-24,Travis,Texas,0,0,US
2020-02-25,Travis,Texas,0,0,US
2020-02-26,Travis,Texas,0,0,US
2020-02-27,Travis,Texas,0,0,US
2020-02-28,Travis,Texas,0,0,US
2020-02-29,Travis,Texas,0,0,US
2020-03-01,Travis,Texas,0,0,US
2020-03-02,Travis,Texas,0,0,US
2020-03-03,Travis,Texas,0,0,US
2020-03-04,Travis,Texas,0,0,US
2020-03-05,Travis,Texas,0,0,US
2020-03-06,Travis,Texas,0,0,US
2020-03-07,Travis,Texas,0,0,US
2020-03-08,Travis,Texas,0,0,US
2020-03-09,Travis,Texas,0,0,US
2020-03-10,Travis,Texas,0,0,US
2020-03-11,Travis,Texas,0,0,US
