Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Trego,Kansas,0,0,US
2020-01-23,Trego,Kansas,0,0,US
2020-01-24,Trego,Kansas,0,0,US
2020-01-25,Trego,Kansas,0,0,US
2020-01-26,Trego,Kansas,0,0,US
2020-01-27,Trego,Kansas,0,0,US
2020-01-28,Trego,Kansas,0,0,US
2020-01-29,Trego,Kansas,0,0,US
2020-01-30,Trego,Kansas,0,0,US
2020-01-31,Trego,Kansas,0,0,US
2020-02-01,Trego,Kansas,0,0,US
2020-02-02,Trego,Kansas,0,0,US
2020-02-03,Trego,Kansas,0,0,US
2020-02-04,Trego,Kansas,0,0,US
2020-02-05,Trego,Kansas,0,0,US
2020-02-06,Trego,Kansas,0,0,US
2020-02-07,Trego,Kansas,0,0,US
2020-02-08,Trego,Kansas,0,0,US
2020-02-09,Trego,Kansas,0,0,US
2020-02-10,Trego,Kansas,0,0,US
2020-02-11,Trego,Kansas,0,0,US
2020-02-12,Trego,Kansas,0,0,US
2020-02-13,Trego,Kansas,0,0,US
2020-02-14,Trego,Kansas,0,0,US
2020-02-15,Trego,Kansas,0,0,US
2020-02-16,Trego,Kansas,0,0,US
2020-02-17,Trego,Kansas,0,0,US
2020-02-18,Trego,Kansas,0,0,US
2020-02-19,Trego,Kansas,0,0,US
2020-02-20,Trego,Kansas,0,0,US
2020-02-21,Trego,Kansas,0,0,US
2020-02-22,Trego,Kansas,0,0,US
2020-02-23,Trego,Kansas,0,0,US
2020-02-24,Trego,Kansas,0,0,US
2020-02-25,Trego,Kansas,0,0,US
2020-02-26,Trego,Kansas,0,0,US
2020-02-27,Trego,Kansas,0,0,US
2020-02-28,Trego,Kansas,0,0,US
2020-02-29,Trego,Kansas,0,0,US
2020-03-01,Trego,Kansas,0,0,US
2020-03-02,Trego,Kansas,0,0,US
2020-03-03,Trego,Kansas,0,0,US
2020-03-04,Trego,Kansas,0,0,US
2020-03-05,Trego,Kansas,0,0,US
2020-03-06,Trego,Kansas,0,0,US
2020-03-07,Trego,Kansas,0,0,US
2020-03-08,Trego,Kansas,0,0,US
2020-03-09,Trego,Kansas,0,0,US
2020-03-10,Trego,Kansas,0,0,US
2020-03-11,Trego,Kansas,0,0,US
2020-03-12,Trego,Kansas,0,0,US
2020-03-13,Trego,Kansas,0,0,US
2020-03-14,Trego,Kansas,0,0,US
2020-03-15,Trego,Kansas,0,0,US
2020-03-16,Trego,Kansas,0,0,US
2020-03-17,Trego,Kansas,0,0,US
2020-03-18,Trego,Kansas,0,0,US
2020-03-19,Trego,Kansas,0,0,US
2020-03-20,Trego,Kansas,0,0,US
2020-03-21,Trego,Kansas,0,0,US
2020-03-22,Trego,Kansas,0,0,US
2020-03-23,Trego,Kansas,0,0,US
2020-03-24,Trego,Kansas,0,0,US
2020-03-25,Trego,Kansas,0,0,US
2020-03-26,Trego,Kansas,0,0,US
2020-03-27,Trego,Kansas,0,0,US
2020-03-28,Trego,Kansas,0,0,US
2020-03-29,Trego,Kansas,0,0,US
2020-03-30,Trego,Kansas,0,0,US
2020-03-31,Trego,Kansas,0,0,US
2020-04-01,Trego,Kansas,0,0,US
2020-04-02,Trego,Kansas,0,0,US
2020-04-03,Trego,Kansas,0,0,US
2020-04-04,Trego,Kansas,0,0,US
2020-04-05,Trego,Kansas,0,0,US
2020-04-06,Trego,Kansas,0,0,US
2020-04-07,Trego,Kansas,0,0,US
