Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Trujillo Alto,Puerto Rico,0,0,US
2020-01-23,Trujillo Alto,Puerto Rico,0,0,US
2020-01-24,Trujillo Alto,Puerto Rico,0,0,US
2020-01-25,Trujillo Alto,Puerto Rico,0,0,US
2020-01-26,Trujillo Alto,Puerto Rico,0,0,US
2020-01-27,Trujillo Alto,Puerto Rico,0,0,US
2020-01-28,Trujillo Alto,Puerto Rico,0,0,US
2020-01-29,Trujillo Alto,Puerto Rico,0,0,US
2020-01-30,Trujillo Alto,Puerto Rico,0,0,US
2020-01-31,Trujillo Alto,Puerto Rico,0,0,US
2020-02-01,Trujillo Alto,Puerto Rico,0,0,US
2020-02-02,Trujillo Alto,Puerto Rico,0,0,US
2020-02-03,Trujillo Alto,Puerto Rico,0,0,US
2020-02-04,Trujillo Alto,Puerto Rico,0,0,US
2020-02-05,Trujillo Alto,Puerto Rico,0,0,US
2020-02-06,Trujillo Alto,Puerto Rico,0,0,US
2020-02-07,Trujillo Alto,Puerto Rico,0,0,US
2020-02-08,Trujillo Alto,Puerto Rico,0,0,US
2020-02-09,Trujillo Alto,Puerto Rico,0,0,US
2020-02-10,Trujillo Alto,Puerto Rico,0,0,US
2020-02-11,Trujillo Alto,Puerto Rico,0,0,US
2020-02-12,Trujillo Alto,Puerto Rico,0,0,US
2020-02-13,Trujillo Alto,Puerto Rico,0,0,US
2020-02-14,Trujillo Alto,Puerto Rico,0,0,US
2020-02-15,Trujillo Alto,Puerto Rico,0,0,US
2020-02-16,Trujillo Alto,Puerto Rico,0,0,US
2020-02-17,Trujillo Alto,Puerto Rico,0,0,US
2020-02-18,Trujillo Alto,Puerto Rico,0,0,US
2020-02-19,Trujillo Alto,Puerto Rico,0,0,US
2020-02-20,Trujillo Alto,Puerto Rico,0,0,US
2020-02-21,Trujillo Alto,Puerto Rico,0,0,US
2020-02-22,Trujillo Alto,Puerto Rico,0,0,US
2020-02-23,Trujillo Alto,Puerto Rico,0,0,US
2020-02-24,Trujillo Alto,Puerto Rico,0,0,US
2020-02-25,Trujillo Alto,Puerto Rico,0,0,US
2020-02-26,Trujillo Alto,Puerto Rico,0,0,US
2020-02-27,Trujillo Alto,Puerto Rico,0,0,US
2020-02-28,Trujillo Alto,Puerto Rico,0,0,US
2020-02-29,Trujillo Alto,Puerto Rico,0,0,US
2020-03-01,Trujillo Alto,Puerto Rico,0,0,US
2020-03-02,Trujillo Alto,Puerto Rico,0,0,US
2020-03-03,Trujillo Alto,Puerto Rico,0,0,US
2020-03-04,Trujillo Alto,Puerto Rico,0,0,US
2020-03-05,Trujillo Alto,Puerto Rico,0,0,US
2020-03-06,Trujillo Alto,Puerto Rico,0,0,US
2020-03-07,Trujillo Alto,Puerto Rico,0,0,US
2020-03-08,Trujillo Alto,Puerto Rico,0,0,US
2020-03-09,Trujillo Alto,Puerto Rico,0,0,US
2020-03-10,Trujillo Alto,Puerto Rico,0,0,US
2020-03-11,Trujillo Alto,Puerto Rico,0,0,US
2020-03-12,Trujillo Alto,Puerto Rico,0,0,US
2020-03-13,Trujillo Alto,Puerto Rico,0,0,US
2020-03-14,Trujillo Alto,Puerto Rico,0,0,US
2020-03-15,Trujillo Alto,Puerto Rico,0,0,US
2020-03-16,Trujillo Alto,Puerto Rico,0,0,US
2020-03-17,Trujillo Alto,Puerto Rico,0,0,US
2020-03-18,Trujillo Alto,Puerto Rico,0,0,US
2020-03-19,Trujillo Alto,Puerto Rico,0,0,US
2020-03-20,Trujillo Alto,Puerto Rico,0,0,US
2020-03-21,Trujillo Alto,Puerto Rico,0,0,US
2020-03-22,Trujillo Alto,Puerto Rico,0,0,US
2020-03-23,Trujillo Alto,Puerto Rico,0,0,US
2020-03-24,Trujillo Alto,Puerto Rico,0,0,US
2020-03-25,Trujillo Alto,Puerto Rico,0,0,US
2020-03-26,Trujillo Alto,Puerto Rico,0,0,US
2020-03-27,Trujillo Alto,Puerto Rico,0,0,US
2020-03-28,Trujillo Alto,Puerto Rico,0,0,US
2020-03-29,Trujillo Alto,Puerto Rico,0,0,US
2020-03-30,Trujillo Alto,Puerto Rico,0,0,US
2020-03-31,Trujillo Alto,Puerto Rico,0,0,US
2020-04-01,Trujillo Alto,Puerto Rico,0,0,US
2020-04-02,Trujillo Alto,Puerto Rico,0,0,US
2020-04-03,Trujillo Alto,Puerto Rico,0,0,US
2020-04-04,Trujillo Alto,Puerto Rico,0,0,US
2020-04-05,Trujillo Alto,Puerto Rico,0,0,US
2020-04-06,Trujillo Alto,Puerto Rico,0,0,US
2020-04-07,Trujillo Alto,Puerto Rico,0,0,US
2020-04-08,Trujillo Alto,Puerto Rico,0,0,US
2020-04-09,Trujillo Alto,Puerto Rico,0,0,US
2020-04-10,Trujillo Alto,Puerto Rico,0,0,US
2020-04-11,Trujillo Alto,Puerto Rico,0,0,US
2020-04-12,Trujillo Alto,Puerto Rico,0,0,US
2020-04-13,Trujillo Alto,Puerto Rico,0,0,US
2020-04-14,Trujillo Alto,Puerto Rico,0,0,US
2020-04-15,Trujillo Alto,Puerto Rico,0,0,US
2020-04-16,Trujillo Alto,Puerto Rico,0,0,US
2020-04-17,Trujillo Alto,Puerto Rico,0,0,US
2020-04-18,Trujillo Alto,Puerto Rico,0,0,US
2020-04-19,Trujillo Alto,Puerto Rico,0,0,US
2020-04-20,Trujillo Alto,Puerto Rico,0,0,US
2020-04-21,Trujillo Alto,Puerto Rico,0,0,US
2020-04-22,Trujillo Alto,Puerto Rico,0,0,US
2020-04-23,Trujillo Alto,Puerto Rico,0,0,US
2020-04-24,Trujillo Alto,Puerto Rico,0,0,US
2020-04-25,Trujillo Alto,Puerto Rico,22,0,US
2020-04-26,Trujillo Alto,Puerto Rico,22,0,US
2020-04-27,Trujillo Alto,Puerto Rico,22,0,US
2020-04-28,Trujillo Alto,Puerto Rico,22,0,US
2020-04-29,Trujillo Alto,Puerto Rico,22,0,US
2020-04-30,Trujillo Alto,Puerto Rico,23,0,US
2020-05-01,Trujillo Alto,Puerto Rico,23,0,US
2020-05-02,Trujillo Alto,Puerto Rico,23,0,US
2020-05-03,Trujillo Alto,Puerto Rico,23,0,US
2020-05-04,Trujillo Alto,Puerto Rico,23,0,US
2020-05-05,Trujillo Alto,Puerto Rico,23,0,US
2020-05-06,Trujillo Alto,Puerto Rico,23,0,US
2020-05-07,Trujillo Alto,Puerto Rico,23,0,US
2020-05-08,Trujillo Alto,Puerto Rico,23,0,US
2020-05-09,Trujillo Alto,Puerto Rico,23,0,US
2020-05-10,Trujillo Alto,Puerto Rico,23,0,US
2020-05-11,Trujillo Alto,Puerto Rico,23,0,US
2020-05-12,Trujillo Alto,Puerto Rico,23,0,US
2020-05-13,Trujillo Alto,Puerto Rico,23,0,US
2020-05-14,Trujillo Alto,Puerto Rico,23,0,US
2020-05-15,Trujillo Alto,Puerto Rico,23,0,US
2020-05-16,Trujillo Alto,Puerto Rico,23,0,US
2020-05-17,Trujillo Alto,Puerto Rico,23,0,US
2020-05-18,Trujillo Alto,Puerto Rico,23,0,US
2020-05-19,Trujillo Alto,Puerto Rico,23,0,US
2020-05-20,Trujillo Alto,Puerto Rico,23,0,US
2020-05-21,Trujillo Alto,Puerto Rico,23,0,US
2020-05-22,Trujillo Alto,Puerto Rico,24,0,US
2020-05-23,Trujillo Alto,Puerto Rico,24,0,US
2020-05-24,Trujillo Alto,Puerto Rico,24,0,US
2020-05-25,Trujillo Alto,Puerto Rico,25,0,US
2020-05-26,Trujillo Alto,Puerto Rico,25,0,US
2020-05-27,Trujillo Alto,Puerto Rico,26,0,US
2020-05-28,Trujillo Alto,Puerto Rico,26,0,US
2020-05-29,Trujillo Alto,Puerto Rico,26,0,US
2020-05-30,Trujillo Alto,Puerto Rico,26,0,US
2020-05-31,Trujillo Alto,Puerto Rico,26,0,US
2020-06-01,Trujillo Alto,Puerto Rico,25,0,US
2020-06-02,Trujillo Alto,Puerto Rico,25,0,US
2020-06-03,Trujillo Alto,Puerto Rico,25,0,US
2020-06-04,Trujillo Alto,Puerto Rico,26,0,US
2020-06-05,Trujillo Alto,Puerto Rico,26,0,US
2020-06-06,Trujillo Alto,Puerto Rico,27,0,US
2020-06-07,Trujillo Alto,Puerto Rico,27,0,US
2020-06-08,Trujillo Alto,Puerto Rico,27,0,US
2020-06-09,Trujillo Alto,Puerto Rico,27,0,US
2020-06-10,Trujillo Alto,Puerto Rico,27,0,US
2020-06-11,Trujillo Alto,Puerto Rico,27,0,US
2020-06-12,Trujillo Alto,Puerto Rico,27,0,US
2020-06-13,Trujillo Alto,Puerto Rico,28,0,US
2020-06-14,Trujillo Alto,Puerto Rico,30,0,US
2020-06-15,Trujillo Alto,Puerto Rico,30,0,US
2020-06-16,Trujillo Alto,Puerto Rico,30,0,US
2020-06-17,Trujillo Alto,Puerto Rico,30,0,US
2020-06-18,Trujillo Alto,Puerto Rico,30,0,US
2020-06-19,Trujillo Alto,Puerto Rico,30,0,US
2020-06-20,Trujillo Alto,Puerto Rico,31,0,US
2020-06-21,Trujillo Alto,Puerto Rico,32,0,US
2020-06-22,Trujillo Alto,Puerto Rico,32,0,US
2020-06-23,Trujillo Alto,Puerto Rico,32,0,US
2020-06-24,Trujillo Alto,Puerto Rico,32,0,US
