Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Turner,Georgia,0,0,US
2020-01-23,Turner,Georgia,0,0,US
2020-01-24,Turner,Georgia,0,0,US
2020-01-25,Turner,Georgia,0,0,US
2020-01-26,Turner,Georgia,0,0,US
2020-01-27,Turner,Georgia,0,0,US
2020-01-28,Turner,Georgia,0,0,US
2020-01-29,Turner,Georgia,0,0,US
2020-01-30,Turner,Georgia,0,0,US
2020-01-31,Turner,Georgia,0,0,US
2020-02-01,Turner,Georgia,0,0,US
2020-02-02,Turner,Georgia,0,0,US
2020-02-03,Turner,Georgia,0,0,US
2020-02-04,Turner,Georgia,0,0,US
2020-02-05,Turner,Georgia,0,0,US
2020-02-06,Turner,Georgia,0,0,US
2020-02-07,Turner,Georgia,0,0,US
2020-02-08,Turner,Georgia,0,0,US
2020-02-09,Turner,Georgia,0,0,US
2020-02-10,Turner,Georgia,0,0,US
2020-02-11,Turner,Georgia,0,0,US
2020-02-12,Turner,Georgia,0,0,US
2020-02-13,Turner,Georgia,0,0,US
2020-02-14,Turner,Georgia,0,0,US
2020-02-15,Turner,Georgia,0,0,US
2020-02-16,Turner,Georgia,0,0,US
2020-02-17,Turner,Georgia,0,0,US
2020-02-18,Turner,Georgia,0,0,US
2020-02-19,Turner,Georgia,0,0,US
2020-02-20,Turner,Georgia,0,0,US
2020-02-21,Turner,Georgia,0,0,US
2020-02-22,Turner,Georgia,0,0,US
2020-02-23,Turner,Georgia,0,0,US
2020-02-24,Turner,Georgia,0,0,US
2020-02-25,Turner,Georgia,0,0,US
2020-02-26,Turner,Georgia,0,0,US
2020-02-27,Turner,Georgia,0,0,US
2020-02-28,Turner,Georgia,0,0,US
2020-02-29,Turner,Georgia,0,0,US
2020-03-01,Turner,Georgia,0,0,US
2020-03-02,Turner,Georgia,0,0,US
2020-03-03,Turner,Georgia,0,0,US
2020-03-04,Turner,Georgia,0,0,US
2020-03-05,Turner,Georgia,0,0,US
2020-03-06,Turner,Georgia,0,0,US
2020-03-07,Turner,Georgia,0,0,US
2020-03-08,Turner,Georgia,0,0,US
2020-03-09,Turner,Georgia,0,0,US
2020-03-10,Turner,Georgia,0,0,US
2020-03-11,Turner,Georgia,0,0,US
2020-03-12,Turner,Georgia,0,0,US
2020-03-13,Turner,Georgia,0,0,US
2020-03-14,Turner,Georgia,0,0,US
2020-03-15,Turner,Georgia,0,0,US
2020-03-16,Turner,Georgia,0,0,US
2020-03-17,Turner,Georgia,0,0,US
2020-03-18,Turner,Georgia,0,0,US
2020-03-19,Turner,Georgia,0,0,US
2020-03-20,Turner,Georgia,1,0,US
2020-03-21,Turner,Georgia,1,0,US
2020-03-22,Turner,Georgia,1,0,US
2020-03-23,Turner,Georgia,1,0,US
2020-03-24,Turner,Georgia,1,0,US
2020-03-25,Turner,Georgia,1,0,US
2020-03-26,Turner,Georgia,2,0,US
2020-03-27,Turner,Georgia,2,0,US
2020-03-28,Turner,Georgia,2,0,US
2020-03-29,Turner,Georgia,2,0,US
2020-03-30,Turner,Georgia,3,0,US
2020-03-31,Turner,Georgia,3,0,US
2020-04-01,Turner,Georgia,4,0,US
2020-04-02,Turner,Georgia,5,0,US
2020-04-03,Turner,Georgia,12,0,US
2020-04-04,Turner,Georgia,12,0,US
2020-04-05,Turner,Georgia,12,0,US
2020-04-06,Turner,Georgia,14,0,US
2020-04-07,Turner,Georgia,16,0,US
2020-04-08,Turner,Georgia,20,0,US
2020-04-09,Turner,Georgia,22,0,US
2020-04-10,Turner,Georgia,28,0,US
2020-04-11,Turner,Georgia,29,0,US
2020-04-12,Turner,Georgia,38,0,US
2020-04-13,Turner,Georgia,37,0,US
2020-04-14,Turner,Georgia,41,1,US
2020-04-15,Turner,Georgia,41,1,US
2020-04-16,Turner,Georgia,48,1,US
2020-04-17,Turner,Georgia,50,1,US
2020-04-18,Turner,Georgia,51,2,US
2020-04-19,Turner,Georgia,56,2,US
2020-04-20,Turner,Georgia,59,4,US
2020-04-21,Turner,Georgia,59,4,US
2020-04-22,Turner,Georgia,59,5,US
2020-04-23,Turner,Georgia,61,6,US
2020-04-24,Turner,Georgia,62,6,US
2020-04-25,Turner,Georgia,62,6,US
2020-04-26,Turner,Georgia,63,6,US
2020-04-27,Turner,Georgia,64,8,US
2020-04-28,Turner,Georgia,66,8,US
2020-04-29,Turner,Georgia,67,8,US
2020-04-30,Turner,Georgia,68,8,US
2020-05-01,Turner,Georgia,68,8,US
2020-05-02,Turner,Georgia,69,8,US
2020-05-03,Turner,Georgia,69,9,US
2020-05-04,Turner,Georgia,69,10,US
2020-05-05,Turner,Georgia,70,10,US
2020-05-06,Turner,Georgia,71,10,US
2020-05-07,Turner,Georgia,73,11,US
2020-05-08,Turner,Georgia,74,12,US
2020-05-09,Turner,Georgia,78,12,US
2020-05-10,Turner,Georgia,78,12,US
2020-05-11,Turner,Georgia,78,12,US
2020-05-12,Turner,Georgia,78,12,US
2020-05-13,Turner,Georgia,80,12,US
2020-05-14,Turner,Georgia,81,12,US
2020-05-15,Turner,Georgia,81,12,US
2020-05-16,Turner,Georgia,81,12,US
2020-05-17,Turner,Georgia,81,12,US
2020-05-18,Turner,Georgia,84,12,US
2020-05-19,Turner,Georgia,85,12,US
2020-05-20,Turner,Georgia,85,12,US
2020-05-21,Turner,Georgia,90,12,US
2020-05-22,Turner,Georgia,92,12,US
2020-05-23,Turner,Georgia,96,12,US
2020-05-24,Turner,Georgia,100,12,US
2020-05-25,Turner,Georgia,105,12,US
2020-05-26,Turner,Georgia,106,12,US
2020-05-27,Turner,Georgia,110,12,US
2020-05-28,Turner,Georgia,114,12,US
2020-05-29,Turner,Georgia,115,12,US
2020-05-30,Turner,Georgia,118,12,US
2020-05-31,Turner,Georgia,118,13,US
2020-06-01,Turner,Georgia,125,13,US
2020-06-02,Turner,Georgia,128,13,US
2020-06-03,Turner,Georgia,134,13,US
2020-06-04,Turner,Georgia,134,13,US
2020-06-05,Turner,Georgia,139,13,US
2020-06-06,Turner,Georgia,139,13,US
2020-06-07,Turner,Georgia,139,13,US
2020-06-08,Turner,Georgia,140,13,US
2020-06-09,Turner,Georgia,141,13,US
2020-06-10,Turner,Georgia,144,13,US
2020-06-11,Turner,Georgia,145,14,US
2020-06-12,Turner,Georgia,148,14,US
2020-06-13,Turner,Georgia,150,14,US
2020-06-14,Turner,Georgia,151,14,US
2020-06-15,Turner,Georgia,153,14,US
2020-06-16,Turner,Georgia,155,14,US
2020-06-17,Turner,Georgia,157,15,US
2020-06-18,Turner,Georgia,161,15,US
2020-06-19,Turner,Georgia,165,16,US
2020-06-20,Turner,Georgia,166,16,US
2020-06-21,Turner,Georgia,167,16,US
2020-06-22,Turner,Georgia,170,16,US
2020-06-23,Turner,Georgia,171,16,US
2020-06-24,Turner,Georgia,172,16,US
2020-06-25,Turner,Georgia,172,16,US
2020-06-26,Turner,Georgia,173,16,US
2020-06-27,Turner,Georgia,175,16,US
2020-06-28,Turner,Georgia,176,16,US
2020-06-29,Turner,Georgia,176,16,US
2020-06-30,Turner,Georgia,177,16,US
2020-07-01,Turner,Georgia,177,16,US
2020-07-02,Turner,Georgia,177,16,US
2020-07-03,Turner,Georgia,178,16,US
2020-07-04,Turner,Georgia,178,16,US
2020-07-05,Turner,Georgia,181,16,US
2020-07-06,Turner,Georgia,182,16,US
2020-07-07,Turner,Georgia,183,16,US
2020-07-08,Turner,Georgia,183,17,US
2020-07-09,Turner,Georgia,185,17,US
2020-07-10,Turner,Georgia,188,17,US
2020-07-11,Turner,Georgia,189,18,US
2020-07-12,Turner,Georgia,189,18,US
2020-07-13,Turner,Georgia,189,18,US
2020-07-14,Turner,Georgia,190,18,US
2020-07-15,Turner,Georgia,206,18,US
2020-07-16,Turner,Georgia,207,18,US
2020-07-17,Turner,Georgia,211,18,US
2020-07-18,Turner,Georgia,213,18,US
2020-07-19,Turner,Georgia,214,18,US
2020-07-20,Turner,Georgia,214,18,US
2020-07-21,Turner,Georgia,204,18,US
2020-07-22,Turner,Georgia,204,18,US
2020-07-23,Turner,Georgia,204,18,US
2020-07-24,Turner,Georgia,204,18,US
2020-07-25,Turner,Georgia,205,18,US
2020-07-26,Turner,Georgia,206,18,US
2020-07-27,Turner,Georgia,209,18,US
2020-07-28,Turner,Georgia,212,18,US
2020-07-29,Turner,Georgia,214,18,US
2020-07-30,Turner,Georgia,216,18,US
2020-07-31,Turner,Georgia,222,18,US
2020-08-01,Turner,Georgia,224,18,US
2020-08-02,Turner,Georgia,225,18,US
2020-08-03,Turner,Georgia,227,18,US
2020-08-04,Turner,Georgia,234,18,US
2020-08-05,Turner,Georgia,237,18,US
2020-08-06,Turner,Georgia,237,18,US
2020-08-07,Turner,Georgia,241,18,US
2020-08-08,Turner,Georgia,245,18,US
2020-08-09,Turner,Georgia,246,18,US
2020-08-10,Turner,Georgia,250,18,US
2020-08-11,Turner,Georgia,251,18,US
2020-08-12,Turner,Georgia,257,18,US
2020-08-13,Turner,Georgia,260,18,US
2020-08-14,Turner,Georgia,261,18,US
2020-08-15,Turner,Georgia,262,18,US
2020-08-16,Turner,Georgia,262,18,US
2020-08-17,Turner,Georgia,263,18,US
2020-08-18,Turner,Georgia,266,18,US
2020-08-19,Turner,Georgia,267,18,US
2020-08-20,Turner,Georgia,268,18,US
2020-08-21,Turner,Georgia,273,18,US
2020-08-22,Turner,Georgia,273,19,US
2020-08-23,Turner,Georgia,273,19,US
2020-08-24,Turner,Georgia,274,19,US
2020-08-25,Turner,Georgia,274,19,US
2020-08-26,Turner,Georgia,275,19,US
2020-08-27,Turner,Georgia,276,19,US
2020-08-28,Turner,Georgia,276,19,US
2020-08-29,Turner,Georgia,277,19,US
2020-08-30,Turner,Georgia,277,19,US
2020-08-31,Turner,Georgia,277,20,US
2020-09-01,Turner,Georgia,279,21,US
2020-09-02,Turner,Georgia,279,21,US
2020-09-03,Turner,Georgia,281,21,US
2020-09-04,Turner,Georgia,281,21,US
2020-09-05,Turner,Georgia,282,21,US
2020-09-06,Turner,Georgia,283,21,US
2020-09-07,Turner,Georgia,283,21,US
2020-09-08,Turner,Georgia,283,21,US
2020-09-09,Turner,Georgia,287,21,US
2020-09-10,Turner,Georgia,287,21,US
2020-09-11,Turner,Georgia,287,21,US
2020-09-12,Turner,Georgia,287,21,US
2020-09-13,Turner,Georgia,287,22,US
