Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Tuscola,Michigan,0,0,US
2020-01-23,Tuscola,Michigan,0,0,US
2020-01-24,Tuscola,Michigan,0,0,US
2020-01-25,Tuscola,Michigan,0,0,US
2020-01-26,Tuscola,Michigan,0,0,US
2020-01-27,Tuscola,Michigan,0,0,US
2020-01-28,Tuscola,Michigan,0,0,US
2020-01-29,Tuscola,Michigan,0,0,US
2020-01-30,Tuscola,Michigan,0,0,US
2020-01-31,Tuscola,Michigan,0,0,US
2020-02-01,Tuscola,Michigan,0,0,US
2020-02-02,Tuscola,Michigan,0,0,US
2020-02-03,Tuscola,Michigan,0,0,US
2020-02-04,Tuscola,Michigan,0,0,US
2020-02-05,Tuscola,Michigan,0,0,US
2020-02-06,Tuscola,Michigan,0,0,US
2020-02-07,Tuscola,Michigan,0,0,US
2020-02-08,Tuscola,Michigan,0,0,US
2020-02-09,Tuscola,Michigan,0,0,US
2020-02-10,Tuscola,Michigan,0,0,US
2020-02-11,Tuscola,Michigan,0,0,US
2020-02-12,Tuscola,Michigan,0,0,US
2020-02-13,Tuscola,Michigan,0,0,US
2020-02-14,Tuscola,Michigan,0,0,US
2020-02-15,Tuscola,Michigan,0,0,US
2020-02-16,Tuscola,Michigan,0,0,US
2020-02-17,Tuscola,Michigan,0,0,US
2020-02-18,Tuscola,Michigan,0,0,US
2020-02-19,Tuscola,Michigan,0,0,US
2020-02-20,Tuscola,Michigan,0,0,US
2020-02-21,Tuscola,Michigan,0,0,US
2020-02-22,Tuscola,Michigan,0,0,US
2020-02-23,Tuscola,Michigan,0,0,US
2020-02-24,Tuscola,Michigan,0,0,US
2020-02-25,Tuscola,Michigan,0,0,US
2020-02-26,Tuscola,Michigan,0,0,US
2020-02-27,Tuscola,Michigan,0,0,US
2020-02-28,Tuscola,Michigan,0,0,US
2020-02-29,Tuscola,Michigan,0,0,US
2020-03-01,Tuscola,Michigan,0,0,US
2020-03-02,Tuscola,Michigan,0,0,US
2020-03-03,Tuscola,Michigan,0,0,US
2020-03-04,Tuscola,Michigan,0,0,US
2020-03-05,Tuscola,Michigan,0,0,US
2020-03-06,Tuscola,Michigan,0,0,US
2020-03-07,Tuscola,Michigan,0,0,US
2020-03-08,Tuscola,Michigan,0,0,US
2020-03-09,Tuscola,Michigan,0,0,US
2020-03-10,Tuscola,Michigan,0,0,US
2020-03-11,Tuscola,Michigan,0,0,US
2020-03-12,Tuscola,Michigan,0,0,US
2020-03-13,Tuscola,Michigan,0,0,US
2020-03-14,Tuscola,Michigan,0,0,US
2020-03-15,Tuscola,Michigan,0,0,US
2020-03-16,Tuscola,Michigan,0,0,US
2020-03-17,Tuscola,Michigan,0,0,US
2020-03-18,Tuscola,Michigan,0,0,US
2020-03-19,Tuscola,Michigan,0,0,US
2020-03-20,Tuscola,Michigan,0,0,US
2020-03-21,Tuscola,Michigan,0,0,US
2020-03-22,Tuscola,Michigan,1,0,US
2020-03-23,Tuscola,Michigan,1,0,US
2020-03-24,Tuscola,Michigan,1,0,US
2020-03-25,Tuscola,Michigan,2,0,US
2020-03-26,Tuscola,Michigan,2,1,US
2020-03-27,Tuscola,Michigan,2,1,US
2020-03-28,Tuscola,Michigan,4,1,US
2020-03-29,Tuscola,Michigan,4,1,US
2020-03-30,Tuscola,Michigan,5,1,US
2020-03-31,Tuscola,Michigan,9,2,US
2020-04-01,Tuscola,Michigan,11,2,US
2020-04-02,Tuscola,Michigan,14,2,US
2020-04-03,Tuscola,Michigan,15,2,US
2020-04-04,Tuscola,Michigan,20,2,US
2020-04-05,Tuscola,Michigan,22,2,US
