Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Union,Indiana,0,0,US
2020-01-23,Union,Indiana,0,0,US
2020-01-24,Union,Indiana,0,0,US
2020-01-25,Union,Indiana,0,0,US
2020-01-26,Union,Indiana,0,0,US
2020-01-27,Union,Indiana,0,0,US
2020-01-28,Union,Indiana,0,0,US
2020-01-29,Union,Indiana,0,0,US
2020-01-30,Union,Indiana,0,0,US
2020-01-31,Union,Indiana,0,0,US
2020-02-01,Union,Indiana,0,0,US
2020-02-02,Union,Indiana,0,0,US
2020-02-03,Union,Indiana,0,0,US
2020-02-04,Union,Indiana,0,0,US
2020-02-05,Union,Indiana,0,0,US
2020-02-06,Union,Indiana,0,0,US
2020-02-07,Union,Indiana,0,0,US
2020-02-08,Union,Indiana,0,0,US
2020-02-09,Union,Indiana,0,0,US
2020-02-10,Union,Indiana,0,0,US
2020-02-11,Union,Indiana,0,0,US
2020-02-12,Union,Indiana,0,0,US
2020-02-13,Union,Indiana,0,0,US
2020-02-14,Union,Indiana,0,0,US
2020-02-15,Union,Indiana,0,0,US
2020-02-16,Union,Indiana,0,0,US
2020-02-17,Union,Indiana,0,0,US
2020-02-18,Union,Indiana,0,0,US
2020-02-19,Union,Indiana,0,0,US
2020-02-20,Union,Indiana,0,0,US
2020-02-21,Union,Indiana,0,0,US
2020-02-22,Union,Indiana,0,0,US
2020-02-23,Union,Indiana,0,0,US
2020-02-24,Union,Indiana,0,0,US
2020-02-25,Union,Indiana,0,0,US
2020-02-26,Union,Indiana,0,0,US
2020-02-27,Union,Indiana,0,0,US
2020-02-28,Union,Indiana,0,0,US
2020-02-29,Union,Indiana,0,0,US
2020-03-01,Union,Indiana,0,0,US
2020-03-02,Union,Indiana,0,0,US
2020-03-03,Union,Indiana,0,0,US
2020-03-04,Union,Indiana,0,0,US
2020-03-05,Union,Indiana,0,0,US
2020-03-06,Union,Indiana,0,0,US
2020-03-07,Union,Indiana,0,0,US
2020-03-08,Union,Indiana,0,0,US
2020-03-09,Union,Indiana,0,0,US
2020-03-10,Union,Indiana,0,0,US
2020-03-11,Union,Indiana,0,0,US
2020-03-12,Union,Indiana,0,0,US
2020-03-13,Union,Indiana,0,0,US
2020-03-14,Union,Indiana,0,0,US
2020-03-15,Union,Indiana,0,0,US
2020-03-16,Union,Indiana,0,0,US
2020-03-17,Union,Indiana,0,0,US
2020-03-18,Union,Indiana,0,0,US
2020-03-19,Union,Indiana,0,0,US
2020-03-20,Union,Indiana,0,0,US
2020-03-21,Union,Indiana,0,0,US
2020-03-22,Union,Indiana,0,0,US
2020-03-23,Union,Indiana,0,0,US
2020-03-24,Union,Indiana,0,0,US
2020-03-25,Union,Indiana,0,0,US
2020-03-26,Union,Indiana,0,0,US
2020-03-27,Union,Indiana,0,0,US
2020-03-28,Union,Indiana,0,0,US
2020-03-29,Union,Indiana,0,0,US
2020-03-30,Union,Indiana,0,0,US
2020-03-31,Union,Indiana,0,0,US
2020-04-01,Union,Indiana,0,0,US
2020-04-02,Union,Indiana,0,0,US
2020-04-03,Union,Indiana,0,0,US
2020-04-04,Union,Indiana,2,0,US
2020-04-05,Union,Indiana,3,0,US
2020-04-06,Union,Indiana,3,0,US
2020-04-07,Union,Indiana,3,0,US
2020-04-08,Union,Indiana,5,0,US
2020-04-09,Union,Indiana,5,0,US
2020-04-10,Union,Indiana,5,0,US
2020-04-11,Union,Indiana,5,0,US
2020-04-12,Union,Indiana,5,0,US
2020-04-13,Union,Indiana,9,0,US
2020-04-14,Union,Indiana,6,0,US
2020-04-15,Union,Indiana,6,0,US
2020-04-16,Union,Indiana,6,0,US
2020-04-17,Union,Indiana,6,0,US
2020-04-18,Union,Indiana,6,0,US
2020-04-19,Union,Indiana,6,0,US
2020-04-20,Union,Indiana,6,0,US
2020-04-21,Union,Indiana,6,0,US
2020-04-22,Union,Indiana,6,0,US
2020-04-23,Union,Indiana,6,0,US
2020-04-24,Union,Indiana,7,0,US
2020-04-25,Union,Indiana,7,0,US
2020-04-26,Union,Indiana,6,0,US
2020-04-27,Union,Indiana,6,0,US
2020-04-28,Union,Indiana,6,0,US
2020-04-29,Union,Indiana,7,0,US
2020-04-30,Union,Indiana,7,0,US
2020-05-01,Union,Indiana,7,0,US
2020-05-02,Union,Indiana,7,0,US
2020-05-03,Union,Indiana,7,0,US
2020-05-04,Union,Indiana,7,0,US
2020-05-05,Union,Indiana,7,0,US
2020-05-06,Union,Indiana,8,0,US
2020-05-07,Union,Indiana,8,0,US
2020-05-08,Union,Indiana,8,0,US
2020-05-09,Union,Indiana,8,0,US
2020-05-10,Union,Indiana,8,0,US
2020-05-11,Union,Indiana,8,0,US
2020-05-12,Union,Indiana,8,0,US
2020-05-13,Union,Indiana,8,0,US
2020-05-14,Union,Indiana,8,0,US
2020-05-15,Union,Indiana,8,0,US
2020-05-16,Union,Indiana,8,0,US
2020-05-17,Union,Indiana,8,0,US
2020-05-18,Union,Indiana,8,0,US
2020-05-19,Union,Indiana,8,0,US
2020-05-20,Union,Indiana,8,0,US
2020-05-21,Union,Indiana,8,0,US
2020-05-22,Union,Indiana,8,0,US
2020-05-23,Union,Indiana,8,0,US
2020-05-24,Union,Indiana,8,0,US
2020-05-25,Union,Indiana,8,0,US
2020-05-26,Union,Indiana,8,0,US
2020-05-27,Union,Indiana,8,0,US
2020-05-28,Union,Indiana,8,0,US
2020-05-29,Union,Indiana,8,0,US
2020-05-30,Union,Indiana,9,0,US
2020-05-31,Union,Indiana,9,0,US
2020-06-01,Union,Indiana,9,0,US
2020-06-02,Union,Indiana,9,0,US
2020-06-03,Union,Indiana,9,0,US
2020-06-04,Union,Indiana,9,0,US
2020-06-05,Union,Indiana,10,0,US
2020-06-06,Union,Indiana,10,0,US
2020-06-07,Union,Indiana,12,0,US
2020-06-08,Union,Indiana,12,0,US
2020-06-09,Union,Indiana,12,0,US
2020-06-10,Union,Indiana,12,0,US
2020-06-11,Union,Indiana,12,0,US
2020-06-12,Union,Indiana,12,0,US
2020-06-13,Union,Indiana,12,0,US
2020-06-14,Union,Indiana,12,0,US
2020-06-15,Union,Indiana,12,0,US
2020-06-16,Union,Indiana,12,0,US
2020-06-17,Union,Indiana,12,0,US
2020-06-18,Union,Indiana,12,0,US
2020-06-19,Union,Indiana,12,0,US
2020-06-20,Union,Indiana,12,0,US
2020-06-21,Union,Indiana,12,0,US
2020-06-22,Union,Indiana,12,0,US
2020-06-23,Union,Indiana,12,0,US
2020-06-24,Union,Indiana,12,0,US
2020-06-25,Union,Indiana,13,0,US
2020-06-26,Union,Indiana,13,0,US
2020-06-27,Union,Indiana,13,0,US
2020-06-28,Union,Indiana,13,0,US
2020-06-29,Union,Indiana,13,0,US
2020-06-30,Union,Indiana,13,0,US
2020-07-01,Union,Indiana,13,0,US
2020-07-02,Union,Indiana,13,0,US
2020-07-03,Union,Indiana,13,0,US
2020-07-04,Union,Indiana,13,0,US
2020-07-05,Union,Indiana,13,0,US
2020-07-06,Union,Indiana,13,0,US
2020-07-07,Union,Indiana,13,0,US
2020-07-08,Union,Indiana,13,0,US
2020-07-09,Union,Indiana,13,0,US
2020-07-10,Union,Indiana,13,0,US
2020-07-11,Union,Indiana,14,0,US
2020-07-12,Union,Indiana,14,0,US
2020-07-13,Union,Indiana,14,0,US
2020-07-14,Union,Indiana,15,0,US
2020-07-15,Union,Indiana,17,0,US
2020-07-16,Union,Indiana,17,0,US
2020-07-17,Union,Indiana,17,0,US
2020-07-18,Union,Indiana,17,0,US
2020-07-19,Union,Indiana,17,0,US
2020-07-20,Union,Indiana,17,0,US
2020-07-21,Union,Indiana,18,0,US
2020-07-22,Union,Indiana,20,0,US
2020-07-23,Union,Indiana,20,0,US
2020-07-24,Union,Indiana,22,0,US
2020-07-25,Union,Indiana,22,0,US
2020-07-26,Union,Indiana,22,0,US
2020-07-27,Union,Indiana,24,0,US
2020-07-28,Union,Indiana,24,0,US
2020-07-29,Union,Indiana,24,0,US
2020-07-30,Union,Indiana,28,0,US
2020-07-31,Union,Indiana,28,0,US
2020-08-01,Union,Indiana,28,0,US
2020-08-02,Union,Indiana,32,0,US
2020-08-03,Union,Indiana,32,0,US
