Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Utah,Utah,0,0,US
2020-01-23,Utah,Utah,0,0,US
2020-01-24,Utah,Utah,0,0,US
2020-01-25,Utah,Utah,0,0,US
2020-01-26,Utah,Utah,0,0,US
2020-01-27,Utah,Utah,0,0,US
2020-01-28,Utah,Utah,0,0,US
2020-01-29,Utah,Utah,0,0,US
2020-01-30,Utah,Utah,0,0,US
2020-01-31,Utah,Utah,0,0,US
2020-02-01,Utah,Utah,0,0,US
2020-02-02,Utah,Utah,0,0,US
2020-02-03,Utah,Utah,0,0,US
2020-02-04,Utah,Utah,0,0,US
2020-02-05,Utah,Utah,0,0,US
2020-02-06,Utah,Utah,0,0,US
2020-02-07,Utah,Utah,0,0,US
2020-02-08,Utah,Utah,0,0,US
2020-02-09,Utah,Utah,0,0,US
2020-02-10,Utah,Utah,0,0,US
2020-02-11,Utah,Utah,0,0,US
2020-02-12,Utah,Utah,0,0,US
2020-02-13,Utah,Utah,0,0,US
2020-02-14,Utah,Utah,0,0,US
2020-02-15,Utah,Utah,0,0,US
2020-02-16,Utah,Utah,0,0,US
2020-02-17,Utah,Utah,0,0,US
2020-02-18,Utah,Utah,0,0,US
2020-02-19,Utah,Utah,0,0,US
2020-02-20,Utah,Utah,0,0,US
2020-02-21,Utah,Utah,0,0,US
2020-02-22,Utah,Utah,0,0,US
2020-02-23,Utah,Utah,0,0,US
2020-02-24,Utah,Utah,0,0,US
2020-02-25,Utah,Utah,0,0,US
2020-02-26,Utah,Utah,0,0,US
2020-02-27,Utah,Utah,0,0,US
2020-02-28,Utah,Utah,0,0,US
2020-02-29,Utah,Utah,0,0,US
2020-03-01,Utah,Utah,0,0,US
2020-03-02,Utah,Utah,0,0,US
2020-03-03,Utah,Utah,0,0,US
2020-03-04,Utah,Utah,0,0,US
2020-03-05,Utah,Utah,0,0,US
2020-03-06,Utah,Utah,0,0,US
2020-03-07,Utah,Utah,0,0,US
2020-03-08,Utah,Utah,0,0,US
2020-03-09,Utah,Utah,0,0,US
2020-03-10,Utah,Utah,0,0,US
2020-03-11,Utah,Utah,0,0,US
2020-03-12,Utah,Utah,0,0,US
2020-03-13,Utah,Utah,0,0,US
2020-03-14,Utah,Utah,0,0,US
2020-03-15,Utah,Utah,0,0,US
2020-03-16,Utah,Utah,0,0,US
2020-03-17,Utah,Utah,0,0,US
2020-03-18,Utah,Utah,1,0,US
2020-03-19,Utah,Utah,2,0,US
2020-03-20,Utah,Utah,2,0,US
2020-03-21,Utah,Utah,3,0,US
2020-03-22,Utah,Utah,6,0,US
2020-03-23,Utah,Utah,11,0,US
2020-03-24,Utah,Utah,13,0,US
2020-03-25,Utah,Utah,18,0,US
