Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Van Buren,Michigan,0,0,US
2020-01-23,Van Buren,Michigan,0,0,US
2020-01-24,Van Buren,Michigan,0,0,US
2020-01-25,Van Buren,Michigan,0,0,US
2020-01-26,Van Buren,Michigan,0,0,US
2020-01-27,Van Buren,Michigan,0,0,US
2020-01-28,Van Buren,Michigan,0,0,US
2020-01-29,Van Buren,Michigan,0,0,US
2020-01-30,Van Buren,Michigan,0,0,US
2020-01-31,Van Buren,Michigan,0,0,US
2020-02-01,Van Buren,Michigan,0,0,US
2020-02-02,Van Buren,Michigan,0,0,US
2020-02-03,Van Buren,Michigan,0,0,US
2020-02-04,Van Buren,Michigan,0,0,US
2020-02-05,Van Buren,Michigan,0,0,US
2020-02-06,Van Buren,Michigan,0,0,US
2020-02-07,Van Buren,Michigan,0,0,US
2020-02-08,Van Buren,Michigan,0,0,US
2020-02-09,Van Buren,Michigan,0,0,US
2020-02-10,Van Buren,Michigan,0,0,US
2020-02-11,Van Buren,Michigan,0,0,US
2020-02-12,Van Buren,Michigan,0,0,US
2020-02-13,Van Buren,Michigan,0,0,US
2020-02-14,Van Buren,Michigan,0,0,US
2020-02-15,Van Buren,Michigan,0,0,US
2020-02-16,Van Buren,Michigan,0,0,US
2020-02-17,Van Buren,Michigan,0,0,US
2020-02-18,Van Buren,Michigan,0,0,US
2020-02-19,Van Buren,Michigan,0,0,US
2020-02-20,Van Buren,Michigan,0,0,US
2020-02-21,Van Buren,Michigan,0,0,US
2020-02-22,Van Buren,Michigan,0,0,US
2020-02-23,Van Buren,Michigan,0,0,US
2020-02-24,Van Buren,Michigan,0,0,US
2020-02-25,Van Buren,Michigan,0,0,US
2020-02-26,Van Buren,Michigan,0,0,US
2020-02-27,Van Buren,Michigan,0,0,US
2020-02-28,Van Buren,Michigan,0,0,US
2020-02-29,Van Buren,Michigan,0,0,US
2020-03-01,Van Buren,Michigan,0,0,US
2020-03-02,Van Buren,Michigan,0,0,US
2020-03-03,Van Buren,Michigan,0,0,US
2020-03-04,Van Buren,Michigan,0,0,US
2020-03-05,Van Buren,Michigan,0,0,US
2020-03-06,Van Buren,Michigan,0,0,US
2020-03-07,Van Buren,Michigan,0,0,US
2020-03-08,Van Buren,Michigan,0,0,US
2020-03-09,Van Buren,Michigan,0,0,US
2020-03-10,Van Buren,Michigan,0,0,US
2020-03-11,Van Buren,Michigan,0,0,US
2020-03-12,Van Buren,Michigan,0,0,US
2020-03-13,Van Buren,Michigan,0,0,US
2020-03-14,Van Buren,Michigan,0,0,US
2020-03-15,Van Buren,Michigan,0,0,US
2020-03-16,Van Buren,Michigan,0,0,US
2020-03-17,Van Buren,Michigan,0,0,US
2020-03-18,Van Buren,Michigan,0,0,US
2020-03-19,Van Buren,Michigan,0,0,US
2020-03-20,Van Buren,Michigan,0,0,US
2020-03-21,Van Buren,Michigan,0,0,US
2020-03-22,Van Buren,Michigan,0,0,US
2020-03-23,Van Buren,Michigan,0,0,US
2020-03-24,Van Buren,Michigan,0,1,US
2020-03-25,Van Buren,Michigan,2,1,US
2020-03-26,Van Buren,Michigan,2,1,US
2020-03-27,Van Buren,Michigan,4,1,US
2020-03-28,Van Buren,Michigan,5,1,US
2020-03-29,Van Buren,Michigan,5,1,US
2020-03-30,Van Buren,Michigan,5,1,US
2020-03-31,Van Buren,Michigan,8,1,US
2020-04-01,Van Buren,Michigan,14,1,US
2020-04-02,Van Buren,Michigan,16,2,US
2020-04-03,Van Buren,Michigan,16,2,US
2020-04-04,Van Buren,Michigan,16,2,US
2020-04-05,Van Buren,Michigan,18,2,US
2020-04-06,Van Buren,Michigan,22,2,US
2020-04-07,Van Buren,Michigan,25,2,US
2020-04-08,Van Buren,Michigan,26,2,US
2020-04-09,Van Buren,Michigan,26,2,US
2020-04-10,Van Buren,Michigan,29,2,US
2020-04-11,Van Buren,Michigan,30,2,US
2020-04-12,Van Buren,Michigan,30,2,US
2020-04-13,Van Buren,Michigan,30,2,US
2020-04-14,Van Buren,Michigan,32,3,US
2020-04-15,Van Buren,Michigan,37,3,US
2020-04-16,Van Buren,Michigan,37,3,US
2020-04-17,Van Buren,Michigan,40,3,US
2020-04-18,Van Buren,Michigan,43,3,US
2020-04-19,Van Buren,Michigan,45,3,US
2020-04-20,Van Buren,Michigan,46,3,US
2020-04-21,Van Buren,Michigan,47,3,US
2020-04-22,Van Buren,Michigan,49,3,US
2020-04-23,Van Buren,Michigan,48,3,US
2020-04-24,Van Buren,Michigan,47,3,US
2020-04-25,Van Buren,Michigan,47,3,US
2020-04-26,Van Buren,Michigan,48,3,US
2020-04-27,Van Buren,Michigan,49,3,US
2020-04-28,Van Buren,Michigan,56,3,US
2020-04-29,Van Buren,Michigan,60,3,US
2020-04-30,Van Buren,Michigan,63,3,US
2020-05-01,Van Buren,Michigan,68,3,US
2020-05-02,Van Buren,Michigan,73,3,US
2020-05-03,Van Buren,Michigan,77,3,US
2020-05-04,Van Buren,Michigan,83,3,US
2020-05-05,Van Buren,Michigan,85,3,US
2020-05-06,Van Buren,Michigan,85,3,US
2020-05-07,Van Buren,Michigan,90,3,US
2020-05-08,Van Buren,Michigan,98,3,US
2020-05-09,Van Buren,Michigan,101,4,US
2020-05-10,Van Buren,Michigan,105,5,US
2020-05-11,Van Buren,Michigan,110,5,US
2020-05-12,Van Buren,Michigan,113,5,US
2020-05-13,Van Buren,Michigan,113,5,US
2020-05-14,Van Buren,Michigan,120,6,US
2020-05-15,Van Buren,Michigan,126,6,US
2020-05-16,Van Buren,Michigan,130,6,US
2020-05-17,Van Buren,Michigan,132,6,US
2020-05-18,Van Buren,Michigan,135,7,US
2020-05-19,Van Buren,Michigan,137,7,US
2020-05-20,Van Buren,Michigan,137,7,US
2020-05-21,Van Buren,Michigan,138,7,US
2020-05-22,Van Buren,Michigan,141,7,US
2020-05-23,Van Buren,Michigan,142,7,US
2020-05-24,Van Buren,Michigan,142,7,US
2020-05-25,Van Buren,Michigan,144,7,US
2020-05-26,Van Buren,Michigan,147,7,US
2020-05-27,Van Buren,Michigan,152,7,US
2020-05-28,Van Buren,Michigan,155,7,US
2020-05-29,Van Buren,Michigan,157,7,US
2020-05-30,Van Buren,Michigan,161,7,US
2020-05-31,Van Buren,Michigan,165,7,US
2020-06-01,Van Buren,Michigan,165,7,US
2020-06-02,Van Buren,Michigan,168,7,US
2020-06-03,Van Buren,Michigan,170,7,US
2020-06-04,Van Buren,Michigan,171,7,US
2020-06-05,Van Buren,Michigan,177,7,US
2020-06-06,Van Buren,Michigan,189,7,US
2020-06-07,Van Buren,Michigan,191,7,US
2020-06-08,Van Buren,Michigan,195,7,US
2020-06-09,Van Buren,Michigan,195,7,US
2020-06-10,Van Buren,Michigan,195,7,US
2020-06-11,Van Buren,Michigan,195,8,US
2020-06-12,Van Buren,Michigan,200,7,US
2020-06-13,Van Buren,Michigan,202,7,US
2020-06-14,Van Buren,Michigan,206,7,US
2020-06-15,Van Buren,Michigan,205,7,US
2020-06-16,Van Buren,Michigan,207,7,US
2020-06-17,Van Buren,Michigan,210,7,US
2020-06-18,Van Buren,Michigan,212,7,US
2020-06-19,Van Buren,Michigan,213,7,US
2020-06-20,Van Buren,Michigan,215,7,US
