Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Vigo,Indiana,0,0,US
2020-01-23,Vigo,Indiana,0,0,US
2020-01-24,Vigo,Indiana,0,0,US
2020-01-25,Vigo,Indiana,0,0,US
2020-01-26,Vigo,Indiana,0,0,US
2020-01-27,Vigo,Indiana,0,0,US
2020-01-28,Vigo,Indiana,0,0,US
2020-01-29,Vigo,Indiana,0,0,US
2020-01-30,Vigo,Indiana,0,0,US
2020-01-31,Vigo,Indiana,0,0,US
2020-02-01,Vigo,Indiana,0,0,US
2020-02-02,Vigo,Indiana,0,0,US
2020-02-03,Vigo,Indiana,0,0,US
2020-02-04,Vigo,Indiana,0,0,US
2020-02-05,Vigo,Indiana,0,0,US
2020-02-06,Vigo,Indiana,0,0,US
2020-02-07,Vigo,Indiana,0,0,US
2020-02-08,Vigo,Indiana,0,0,US
2020-02-09,Vigo,Indiana,0,0,US
2020-02-10,Vigo,Indiana,0,0,US
2020-02-11,Vigo,Indiana,0,0,US
2020-02-12,Vigo,Indiana,0,0,US
2020-02-13,Vigo,Indiana,0,0,US
2020-02-14,Vigo,Indiana,0,0,US
2020-02-15,Vigo,Indiana,0,0,US
2020-02-16,Vigo,Indiana,0,0,US
2020-02-17,Vigo,Indiana,0,0,US
2020-02-18,Vigo,Indiana,0,0,US
2020-02-19,Vigo,Indiana,0,0,US
2020-02-20,Vigo,Indiana,0,0,US
2020-02-21,Vigo,Indiana,0,0,US
2020-02-22,Vigo,Indiana,0,0,US
2020-02-23,Vigo,Indiana,0,0,US
2020-02-24,Vigo,Indiana,0,0,US
2020-02-25,Vigo,Indiana,0,0,US
2020-02-26,Vigo,Indiana,0,0,US
2020-02-27,Vigo,Indiana,0,0,US
2020-02-28,Vigo,Indiana,0,0,US
2020-02-29,Vigo,Indiana,0,0,US
2020-03-01,Vigo,Indiana,0,0,US
2020-03-02,Vigo,Indiana,0,0,US
2020-03-03,Vigo,Indiana,0,0,US
2020-03-04,Vigo,Indiana,0,0,US
2020-03-05,Vigo,Indiana,0,0,US
2020-03-06,Vigo,Indiana,0,0,US
2020-03-07,Vigo,Indiana,0,0,US
2020-03-08,Vigo,Indiana,0,0,US
2020-03-09,Vigo,Indiana,0,0,US
2020-03-10,Vigo,Indiana,0,0,US
2020-03-11,Vigo,Indiana,0,0,US
2020-03-12,Vigo,Indiana,0,0,US
2020-03-13,Vigo,Indiana,0,0,US
2020-03-14,Vigo,Indiana,0,0,US
2020-03-15,Vigo,Indiana,0,0,US
2020-03-16,Vigo,Indiana,0,0,US
2020-03-17,Vigo,Indiana,0,0,US
2020-03-18,Vigo,Indiana,0,0,US
2020-03-19,Vigo,Indiana,1,0,US
2020-03-20,Vigo,Indiana,1,0,US
2020-03-21,Vigo,Indiana,2,0,US
2020-03-22,Vigo,Indiana,2,0,US
2020-03-23,Vigo,Indiana,2,0,US
2020-03-24,Vigo,Indiana,3,0,US
2020-03-25,Vigo,Indiana,3,0,US
2020-03-26,Vigo,Indiana,3,0,US
2020-03-27,Vigo,Indiana,3,0,US
2020-03-28,Vigo,Indiana,4,1,US
2020-03-29,Vigo,Indiana,7,1,US
2020-03-30,Vigo,Indiana,7,1,US
2020-03-31,Vigo,Indiana,8,1,US
2020-04-01,Vigo,Indiana,8,2,US
2020-04-02,Vigo,Indiana,10,2,US
2020-04-03,Vigo,Indiana,9,2,US
2020-04-04,Vigo,Indiana,10,2,US
2020-04-05,Vigo,Indiana,18,2,US
2020-04-06,Vigo,Indiana,25,2,US
2020-04-07,Vigo,Indiana,25,2,US
2020-04-08,Vigo,Indiana,32,2,US
2020-04-09,Vigo,Indiana,36,2,US
2020-04-10,Vigo,Indiana,40,2,US
2020-04-11,Vigo,Indiana,41,2,US
2020-04-12,Vigo,Indiana,42,2,US
2020-04-13,Vigo,Indiana,42,3,US
2020-04-14,Vigo,Indiana,42,3,US
2020-04-15,Vigo,Indiana,43,3,US
2020-04-16,Vigo,Indiana,46,3,US
2020-04-17,Vigo,Indiana,48,3,US
2020-04-18,Vigo,Indiana,51,4,US
2020-04-19,Vigo,Indiana,57,5,US
2020-04-20,Vigo,Indiana,58,5,US
2020-04-21,Vigo,Indiana,60,5,US
2020-04-22,Vigo,Indiana,60,5,US
2020-04-23,Vigo,Indiana,60,5,US
2020-04-24,Vigo,Indiana,62,5,US
2020-04-25,Vigo,Indiana,62,5,US
2020-04-26,Vigo,Indiana,62,5,US
2020-04-27,Vigo,Indiana,62,5,US
2020-04-28,Vigo,Indiana,62,5,US
2020-04-29,Vigo,Indiana,62,6,US
2020-04-30,Vigo,Indiana,64,6,US
2020-05-01,Vigo,Indiana,64,6,US
2020-05-02,Vigo,Indiana,67,6,US
2020-05-03,Vigo,Indiana,67,6,US
2020-05-04,Vigo,Indiana,69,6,US
2020-05-05,Vigo,Indiana,71,6,US
2020-05-06,Vigo,Indiana,73,6,US
2020-05-07,Vigo,Indiana,75,6,US
2020-05-08,Vigo,Indiana,74,6,US
2020-05-09,Vigo,Indiana,77,6,US
2020-05-10,Vigo,Indiana,80,6,US
2020-05-11,Vigo,Indiana,83,6,US
2020-05-12,Vigo,Indiana,86,6,US
2020-05-13,Vigo,Indiana,86,6,US
2020-05-14,Vigo,Indiana,98,6,US
2020-05-15,Vigo,Indiana,103,6,US
2020-05-16,Vigo,Indiana,106,6,US
2020-05-17,Vigo,Indiana,113,6,US
2020-05-18,Vigo,Indiana,118,7,US
2020-05-19,Vigo,Indiana,119,7,US
2020-05-20,Vigo,Indiana,126,8,US
