Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Wabash,Illinois,0,0,US
2020-01-23,Wabash,Illinois,0,0,US
2020-01-24,Wabash,Illinois,0,0,US
2020-01-25,Wabash,Illinois,0,0,US
2020-01-26,Wabash,Illinois,0,0,US
2020-01-27,Wabash,Illinois,0,0,US
2020-01-28,Wabash,Illinois,0,0,US
2020-01-29,Wabash,Illinois,0,0,US
2020-01-30,Wabash,Illinois,0,0,US
2020-01-31,Wabash,Illinois,0,0,US
2020-02-01,Wabash,Illinois,0,0,US
2020-02-02,Wabash,Illinois,0,0,US
2020-02-03,Wabash,Illinois,0,0,US
2020-02-04,Wabash,Illinois,0,0,US
2020-02-05,Wabash,Illinois,0,0,US
2020-02-06,Wabash,Illinois,0,0,US
2020-02-07,Wabash,Illinois,0,0,US
2020-02-08,Wabash,Illinois,0,0,US
2020-02-09,Wabash,Illinois,0,0,US
2020-02-10,Wabash,Illinois,0,0,US
2020-02-11,Wabash,Illinois,0,0,US
2020-02-12,Wabash,Illinois,0,0,US
2020-02-13,Wabash,Illinois,0,0,US
2020-02-14,Wabash,Illinois,0,0,US
2020-02-15,Wabash,Illinois,0,0,US
2020-02-16,Wabash,Illinois,0,0,US
2020-02-17,Wabash,Illinois,0,0,US
2020-02-18,Wabash,Illinois,0,0,US
2020-02-19,Wabash,Illinois,0,0,US
2020-02-20,Wabash,Illinois,0,0,US
2020-02-21,Wabash,Illinois,0,0,US
2020-02-22,Wabash,Illinois,0,0,US
2020-02-23,Wabash,Illinois,0,0,US
2020-02-24,Wabash,Illinois,0,0,US
2020-02-25,Wabash,Illinois,0,0,US
2020-02-26,Wabash,Illinois,0,0,US
2020-02-27,Wabash,Illinois,0,0,US
2020-02-28,Wabash,Illinois,0,0,US
2020-02-29,Wabash,Illinois,0,0,US
2020-03-01,Wabash,Illinois,0,0,US
2020-03-02,Wabash,Illinois,0,0,US
2020-03-03,Wabash,Illinois,0,0,US
2020-03-04,Wabash,Illinois,0,0,US
2020-03-05,Wabash,Illinois,0,0,US
2020-03-06,Wabash,Illinois,0,0,US
2020-03-07,Wabash,Illinois,0,0,US
