Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Wakulla,Florida,0,0,US
2020-01-23,Wakulla,Florida,0,0,US
2020-01-24,Wakulla,Florida,0,0,US
2020-01-25,Wakulla,Florida,0,0,US
2020-01-26,Wakulla,Florida,0,0,US
2020-01-27,Wakulla,Florida,0,0,US
2020-01-28,Wakulla,Florida,0,0,US
2020-01-29,Wakulla,Florida,0,0,US
2020-01-30,Wakulla,Florida,0,0,US
2020-01-31,Wakulla,Florida,0,0,US
2020-02-01,Wakulla,Florida,0,0,US
2020-02-02,Wakulla,Florida,0,0,US
2020-02-03,Wakulla,Florida,0,0,US
2020-02-04,Wakulla,Florida,0,0,US
2020-02-05,Wakulla,Florida,0,0,US
2020-02-06,Wakulla,Florida,0,0,US
2020-02-07,Wakulla,Florida,0,0,US
2020-02-08,Wakulla,Florida,0,0,US
2020-02-09,Wakulla,Florida,0,0,US
2020-02-10,Wakulla,Florida,0,0,US
2020-02-11,Wakulla,Florida,0,0,US
2020-02-12,Wakulla,Florida,0,0,US
2020-02-13,Wakulla,Florida,0,0,US
2020-02-14,Wakulla,Florida,0,0,US
2020-02-15,Wakulla,Florida,0,0,US
2020-02-16,Wakulla,Florida,0,0,US
2020-02-17,Wakulla,Florida,0,0,US
2020-02-18,Wakulla,Florida,0,0,US
2020-02-19,Wakulla,Florida,0,0,US
2020-02-20,Wakulla,Florida,0,0,US
2020-02-21,Wakulla,Florida,0,0,US
2020-02-22,Wakulla,Florida,0,0,US
2020-02-23,Wakulla,Florida,0,0,US
2020-02-24,Wakulla,Florida,0,0,US
2020-02-25,Wakulla,Florida,0,0,US
2020-02-26,Wakulla,Florida,0,0,US
2020-02-27,Wakulla,Florida,0,0,US
2020-02-28,Wakulla,Florida,0,0,US
2020-02-29,Wakulla,Florida,0,0,US
2020-03-01,Wakulla,Florida,0,0,US
2020-03-02,Wakulla,Florida,0,0,US
2020-03-03,Wakulla,Florida,0,0,US
2020-03-04,Wakulla,Florida,0,0,US
2020-03-05,Wakulla,Florida,0,0,US
2020-03-06,Wakulla,Florida,0,0,US
2020-03-07,Wakulla,Florida,0,0,US
2020-03-08,Wakulla,Florida,0,0,US
2020-03-09,Wakulla,Florida,0,0,US
2020-03-10,Wakulla,Florida,0,0,US
2020-03-11,Wakulla,Florida,0,0,US
2020-03-12,Wakulla,Florida,0,0,US
2020-03-13,Wakulla,Florida,0,0,US
2020-03-14,Wakulla,Florida,0,0,US
2020-03-15,Wakulla,Florida,0,0,US
2020-03-16,Wakulla,Florida,0,0,US
2020-03-17,Wakulla,Florida,0,0,US
2020-03-18,Wakulla,Florida,0,0,US
2020-03-19,Wakulla,Florida,0,0,US
2020-03-20,Wakulla,Florida,0,0,US
2020-03-21,Wakulla,Florida,0,0,US
2020-03-22,Wakulla,Florida,0,0,US
2020-03-23,Wakulla,Florida,0,0,US
2020-03-24,Wakulla,Florida,0,0,US
2020-03-25,Wakulla,Florida,0,0,US
2020-03-26,Wakulla,Florida,0,0,US
2020-03-27,Wakulla,Florida,0,0,US
2020-03-28,Wakulla,Florida,0,0,US
2020-03-29,Wakulla,Florida,0,0,US
2020-03-30,Wakulla,Florida,1,0,US
2020-03-31,Wakulla,Florida,1,0,US
2020-04-01,Wakulla,Florida,1,0,US
2020-04-02,Wakulla,Florida,2,0,US
2020-04-03,Wakulla,Florida,3,0,US
2020-04-04,Wakulla,Florida,5,0,US
2020-04-05,Wakulla,Florida,6,0,US
2020-04-06,Wakulla,Florida,6,0,US
2020-04-07,Wakulla,Florida,6,0,US
2020-04-08,Wakulla,Florida,7,0,US
2020-04-09,Wakulla,Florida,7,0,US
2020-04-10,Wakulla,Florida,7,0,US
2020-04-11,Wakulla,Florida,7,0,US
