Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Waller,Texas,0,0,US
2020-01-23,Waller,Texas,0,0,US
2020-01-24,Waller,Texas,0,0,US
2020-01-25,Waller,Texas,0,0,US
2020-01-26,Waller,Texas,0,0,US
2020-01-27,Waller,Texas,0,0,US
2020-01-28,Waller,Texas,0,0,US
2020-01-29,Waller,Texas,0,0,US
2020-01-30,Waller,Texas,0,0,US
2020-01-31,Waller,Texas,0,0,US
2020-02-01,Waller,Texas,0,0,US
2020-02-02,Waller,Texas,0,0,US
2020-02-03,Waller,Texas,0,0,US
2020-02-04,Waller,Texas,0,0,US
2020-02-05,Waller,Texas,0,0,US
2020-02-06,Waller,Texas,0,0,US
2020-02-07,Waller,Texas,0,0,US
2020-02-08,Waller,Texas,0,0,US
2020-02-09,Waller,Texas,0,0,US
2020-02-10,Waller,Texas,0,0,US
2020-02-11,Waller,Texas,0,0,US
2020-02-12,Waller,Texas,0,0,US
2020-02-13,Waller,Texas,0,0,US
2020-02-14,Waller,Texas,0,0,US
2020-02-15,Waller,Texas,0,0,US
2020-02-16,Waller,Texas,0,0,US
2020-02-17,Waller,Texas,0,0,US
2020-02-18,Waller,Texas,0,0,US
2020-02-19,Waller,Texas,0,0,US
2020-02-20,Waller,Texas,0,0,US
2020-02-21,Waller,Texas,0,0,US
2020-02-22,Waller,Texas,0,0,US
2020-02-23,Waller,Texas,0,0,US
2020-02-24,Waller,Texas,0,0,US
2020-02-25,Waller,Texas,0,0,US
2020-02-26,Waller,Texas,0,0,US
2020-02-27,Waller,Texas,0,0,US
2020-02-28,Waller,Texas,0,0,US
2020-02-29,Waller,Texas,0,0,US
2020-03-01,Waller,Texas,0,0,US
2020-03-02,Waller,Texas,0,0,US
2020-03-03,Waller,Texas,0,0,US
2020-03-04,Waller,Texas,0,0,US
2020-03-05,Waller,Texas,0,0,US
2020-03-06,Waller,Texas,0,0,US
2020-03-07,Waller,Texas,0,0,US
2020-03-08,Waller,Texas,0,0,US
2020-03-09,Waller,Texas,0,0,US
2020-03-10,Waller,Texas,0,0,US
2020-03-11,Waller,Texas,0,0,US
2020-03-12,Waller,Texas,0,0,US
2020-03-13,Waller,Texas,0,0,US
2020-03-14,Waller,Texas,0,0,US
2020-03-15,Waller,Texas,0,0,US
2020-03-16,Waller,Texas,0,0,US
2020-03-17,Waller,Texas,0,0,US
2020-03-18,Waller,Texas,0,0,US
2020-03-19,Waller,Texas,0,0,US
2020-03-20,Waller,Texas,0,0,US
2020-03-21,Waller,Texas,0,0,US
2020-03-22,Waller,Texas,0,0,US
2020-03-23,Waller,Texas,1,0,US
2020-03-24,Waller,Texas,1,0,US
2020-03-25,Waller,Texas,1,0,US
2020-03-26,Waller,Texas,0,0,US
2020-03-27,Waller,Texas,0,0,US
2020-03-28,Waller,Texas,0,0,US
2020-03-29,Waller,Texas,0,0,US
2020-03-30,Waller,Texas,3,0,US
2020-03-31,Waller,Texas,3,0,US
2020-04-01,Waller,Texas,4,0,US
2020-04-02,Waller,Texas,4,0,US
2020-04-03,Waller,Texas,4,0,US
2020-04-04,Waller,Texas,4,0,US
2020-04-05,Waller,Texas,4,0,US
2020-04-06,Waller,Texas,4,0,US
2020-04-07,Waller,Texas,5,0,US
2020-04-08,Waller,Texas,5,0,US
2020-04-09,Waller,Texas,6,0,US
2020-04-10,Waller,Texas,6,0,US
2020-04-11,Waller,Texas,7,0,US
2020-04-12,Waller,Texas,7,0,US
2020-04-13,Waller,Texas,7,0,US
2020-04-14,Waller,Texas,9,0,US
2020-04-15,Waller,Texas,10,0,US
2020-04-16,Waller,Texas,12,0,US
2020-04-17,Waller,Texas,13,0,US
2020-04-18,Waller,Texas,13,0,US
2020-04-19,Waller,Texas,13,0,US
2020-04-20,Waller,Texas,14,0,US
2020-04-21,Waller,Texas,14,0,US
2020-04-22,Waller,Texas,14,0,US
2020-04-23,Waller,Texas,15,0,US
2020-04-24,Waller,Texas,18,0,US
2020-04-25,Waller,Texas,18,0,US
2020-04-26,Waller,Texas,18,0,US
2020-04-27,Waller,Texas,21,0,US
2020-04-28,Waller,Texas,21,0,US
2020-04-29,Waller,Texas,22,0,US
2020-04-30,Waller,Texas,22,0,US
2020-05-01,Waller,Texas,22,0,US
2020-05-02,Waller,Texas,22,0,US
2020-05-03,Waller,Texas,22,0,US
2020-05-04,Waller,Texas,22,0,US
2020-05-05,Waller,Texas,22,0,US
2020-05-06,Waller,Texas,23,0,US
