Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Washington,Utah,0,0,US
2020-01-23,Washington,Utah,0,0,US
2020-01-24,Washington,Utah,0,0,US
2020-01-25,Washington,Utah,0,0,US
2020-01-26,Washington,Utah,0,0,US
2020-01-27,Washington,Utah,0,0,US
2020-01-28,Washington,Utah,0,0,US
2020-01-29,Washington,Utah,0,0,US
2020-01-30,Washington,Utah,0,0,US
2020-01-31,Washington,Utah,0,0,US
2020-02-01,Washington,Utah,0,0,US
2020-02-02,Washington,Utah,0,0,US
2020-02-03,Washington,Utah,0,0,US
2020-02-04,Washington,Utah,0,0,US
2020-02-05,Washington,Utah,0,0,US
2020-02-06,Washington,Utah,0,0,US
2020-02-07,Washington,Utah,0,0,US
2020-02-08,Washington,Utah,0,0,US
2020-02-09,Washington,Utah,0,0,US
2020-02-10,Washington,Utah,0,0,US
2020-02-11,Washington,Utah,0,0,US
2020-02-12,Washington,Utah,0,0,US
2020-02-13,Washington,Utah,0,0,US
2020-02-14,Washington,Utah,0,0,US
2020-02-15,Washington,Utah,0,0,US
2020-02-16,Washington,Utah,0,0,US
2020-02-17,Washington,Utah,0,0,US
2020-02-18,Washington,Utah,0,0,US
2020-02-19,Washington,Utah,0,0,US
2020-02-20,Washington,Utah,0,0,US
2020-02-21,Washington,Utah,0,0,US
2020-02-22,Washington,Utah,0,0,US
2020-02-23,Washington,Utah,0,0,US
2020-02-24,Washington,Utah,0,0,US
2020-02-25,Washington,Utah,0,0,US
2020-02-26,Washington,Utah,0,0,US
2020-02-27,Washington,Utah,0,0,US
2020-02-28,Washington,Utah,0,0,US
2020-02-29,Washington,Utah,0,0,US
2020-03-01,Washington,Utah,0,0,US
2020-03-02,Washington,Utah,0,0,US
2020-03-03,Washington,Utah,0,0,US
2020-03-04,Washington,Utah,0,0,US
2020-03-05,Washington,Utah,0,0,US
2020-03-06,Washington,Utah,0,0,US
2020-03-07,Washington,Utah,0,0,US
2020-03-08,Washington,Utah,0,0,US
2020-03-09,Washington,Utah,0,0,US
2020-03-10,Washington,Utah,0,0,US
2020-03-11,Washington,Utah,0,0,US
2020-03-12,Washington,Utah,0,0,US
2020-03-13,Washington,Utah,0,0,US
2020-03-14,Washington,Utah,0,0,US
2020-03-15,Washington,Utah,0,0,US
2020-03-16,Washington,Utah,0,0,US
2020-03-17,Washington,Utah,0,0,US
2020-03-18,Washington,Utah,0,0,US
2020-03-19,Washington,Utah,0,0,US
2020-03-20,Washington,Utah,0,0,US
