Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Watonwan,Minnesota,0,0,US
2020-01-23,Watonwan,Minnesota,0,0,US
2020-01-24,Watonwan,Minnesota,0,0,US
2020-01-25,Watonwan,Minnesota,0,0,US
2020-01-26,Watonwan,Minnesota,0,0,US
2020-01-27,Watonwan,Minnesota,0,0,US
2020-01-28,Watonwan,Minnesota,0,0,US
2020-01-29,Watonwan,Minnesota,0,0,US
2020-01-30,Watonwan,Minnesota,0,0,US
2020-01-31,Watonwan,Minnesota,0,0,US
2020-02-01,Watonwan,Minnesota,0,0,US
2020-02-02,Watonwan,Minnesota,0,0,US
2020-02-03,Watonwan,Minnesota,0,0,US
2020-02-04,Watonwan,Minnesota,0,0,US
2020-02-05,Watonwan,Minnesota,0,0,US
2020-02-06,Watonwan,Minnesota,0,0,US
2020-02-07,Watonwan,Minnesota,0,0,US
2020-02-08,Watonwan,Minnesota,0,0,US
2020-02-09,Watonwan,Minnesota,0,0,US
2020-02-10,Watonwan,Minnesota,0,0,US
2020-02-11,Watonwan,Minnesota,0,0,US
2020-02-12,Watonwan,Minnesota,0,0,US
2020-02-13,Watonwan,Minnesota,0,0,US
2020-02-14,Watonwan,Minnesota,0,0,US
2020-02-15,Watonwan,Minnesota,0,0,US
2020-02-16,Watonwan,Minnesota,0,0,US
2020-02-17,Watonwan,Minnesota,0,0,US
2020-02-18,Watonwan,Minnesota,0,0,US
2020-02-19,Watonwan,Minnesota,0,0,US
2020-02-20,Watonwan,Minnesota,0,0,US
2020-02-21,Watonwan,Minnesota,0,0,US
2020-02-22,Watonwan,Minnesota,0,0,US
2020-02-23,Watonwan,Minnesota,0,0,US
2020-02-24,Watonwan,Minnesota,0,0,US
2020-02-25,Watonwan,Minnesota,0,0,US
2020-02-26,Watonwan,Minnesota,0,0,US
2020-02-27,Watonwan,Minnesota,0,0,US
2020-02-28,Watonwan,Minnesota,0,0,US
2020-02-29,Watonwan,Minnesota,0,0,US
2020-03-01,Watonwan,Minnesota,0,0,US
2020-03-02,Watonwan,Minnesota,0,0,US
2020-03-03,Watonwan,Minnesota,0,0,US
2020-03-04,Watonwan,Minnesota,0,0,US
2020-03-05,Watonwan,Minnesota,0,0,US
2020-03-06,Watonwan,Minnesota,0,0,US
2020-03-07,Watonwan,Minnesota,0,0,US
2020-03-08,Watonwan,Minnesota,0,0,US
2020-03-09,Watonwan,Minnesota,0,0,US
2020-03-10,Watonwan,Minnesota,0,0,US
2020-03-11,Watonwan,Minnesota,0,0,US
2020-03-12,Watonwan,Minnesota,0,0,US
2020-03-13,Watonwan,Minnesota,0,0,US
2020-03-14,Watonwan,Minnesota,0,0,US
2020-03-15,Watonwan,Minnesota,0,0,US
2020-03-16,Watonwan,Minnesota,0,0,US
2020-03-17,Watonwan,Minnesota,0,0,US
2020-03-18,Watonwan,Minnesota,0,0,US
2020-03-19,Watonwan,Minnesota,0,0,US
2020-03-20,Watonwan,Minnesota,0,0,US
2020-03-21,Watonwan,Minnesota,0,0,US
2020-03-22,Watonwan,Minnesota,0,0,US
2020-03-23,Watonwan,Minnesota,0,0,US
2020-03-24,Watonwan,Minnesota,0,0,US
2020-03-25,Watonwan,Minnesota,0,0,US
2020-03-26,Watonwan,Minnesota,0,0,US
2020-03-27,Watonwan,Minnesota,0,0,US
2020-03-28,Watonwan,Minnesota,0,0,US
2020-03-29,Watonwan,Minnesota,0,0,US
2020-03-30,Watonwan,Minnesota,1,0,US
2020-03-31,Watonwan,Minnesota,1,0,US
2020-04-01,Watonwan,Minnesota,2,0,US
2020-04-02,Watonwan,Minnesota,3,0,US
2020-04-03,Watonwan,Minnesota,3,0,US
2020-04-04,Watonwan,Minnesota,3,0,US
2020-04-05,Watonwan,Minnesota,4,0,US
2020-04-06,Watonwan,Minnesota,4,0,US
2020-04-07,Watonwan,Minnesota,4,0,US
2020-04-08,Watonwan,Minnesota,4,0,US
2020-04-09,Watonwan,Minnesota,4,0,US
2020-04-10,Watonwan,Minnesota,4,0,US
2020-04-11,Watonwan,Minnesota,4,0,US
2020-04-12,Watonwan,Minnesota,4,0,US
2020-04-13,Watonwan,Minnesota,4,0,US
2020-04-14,Watonwan,Minnesota,4,0,US
2020-04-15,Watonwan,Minnesota,4,0,US
2020-04-16,Watonwan,Minnesota,4,0,US
2020-04-17,Watonwan,Minnesota,4,0,US
2020-04-18,Watonwan,Minnesota,4,0,US
2020-04-19,Watonwan,Minnesota,4,0,US
2020-04-20,Watonwan,Minnesota,4,0,US
2020-04-21,Watonwan,Minnesota,4,0,US
2020-04-22,Watonwan,Minnesota,4,0,US
2020-04-23,Watonwan,Minnesota,4,0,US
2020-04-24,Watonwan,Minnesota,5,0,US
2020-04-25,Watonwan,Minnesota,5,0,US
2020-04-26,Watonwan,Minnesota,7,0,US
2020-04-27,Watonwan,Minnesota,7,0,US
2020-04-28,Watonwan,Minnesota,7,0,US
2020-04-29,Watonwan,Minnesota,9,0,US
2020-04-30,Watonwan,Minnesota,11,0,US
2020-05-01,Watonwan,Minnesota,14,0,US
2020-05-02,Watonwan,Minnesota,14,0,US
2020-05-03,Watonwan,Minnesota,14,0,US
2020-05-04,Watonwan,Minnesota,15,0,US
2020-05-05,Watonwan,Minnesota,15,0,US
2020-05-06,Watonwan,Minnesota,15,0,US
2020-05-07,Watonwan,Minnesota,18,0,US
2020-05-08,Watonwan,Minnesota,19,0,US
2020-05-09,Watonwan,Minnesota,22,0,US
2020-05-10,Watonwan,Minnesota,22,0,US
2020-05-11,Watonwan,Minnesota,25,0,US
2020-05-12,Watonwan,Minnesota,28,0,US
2020-05-13,Watonwan,Minnesota,30,0,US
2020-05-14,Watonwan,Minnesota,32,0,US
2020-05-15,Watonwan,Minnesota,33,0,US
2020-05-16,Watonwan,Minnesota,36,0,US
2020-05-17,Watonwan,Minnesota,41,0,US
2020-05-18,Watonwan,Minnesota,41,0,US
2020-05-19,Watonwan,Minnesota,41,0,US
2020-05-20,Watonwan,Minnesota,42,0,US
2020-05-21,Watonwan,Minnesota,42,0,US
2020-05-22,Watonwan,Minnesota,45,0,US
2020-05-23,Watonwan,Minnesota,46,0,US
2020-05-24,Watonwan,Minnesota,50,0,US
2020-05-25,Watonwan,Minnesota,56,0,US
2020-05-26,Watonwan,Minnesota,58,0,US
2020-05-27,Watonwan,Minnesota,59,0,US
2020-05-28,Watonwan,Minnesota,64,0,US
2020-05-29,Watonwan,Minnesota,69,0,US
2020-05-30,Watonwan,Minnesota,71,0,US
2020-05-31,Watonwan,Minnesota,74,0,US
2020-06-01,Watonwan,Minnesota,75,0,US
2020-06-02,Watonwan,Minnesota,77,0,US
2020-06-03,Watonwan,Minnesota,78,0,US
2020-06-04,Watonwan,Minnesota,78,0,US
2020-06-05,Watonwan,Minnesota,79,0,US
2020-06-06,Watonwan,Minnesota,80,0,US
2020-06-07,Watonwan,Minnesota,83,0,US
2020-06-08,Watonwan,Minnesota,83,0,US
2020-06-09,Watonwan,Minnesota,84,0,US
2020-06-10,Watonwan,Minnesota,86,0,US
2020-06-11,Watonwan,Minnesota,86,0,US
2020-06-12,Watonwan,Minnesota,96,0,US
2020-06-13,Watonwan,Minnesota,98,0,US
2020-06-14,Watonwan,Minnesota,98,0,US
2020-06-15,Watonwan,Minnesota,98,0,US
2020-06-16,Watonwan,Minnesota,99,0,US
2020-06-17,Watonwan,Minnesota,108,0,US
2020-06-18,Watonwan,Minnesota,115,0,US
2020-06-19,Watonwan,Minnesota,128,0,US
2020-06-20,Watonwan,Minnesota,137,0,US
2020-06-21,Watonwan,Minnesota,144,0,US
2020-06-22,Watonwan,Minnesota,157,0,US
2020-06-23,Watonwan,Minnesota,166,0,US
2020-06-24,Watonwan,Minnesota,173,0,US
2020-06-25,Watonwan,Minnesota,175,0,US
2020-06-26,Watonwan,Minnesota,186,0,US
2020-06-27,Watonwan,Minnesota,190,0,US
2020-06-28,Watonwan,Minnesota,196,0,US
2020-06-29,Watonwan,Minnesota,200,0,US
2020-06-30,Watonwan,Minnesota,203,0,US
2020-07-01,Watonwan,Minnesota,206,0,US
2020-07-02,Watonwan,Minnesota,215,0,US
2020-07-03,Watonwan,Minnesota,216,0,US
2020-07-04,Watonwan,Minnesota,216,0,US
2020-07-05,Watonwan,Minnesota,224,0,US
2020-07-06,Watonwan,Minnesota,234,0,US
2020-07-07,Watonwan,Minnesota,238,0,US
2020-07-08,Watonwan,Minnesota,240,0,US
2020-07-09,Watonwan,Minnesota,242,0,US
2020-07-10,Watonwan,Minnesota,245,0,US
2020-07-11,Watonwan,Minnesota,267,0,US
2020-07-12,Watonwan,Minnesota,271,0,US
2020-07-13,Watonwan,Minnesota,272,0,US
2020-07-14,Watonwan,Minnesota,272,0,US
2020-07-15,Watonwan,Minnesota,273,0,US
2020-07-16,Watonwan,Minnesota,272,0,US
2020-07-17,Watonwan,Minnesota,276,0,US
2020-07-18,Watonwan,Minnesota,275,0,US
2020-07-19,Watonwan,Minnesota,278,0,US
2020-07-20,Watonwan,Minnesota,279,0,US
2020-07-21,Watonwan,Minnesota,280,0,US
2020-07-22,Watonwan,Minnesota,282,0,US
2020-07-23,Watonwan,Minnesota,283,0,US
2020-07-24,Watonwan,Minnesota,286,0,US
2020-07-25,Watonwan,Minnesota,288,0,US
2020-07-26,Watonwan,Minnesota,291,0,US
2020-07-27,Watonwan,Minnesota,292,0,US
2020-07-28,Watonwan,Minnesota,293,0,US
2020-07-29,Watonwan,Minnesota,297,0,US
2020-07-30,Watonwan,Minnesota,298,0,US
2020-07-31,Watonwan,Minnesota,299,0,US
2020-08-01,Watonwan,Minnesota,298,0,US
2020-08-02,Watonwan,Minnesota,298,0,US
2020-08-03,Watonwan,Minnesota,298,0,US
2020-08-04,Watonwan,Minnesota,299,0,US
2020-08-05,Watonwan,Minnesota,300,0,US
2020-08-06,Watonwan,Minnesota,301,0,US
2020-08-07,Watonwan,Minnesota,307,0,US
2020-08-08,Watonwan,Minnesota,308,0,US
2020-08-09,Watonwan,Minnesota,308,0,US
2020-08-10,Watonwan,Minnesota,308,0,US
2020-08-11,Watonwan,Minnesota,323,0,US
2020-08-12,Watonwan,Minnesota,328,1,US
2020-08-13,Watonwan,Minnesota,367,1,US
2020-08-14,Watonwan,Minnesota,384,2,US
2020-08-15,Watonwan,Minnesota,390,2,US
2020-08-16,Watonwan,Minnesota,391,2,US
2020-08-17,Watonwan,Minnesota,393,2,US
2020-08-18,Watonwan,Minnesota,394,3,US
2020-08-19,Watonwan,Minnesota,394,3,US
2020-08-20,Watonwan,Minnesota,395,3,US
2020-08-21,Watonwan,Minnesota,396,3,US
2020-08-22,Watonwan,Minnesota,400,3,US
2020-08-23,Watonwan,Minnesota,403,3,US
2020-08-24,Watonwan,Minnesota,404,3,US
2020-08-25,Watonwan,Minnesota,405,4,US
2020-08-26,Watonwan,Minnesota,413,4,US
2020-08-27,Watonwan,Minnesota,418,4,US
2020-08-28,Watonwan,Minnesota,422,4,US
2020-08-29,Watonwan,Minnesota,426,4,US
2020-08-30,Watonwan,Minnesota,438,4,US
2020-08-31,Watonwan,Minnesota,443,4,US
2020-09-01,Watonwan,Minnesota,445,4,US
2020-09-02,Watonwan,Minnesota,445,4,US
2020-09-03,Watonwan,Minnesota,445,4,US
2020-09-04,Watonwan,Minnesota,449,4,US
2020-09-05,Watonwan,Minnesota,449,4,US
2020-09-06,Watonwan,Minnesota,451,4,US
2020-09-07,Watonwan,Minnesota,453,4,US
2020-09-08,Watonwan,Minnesota,454,4,US
2020-09-09,Watonwan,Minnesota,451,4,US
2020-09-10,Watonwan,Minnesota,455,4,US
2020-09-11,Watonwan,Minnesota,462,4,US
2020-09-12,Watonwan,Minnesota,471,4,US
2020-09-13,Watonwan,Minnesota,473,4,US
2020-09-14,Watonwan,Minnesota,475,4,US
2020-09-15,Watonwan,Minnesota,476,4,US
2020-09-16,Watonwan,Minnesota,482,4,US
2020-09-17,Watonwan,Minnesota,484,4,US
2020-09-18,Watonwan,Minnesota,495,4,US
2020-09-19,Watonwan,Minnesota,498,4,US
2020-09-20,Watonwan,Minnesota,505,4,US
2020-09-21,Watonwan,Minnesota,506,4,US
2020-09-22,Watonwan,Minnesota,511,4,US
2020-09-23,Watonwan,Minnesota,514,4,US
2020-09-24,Watonwan,Minnesota,516,4,US
2020-09-25,Watonwan,Minnesota,520,4,US
2020-09-26,Watonwan,Minnesota,528,4,US
2020-09-27,Watonwan,Minnesota,530,4,US
2020-09-28,Watonwan,Minnesota,530,4,US
2020-09-29,Watonwan,Minnesota,535,4,US
