Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Wayne,Michigan,0,0,US
2020-01-23,Wayne,Michigan,0,0,US
2020-01-24,Wayne,Michigan,0,0,US
2020-01-25,Wayne,Michigan,0,0,US
2020-01-26,Wayne,Michigan,0,0,US
2020-01-27,Wayne,Michigan,0,0,US
2020-01-28,Wayne,Michigan,0,0,US
2020-01-29,Wayne,Michigan,0,0,US
2020-01-30,Wayne,Michigan,0,0,US
2020-01-31,Wayne,Michigan,0,0,US
2020-02-01,Wayne,Michigan,0,0,US
2020-02-02,Wayne,Michigan,0,0,US
2020-02-03,Wayne,Michigan,0,0,US
2020-02-04,Wayne,Michigan,0,0,US
2020-02-05,Wayne,Michigan,0,0,US
2020-02-06,Wayne,Michigan,0,0,US
2020-02-07,Wayne,Michigan,0,0,US
2020-02-08,Wayne,Michigan,0,0,US
2020-02-09,Wayne,Michigan,0,0,US
2020-02-10,Wayne,Michigan,0,0,US
2020-02-11,Wayne,Michigan,0,0,US
2020-02-12,Wayne,Michigan,0,0,US
2020-02-13,Wayne,Michigan,0,0,US
2020-02-14,Wayne,Michigan,0,0,US
2020-02-15,Wayne,Michigan,0,0,US
2020-02-16,Wayne,Michigan,0,0,US
2020-02-17,Wayne,Michigan,0,0,US
2020-02-18,Wayne,Michigan,0,0,US
2020-02-19,Wayne,Michigan,0,0,US
2020-02-20,Wayne,Michigan,0,0,US
2020-02-21,Wayne,Michigan,0,0,US
2020-02-22,Wayne,Michigan,0,0,US
2020-02-23,Wayne,Michigan,0,0,US
2020-02-24,Wayne,Michigan,0,0,US
2020-02-25,Wayne,Michigan,0,0,US
2020-02-26,Wayne,Michigan,0,0,US
2020-02-27,Wayne,Michigan,0,0,US
2020-02-28,Wayne,Michigan,0,0,US
2020-02-29,Wayne,Michigan,0,0,US
2020-03-01,Wayne,Michigan,0,0,US
2020-03-02,Wayne,Michigan,0,0,US
2020-03-03,Wayne,Michigan,0,0,US
2020-03-04,Wayne,Michigan,0,0,US
2020-03-05,Wayne,Michigan,0,0,US
2020-03-06,Wayne,Michigan,0,0,US
2020-03-07,Wayne,Michigan,0,0,US
2020-03-08,Wayne,Michigan,0,0,US
2020-03-09,Wayne,Michigan,0,0,US
2020-03-10,Wayne,Michigan,0,0,US
2020-03-11,Wayne,Michigan,1,0,US
2020-03-12,Wayne,Michigan,1,1,US
2020-03-13,Wayne,Michigan,2,1,US
2020-03-14,Wayne,Michigan,6,1,US
2020-03-15,Wayne,Michigan,8,1,US
2020-03-16,Wayne,Michigan,14,1,US
2020-03-17,Wayne,Michigan,14,1,US
2020-03-18,Wayne,Michigan,24,2,US
2020-03-19,Wayne,Michigan,45,2,US
2020-03-20,Wayne,Michigan,68,2,US
2020-03-21,Wayne,Michigan,103,2,US
2020-03-22,Wayne,Michigan,478,6,US
2020-03-23,Wayne,Michigan,639,9,US
2020-03-24,Wayne,Michigan,878,15,US
2020-03-25,Wayne,Michigan,1125,24,US
2020-03-26,Wayne,Michigan,1392,31,US
2020-03-27,Wayne,Michigan,1814,46,US
2020-03-28,Wayne,Michigan,2322,59,US
2020-03-29,Wayne,Michigan,2712,72,US
2020-03-30,Wayne,Michigan,3206,102,US
2020-03-31,Wayne,Michigan,3752,142,US
2020-04-01,Wayne,Michigan,4503,170,US
2020-04-02,Wayne,Michigan,5111,219,US
2020-04-03,Wayne,Michigan,6142,249,US
2020-04-04,Wayne,Michigan,6809,283,US
2020-04-05,Wayne,Michigan,7574,335,US
2020-04-06,Wayne,Michigan,8332,391,US
2020-04-07,Wayne,Michigan,9115,451,US
2020-04-08,Wayne,Michigan,9707,499,US
2020-04-09,Wayne,Michigan,10179,564,US
2020-04-10,Wayne,Michigan,10628,673,US
2020-04-11,Wayne,Michigan,11045,719,US
2020-04-12,Wayne,Michigan,11259,773,US
2020-04-13,Wayne,Michigan,11746,833,US
2020-04-14,Wayne,Michigan,12308,897,US
2020-04-15,Wayne,Michigan,12645,964,US
2020-04-16,Wayne,Michigan,12647,965,US
2020-04-17,Wayne,Michigan,13340,1126,US
2020-04-18,Wayne,Michigan,13582,1152,US
2020-04-19,Wayne,Michigan,13805,1207,US
2020-04-20,Wayne,Michigan,14027,1241,US
2020-04-21,Wayne,Michigan,14035,1241,US
2020-04-22,Wayne,Michigan,14692,1414,US
2020-04-23,Wayne,Michigan,15154,1494,US
2020-04-24,Wayne,Michigan,15593,1541,US
2020-04-25,Wayne,Michigan,15599,1542,US
2020-04-26,Wayne,Michigan,15944,1682,US
2020-04-27,Wayne,Michigan,16078,1724,US
2020-04-28,Wayne,Michigan,16392,1786,US
2020-04-29,Wayne,Michigan,16723,1831,US
2020-04-30,Wayne,Michigan,16986,1886,US
2020-05-01,Wayne,Michigan,17235,1906,US
2020-05-02,Wayne,Michigan,17396,1988,US
2020-05-03,Wayne,Michigan,17593,1999,US
2020-05-04,Wayne,Michigan,17640,2030,US
2020-05-05,Wayne,Michigan,17746,2052,US
2020-05-06,Wayne,Michigan,17952,2081,US
2020-05-07,Wayne,Michigan,18071,2121,US
2020-05-08,Wayne,Michigan,18246,2138,US
2020-05-09,Wayne,Michigan,18390,2194,US
2020-05-10,Wayne,Michigan,18506,2210,US
2020-05-11,Wayne,Michigan,18645,2218,US
2020-05-12,Wayne,Michigan,18734,2254,US
2020-05-13,Wayne,Michigan,18870,2270,US
2020-05-14,Wayne,Michigan,19272,2298,US
2020-05-15,Wayne,Michigan,19397,2307,US
2020-05-16,Wayne,Michigan,19542,2327,US
2020-05-17,Wayne,Michigan,19592,2328,US
2020-05-18,Wayne,Michigan,19664,2341,US
2020-05-19,Wayne,Michigan,19837,2390,US
2020-05-20,Wayne,Michigan,20002,2400,US
2020-05-21,Wayne,Michigan,20120,2429,US
2020-05-22,Wayne,Michigan,20205,2439,US
2020-05-23,Wayne,Michigan,20305,2477,US
2020-05-24,Wayne,Michigan,20380,2476,US
2020-05-25,Wayne,Michigan,20426,2481,US
2020-05-26,Wayne,Michigan,20554,2485,US
2020-05-27,Wayne,Michigan,20640,2523,US
2020-05-28,Wayne,Michigan,20708,2527,US
2020-05-29,Wayne,Michigan,20883,2542,US
2020-05-30,Wayne,Michigan,20917,2569,US
2020-05-31,Wayne,Michigan,21079,2578,US
2020-06-01,Wayne,Michigan,21114,2581,US
2020-06-02,Wayne,Michigan,21143,2593,US
2020-06-03,Wayne,Michigan,21225,2597,US
2020-06-04,Wayne,Michigan,21281,2610,US
2020-06-05,Wayne,Michigan,21499,2642,US
2020-06-06,Wayne,Michigan,21512,2645,US
2020-06-07,Wayne,Michigan,21521,2647,US
2020-06-08,Wayne,Michigan,21555,2651,US
2020-06-09,Wayne,Michigan,21562,2653,US
2020-06-10,Wayne,Michigan,21570,2653,US
2020-06-11,Wayne,Michigan,21629,2664,US
2020-06-12,Wayne,Michigan,21660,2664,US
2020-06-13,Wayne,Michigan,21711,2669,US
2020-06-14,Wayne,Michigan,21749,2670,US
2020-06-15,Wayne,Michigan,21793,2670,US
2020-06-16,Wayne,Michigan,21805,2675,US
2020-06-17,Wayne,Michigan,21897,2676,US
2020-06-18,Wayne,Michigan,21941,2680,US
2020-06-19,Wayne,Michigan,21995,2681,US
2020-06-20,Wayne,Michigan,22085,2687,US
2020-06-21,Wayne,Michigan,22139,2687,US
2020-06-22,Wayne,Michigan,22180,2689,US
2020-06-23,Wayne,Michigan,22245,2690,US
2020-06-24,Wayne,Michigan,22324,2693,US
2020-06-25,Wayne,Michigan,22453,2703,US
2020-06-26,Wayne,Michigan,22479,2701,US
2020-06-27,Wayne,Michigan,22579,2708,US
2020-06-28,Wayne,Michigan,22621,2710,US
2020-06-29,Wayne,Michigan,22662,2711,US
2020-06-30,Wayne,Michigan,22767,2720,US
2020-07-01,Wayne,Michigan,22855,2722,US
2020-07-02,Wayne,Michigan,22991,2728,US
2020-07-03,Wayne,Michigan,23054,2728,US
2020-07-04,Wayne,Michigan,23123,2728,US
2020-07-05,Wayne,Michigan,23182,2728,US
2020-07-06,Wayne,Michigan,23259,2730,US
2020-07-07,Wayne,Michigan,23435,2741,US
2020-07-08,Wayne,Michigan,23597,2743,US
2020-07-09,Wayne,Michigan,23701,2744,US
2020-07-10,Wayne,Michigan,23811,2748,US
2020-07-11,Wayne,Michigan,23898,2758,US
2020-07-12,Wayne,Michigan,23996,2759,US
2020-07-13,Wayne,Michigan,24076,2761,US
2020-07-14,Wayne,Michigan,24270,2762,US
2020-07-15,Wayne,Michigan,24525,2762,US
2020-07-16,Wayne,Michigan,24760,2770,US
2020-07-17,Wayne,Michigan,24915,2774,US
2020-07-18,Wayne,Michigan,25051,2780,US
2020-07-19,Wayne,Michigan,25136,2781,US
2020-07-20,Wayne,Michigan,25227,2781,US
2020-07-21,Wayne,Michigan,25410,2782,US
2020-07-22,Wayne,Michigan,25520,2784,US
2020-07-23,Wayne,Michigan,25649,2788,US
2020-07-24,Wayne,Michigan,25770,2789,US
2020-07-25,Wayne,Michigan,25877,2782,US
2020-07-26,Wayne,Michigan,26084,2782,US
2020-07-27,Wayne,Michigan,26161,2783,US
2020-07-28,Wayne,Michigan,26331,2789,US
2020-07-29,Wayne,Michigan,26689,2792,US
2020-07-30,Wayne,Michigan,26924,2798,US
2020-07-31,Wayne,Michigan,27067,2802,US
2020-08-01,Wayne,Michigan,27183,2803,US
2020-08-02,Wayne,Michigan,27234,2802,US
2020-08-03,Wayne,Michigan,27377,2805,US
2020-08-04,Wayne,Michigan,27564,2809,US
2020-08-05,Wayne,Michigan,27688,2809,US
2020-08-06,Wayne,Michigan,27836,2821,US
2020-08-07,Wayne,Michigan,27955,2827,US
2020-08-08,Wayne,Michigan,28090,2826,US
2020-08-09,Wayne,Michigan,28163,2824,US
2020-08-10,Wayne,Michigan,28273,2826,US
2020-08-11,Wayne,Michigan,28423,2828,US
2020-08-12,Wayne,Michigan,28391,2828,US
2020-08-13,Wayne,Michigan,28690,2833,US
2020-08-14,Wayne,Michigan,28877,2835,US
2020-08-15,Wayne,Michigan,29062,2837,US
2020-08-16,Wayne,Michigan,29111,2839,US
2020-08-17,Wayne,Michigan,29217,2839,US
2020-08-18,Wayne,Michigan,29394,2845,US
2020-08-19,Wayne,Michigan,29517,2847,US
2020-08-20,Wayne,Michigan,29622,2852,US
2020-08-21,Wayne,Michigan,29622,2852,US
2020-08-22,Wayne,Michigan,29854,2857,US
2020-08-23,Wayne,Michigan,30013,2857,US
2020-08-24,Wayne,Michigan,30166,2860,US
2020-08-25,Wayne,Michigan,30333,2863,US
2020-08-26,Wayne,Michigan,30595,2864,US
2020-08-27,Wayne,Michigan,30820,2872,US
2020-08-28,Wayne,Michigan,30955,2874,US
2020-08-29,Wayne,Michigan,30955,2874,US
2020-08-30,Wayne,Michigan,31153,2881,US
2020-08-31,Wayne,Michigan,31231,2883,US
2020-09-01,Wayne,Michigan,31357,2889,US
2020-09-02,Wayne,Michigan,31483,2889,US
2020-09-03,Wayne,Michigan,31607,2893,US
2020-09-04,Wayne,Michigan,31825,2895,US
2020-09-05,Wayne,Michigan,31958,2896,US
2020-09-06,Wayne,Michigan,31958,2896,US
2020-09-07,Wayne,Michigan,32278,2896,US
2020-09-08,Wayne,Michigan,32376,2897,US
2020-09-09,Wayne,Michigan,32621,2929,US
2020-09-10,Wayne,Michigan,32852,2939,US
2020-09-11,Wayne,Michigan,33113,2940,US
2020-09-12,Wayne,Michigan,33251,2941,US
2020-09-13,Wayne,Michigan,33251,2941,US
2020-09-14,Wayne,Michigan,33511,2942,US
2020-09-15,Wayne,Michigan,33653,2946,US
2020-09-16,Wayne,Michigan,33790,2949,US
2020-09-17,Wayne,Michigan,33948,2951,US
2020-09-18,Wayne,Michigan,34034,2951,US
2020-09-19,Wayne,Michigan,34082,2955,US
2020-09-20,Wayne,Michigan,34082,2955,US
2020-09-21,Wayne,Michigan,34302,2959,US
2020-09-22,Wayne,Michigan,34421,2963,US
2020-09-23,Wayne,Michigan,34582,2968,US
2020-09-24,Wayne,Michigan,34759,2970,US
2020-09-25,Wayne,Michigan,34903,2973,US
2020-09-26,Wayne,Michigan,35021,2977,US
2020-09-27,Wayne,Michigan,35021,2977,US
2020-09-28,Wayne,Michigan,35141,2978,US
2020-09-29,Wayne,Michigan,35295,2982,US
2020-09-30,Wayne,Michigan,35456,2984,US
2020-10-01,Wayne,Michigan,35588,2990,US
2020-10-02,Wayne,Michigan,35704,2991,US
2020-10-03,Wayne,Michigan,35863,2995,US
2020-10-04,Wayne,Michigan,35863,2995,US
