Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Wayne,Nebraska,0,0,US
2020-01-23,Wayne,Nebraska,0,0,US
2020-01-24,Wayne,Nebraska,0,0,US
2020-01-25,Wayne,Nebraska,0,0,US
2020-01-26,Wayne,Nebraska,0,0,US
2020-01-27,Wayne,Nebraska,0,0,US
2020-01-28,Wayne,Nebraska,0,0,US
2020-01-29,Wayne,Nebraska,0,0,US
2020-01-30,Wayne,Nebraska,0,0,US
2020-01-31,Wayne,Nebraska,0,0,US
2020-02-01,Wayne,Nebraska,0,0,US
2020-02-02,Wayne,Nebraska,0,0,US
2020-02-03,Wayne,Nebraska,0,0,US
2020-02-04,Wayne,Nebraska,0,0,US
2020-02-05,Wayne,Nebraska,0,0,US
2020-02-06,Wayne,Nebraska,0,0,US
2020-02-07,Wayne,Nebraska,0,0,US
2020-02-08,Wayne,Nebraska,0,0,US
2020-02-09,Wayne,Nebraska,0,0,US
2020-02-10,Wayne,Nebraska,0,0,US
2020-02-11,Wayne,Nebraska,0,0,US
2020-02-12,Wayne,Nebraska,0,0,US
2020-02-13,Wayne,Nebraska,0,0,US
2020-02-14,Wayne,Nebraska,0,0,US
2020-02-15,Wayne,Nebraska,0,0,US
2020-02-16,Wayne,Nebraska,0,0,US
2020-02-17,Wayne,Nebraska,0,0,US
2020-02-18,Wayne,Nebraska,0,0,US
2020-02-19,Wayne,Nebraska,0,0,US
2020-02-20,Wayne,Nebraska,0,0,US
2020-02-21,Wayne,Nebraska,0,0,US
2020-02-22,Wayne,Nebraska,0,0,US
2020-02-23,Wayne,Nebraska,0,0,US
2020-02-24,Wayne,Nebraska,0,0,US
2020-02-25,Wayne,Nebraska,0,0,US
2020-02-26,Wayne,Nebraska,0,0,US
2020-02-27,Wayne,Nebraska,0,0,US
2020-02-28,Wayne,Nebraska,0,0,US
2020-02-29,Wayne,Nebraska,0,0,US
2020-03-01,Wayne,Nebraska,0,0,US
2020-03-02,Wayne,Nebraska,0,0,US
2020-03-03,Wayne,Nebraska,0,0,US
2020-03-04,Wayne,Nebraska,0,0,US
2020-03-05,Wayne,Nebraska,0,0,US
2020-03-06,Wayne,Nebraska,0,0,US
2020-03-07,Wayne,Nebraska,0,0,US
2020-03-08,Wayne,Nebraska,0,0,US
2020-03-09,Wayne,Nebraska,0,0,US
2020-03-10,Wayne,Nebraska,0,0,US
2020-03-11,Wayne,Nebraska,0,0,US
2020-03-12,Wayne,Nebraska,0,0,US
2020-03-13,Wayne,Nebraska,0,0,US
2020-03-14,Wayne,Nebraska,0,0,US
2020-03-15,Wayne,Nebraska,0,0,US
2020-03-16,Wayne,Nebraska,0,0,US
2020-03-17,Wayne,Nebraska,0,0,US
2020-03-18,Wayne,Nebraska,0,0,US
2020-03-19,Wayne,Nebraska,0,0,US
2020-03-20,Wayne,Nebraska,0,0,US
2020-03-21,Wayne,Nebraska,0,0,US
2020-03-22,Wayne,Nebraska,0,0,US
2020-03-23,Wayne,Nebraska,0,0,US
2020-03-24,Wayne,Nebraska,0,0,US
2020-03-25,Wayne,Nebraska,0,0,US
2020-03-26,Wayne,Nebraska,0,0,US
2020-03-27,Wayne,Nebraska,0,0,US
2020-03-28,Wayne,Nebraska,0,0,US
2020-03-29,Wayne,Nebraska,0,0,US
2020-03-30,Wayne,Nebraska,0,0,US
2020-03-31,Wayne,Nebraska,0,0,US
2020-04-01,Wayne,Nebraska,0,0,US
2020-04-02,Wayne,Nebraska,0,0,US
2020-04-03,Wayne,Nebraska,0,0,US
2020-04-04,Wayne,Nebraska,0,0,US
2020-04-05,Wayne,Nebraska,0,0,US
2020-04-06,Wayne,Nebraska,0,0,US
2020-04-07,Wayne,Nebraska,0,0,US
2020-04-08,Wayne,Nebraska,0,0,US
2020-04-09,Wayne,Nebraska,0,0,US
2020-04-10,Wayne,Nebraska,0,0,US
2020-04-11,Wayne,Nebraska,1,0,US
2020-04-12,Wayne,Nebraska,1,0,US
2020-04-13,Wayne,Nebraska,1,0,US
2020-04-14,Wayne,Nebraska,1,0,US
2020-04-15,Wayne,Nebraska,1,0,US
2020-04-16,Wayne,Nebraska,1,0,US
2020-04-17,Wayne,Nebraska,1,0,US
2020-04-18,Wayne,Nebraska,1,0,US
2020-04-19,Wayne,Nebraska,1,0,US
2020-04-20,Wayne,Nebraska,1,0,US
2020-04-21,Wayne,Nebraska,1,0,US
