Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Waynesboro,Virginia,0,0,US
2020-01-23,Waynesboro,Virginia,0,0,US
2020-01-24,Waynesboro,Virginia,0,0,US
2020-01-25,Waynesboro,Virginia,0,0,US
2020-01-26,Waynesboro,Virginia,0,0,US
2020-01-27,Waynesboro,Virginia,0,0,US
2020-01-28,Waynesboro,Virginia,0,0,US
2020-01-29,Waynesboro,Virginia,0,0,US
2020-01-30,Waynesboro,Virginia,0,0,US
2020-01-31,Waynesboro,Virginia,0,0,US
2020-02-01,Waynesboro,Virginia,0,0,US
2020-02-02,Waynesboro,Virginia,0,0,US
2020-02-03,Waynesboro,Virginia,0,0,US
2020-02-04,Waynesboro,Virginia,0,0,US
2020-02-05,Waynesboro,Virginia,0,0,US
2020-02-06,Waynesboro,Virginia,0,0,US
2020-02-07,Waynesboro,Virginia,0,0,US
2020-02-08,Waynesboro,Virginia,0,0,US
2020-02-09,Waynesboro,Virginia,0,0,US
2020-02-10,Waynesboro,Virginia,0,0,US
2020-02-11,Waynesboro,Virginia,0,0,US
2020-02-12,Waynesboro,Virginia,0,0,US
2020-02-13,Waynesboro,Virginia,0,0,US
2020-02-14,Waynesboro,Virginia,0,0,US
2020-02-15,Waynesboro,Virginia,0,0,US
2020-02-16,Waynesboro,Virginia,0,0,US
2020-02-17,Waynesboro,Virginia,0,0,US
2020-02-18,Waynesboro,Virginia,0,0,US
2020-02-19,Waynesboro,Virginia,0,0,US
2020-02-20,Waynesboro,Virginia,0,0,US
2020-02-21,Waynesboro,Virginia,0,0,US
2020-02-22,Waynesboro,Virginia,0,0,US
2020-02-23,Waynesboro,Virginia,0,0,US
2020-02-24,Waynesboro,Virginia,0,0,US
2020-02-25,Waynesboro,Virginia,0,0,US
2020-02-26,Waynesboro,Virginia,0,0,US
2020-02-27,Waynesboro,Virginia,0,0,US
2020-02-28,Waynesboro,Virginia,0,0,US
2020-02-29,Waynesboro,Virginia,0,0,US
2020-03-01,Waynesboro,Virginia,0,0,US
2020-03-02,Waynesboro,Virginia,0,0,US
2020-03-03,Waynesboro,Virginia,0,0,US
2020-03-04,Waynesboro,Virginia,0,0,US
2020-03-05,Waynesboro,Virginia,0,0,US
2020-03-06,Waynesboro,Virginia,0,0,US
2020-03-07,Waynesboro,Virginia,0,0,US
2020-03-08,Waynesboro,Virginia,0,0,US
2020-03-09,Waynesboro,Virginia,0,0,US
2020-03-10,Waynesboro,Virginia,0,0,US
2020-03-11,Waynesboro,Virginia,0,0,US
2020-03-12,Waynesboro,Virginia,0,0,US
2020-03-13,Waynesboro,Virginia,0,0,US
2020-03-14,Waynesboro,Virginia,0,0,US
2020-03-15,Waynesboro,Virginia,0,0,US
2020-03-16,Waynesboro,Virginia,0,0,US
2020-03-17,Waynesboro,Virginia,0,0,US
2020-03-18,Waynesboro,Virginia,0,0,US
2020-03-19,Waynesboro,Virginia,0,0,US
2020-03-20,Waynesboro,Virginia,0,0,US
2020-03-21,Waynesboro,Virginia,0,0,US
2020-03-22,Waynesboro,Virginia,0,0,US
2020-03-23,Waynesboro,Virginia,0,0,US
2020-03-24,Waynesboro,Virginia,0,0,US
2020-03-25,Waynesboro,Virginia,0,0,US
2020-03-26,Waynesboro,Virginia,0,0,US
2020-03-27,Waynesboro,Virginia,0,0,US
2020-03-28,Waynesboro,Virginia,0,0,US
2020-03-29,Waynesboro,Virginia,0,0,US
2020-03-30,Waynesboro,Virginia,0,0,US
2020-03-31,Waynesboro,Virginia,2,0,US
2020-04-01,Waynesboro,Virginia,2,0,US
2020-04-02,Waynesboro,Virginia,2,0,US
2020-04-03,Waynesboro,Virginia,3,0,US
2020-04-04,Waynesboro,Virginia,2,0,US
2020-04-05,Waynesboro,Virginia,2,0,US
2020-04-06,Waynesboro,Virginia,3,0,US
2020-04-07,Waynesboro,Virginia,3,0,US
2020-04-08,Waynesboro,Virginia,2,0,US
2020-04-09,Waynesboro,Virginia,3,0,US
2020-04-10,Waynesboro,Virginia,5,0,US
2020-04-11,Waynesboro,Virginia,5,0,US
2020-04-12,Waynesboro,Virginia,5,0,US
2020-04-13,Waynesboro,Virginia,6,0,US
2020-04-14,Waynesboro,Virginia,6,0,US
2020-04-15,Waynesboro,Virginia,6,0,US
2020-04-16,Waynesboro,Virginia,6,0,US
2020-04-17,Waynesboro,Virginia,7,0,US
2020-04-18,Waynesboro,Virginia,7,0,US
2020-04-19,Waynesboro,Virginia,7,0,US
2020-04-20,Waynesboro,Virginia,8,0,US
2020-04-21,Waynesboro,Virginia,8,0,US
2020-04-22,Waynesboro,Virginia,8,0,US
2020-04-23,Waynesboro,Virginia,9,0,US
2020-04-24,Waynesboro,Virginia,10,0,US
2020-04-25,Waynesboro,Virginia,10,0,US
2020-04-26,Waynesboro,Virginia,10,0,US
2020-04-27,Waynesboro,Virginia,11,0,US
2020-04-28,Waynesboro,Virginia,11,0,US
2020-04-29,Waynesboro,Virginia,11,0,US
2020-04-30,Waynesboro,Virginia,11,0,US
2020-05-01,Waynesboro,Virginia,13,0,US
2020-05-02,Waynesboro,Virginia,14,0,US
2020-05-03,Waynesboro,Virginia,14,0,US
2020-05-04,Waynesboro,Virginia,14,0,US
2020-05-05,Waynesboro,Virginia,16,0,US
2020-05-06,Waynesboro,Virginia,20,0,US
2020-05-07,Waynesboro,Virginia,20,0,US
2020-05-08,Waynesboro,Virginia,20,0,US
