Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Webster,Nebraska,0,0,US
2020-01-23,Webster,Nebraska,0,0,US
2020-01-24,Webster,Nebraska,0,0,US
2020-01-25,Webster,Nebraska,0,0,US
2020-01-26,Webster,Nebraska,0,0,US
2020-01-27,Webster,Nebraska,0,0,US
2020-01-28,Webster,Nebraska,0,0,US
2020-01-29,Webster,Nebraska,0,0,US
2020-01-30,Webster,Nebraska,0,0,US
2020-01-31,Webster,Nebraska,0,0,US
2020-02-01,Webster,Nebraska,0,0,US
2020-02-02,Webster,Nebraska,0,0,US
2020-02-03,Webster,Nebraska,0,0,US
2020-02-04,Webster,Nebraska,0,0,US
2020-02-05,Webster,Nebraska,0,0,US
2020-02-06,Webster,Nebraska,0,0,US
2020-02-07,Webster,Nebraska,0,0,US
2020-02-08,Webster,Nebraska,0,0,US
2020-02-09,Webster,Nebraska,0,0,US
2020-02-10,Webster,Nebraska,0,0,US
2020-02-11,Webster,Nebraska,0,0,US
2020-02-12,Webster,Nebraska,0,0,US
2020-02-13,Webster,Nebraska,0,0,US
2020-02-14,Webster,Nebraska,0,0,US
2020-02-15,Webster,Nebraska,0,0,US
2020-02-16,Webster,Nebraska,0,0,US
2020-02-17,Webster,Nebraska,0,0,US
2020-02-18,Webster,Nebraska,0,0,US
2020-02-19,Webster,Nebraska,0,0,US
2020-02-20,Webster,Nebraska,0,0,US
2020-02-21,Webster,Nebraska,0,0,US
2020-02-22,Webster,Nebraska,0,0,US
2020-02-23,Webster,Nebraska,0,0,US
2020-02-24,Webster,Nebraska,0,0,US
2020-02-25,Webster,Nebraska,0,0,US
2020-02-26,Webster,Nebraska,0,0,US
2020-02-27,Webster,Nebraska,0,0,US
2020-02-28,Webster,Nebraska,0,0,US
2020-02-29,Webster,Nebraska,0,0,US
2020-03-01,Webster,Nebraska,0,0,US
2020-03-02,Webster,Nebraska,0,0,US
2020-03-03,Webster,Nebraska,0,0,US
2020-03-04,Webster,Nebraska,0,0,US
2020-03-05,Webster,Nebraska,0,0,US
2020-03-06,Webster,Nebraska,0,0,US
2020-03-07,Webster,Nebraska,0,0,US
2020-03-08,Webster,Nebraska,0,0,US
2020-03-09,Webster,Nebraska,0,0,US
2020-03-10,Webster,Nebraska,0,0,US
2020-03-11,Webster,Nebraska,0,0,US
2020-03-12,Webster,Nebraska,0,0,US
2020-03-13,Webster,Nebraska,0,0,US
2020-03-14,Webster,Nebraska,0,0,US
2020-03-15,Webster,Nebraska,0,0,US
2020-03-16,Webster,Nebraska,0,0,US
2020-03-17,Webster,Nebraska,0,0,US
2020-03-18,Webster,Nebraska,0,0,US
2020-03-19,Webster,Nebraska,0,0,US
2020-03-20,Webster,Nebraska,0,0,US
2020-03-21,Webster,Nebraska,0,0,US
2020-03-22,Webster,Nebraska,0,0,US
2020-03-23,Webster,Nebraska,0,0,US
2020-03-24,Webster,Nebraska,0,0,US
2020-03-25,Webster,Nebraska,0,0,US
2020-03-26,Webster,Nebraska,0,0,US
2020-03-27,Webster,Nebraska,0,0,US
2020-03-28,Webster,Nebraska,0,0,US
2020-03-29,Webster,Nebraska,0,0,US
2020-03-30,Webster,Nebraska,0,0,US
2020-03-31,Webster,Nebraska,0,0,US
2020-04-01,Webster,Nebraska,0,0,US
2020-04-02,Webster,Nebraska,0,0,US
2020-04-03,Webster,Nebraska,0,0,US
2020-04-04,Webster,Nebraska,0,0,US
2020-04-05,Webster,Nebraska,0,0,US
2020-04-06,Webster,Nebraska,0,0,US
2020-04-07,Webster,Nebraska,0,0,US
2020-04-08,Webster,Nebraska,0,0,US
2020-04-09,Webster,Nebraska,0,0,US
2020-04-10,Webster,Nebraska,1,0,US
2020-04-11,Webster,Nebraska,1,0,US
2020-04-12,Webster,Nebraska,1,0,US
2020-04-13,Webster,Nebraska,1,0,US
2020-04-14,Webster,Nebraska,1,0,US
2020-04-15,Webster,Nebraska,1,0,US
2020-04-16,Webster,Nebraska,1,0,US
2020-04-17,Webster,Nebraska,1,0,US
2020-04-18,Webster,Nebraska,1,0,US
2020-04-19,Webster,Nebraska,2,0,US
2020-04-20,Webster,Nebraska,2,0,US
2020-04-21,Webster,Nebraska,2,0,US
2020-04-22,Webster,Nebraska,2,0,US
2020-04-23,Webster,Nebraska,2,0,US
2020-04-24,Webster,Nebraska,3,0,US
2020-04-25,Webster,Nebraska,3,0,US
2020-04-26,Webster,Nebraska,3,0,US
2020-04-27,Webster,Nebraska,3,0,US
2020-04-28,Webster,Nebraska,3,0,US
2020-04-29,Webster,Nebraska,3,0,US
2020-04-30,Webster,Nebraska,4,0,US
2020-05-01,Webster,Nebraska,5,0,US
2020-05-02,Webster,Nebraska,5,0,US
2020-05-03,Webster,Nebraska,5,0,US
2020-05-04,Webster,Nebraska,5,0,US
2020-05-05,Webster,Nebraska,5,0,US
2020-05-06,Webster,Nebraska,5,0,US
2020-05-07,Webster,Nebraska,5,0,US
2020-05-08,Webster,Nebraska,5,0,US
2020-05-09,Webster,Nebraska,5,0,US
2020-05-10,Webster,Nebraska,5,0,US
2020-05-11,Webster,Nebraska,5,0,US
2020-05-12,Webster,Nebraska,5,0,US
2020-05-13,Webster,Nebraska,5,0,US
2020-05-14,Webster,Nebraska,5,0,US
2020-05-15,Webster,Nebraska,5,0,US
2020-05-16,Webster,Nebraska,5,0,US
2020-05-17,Webster,Nebraska,5,0,US
2020-05-18,Webster,Nebraska,5,0,US
2020-05-19,Webster,Nebraska,5,0,US
2020-05-20,Webster,Nebraska,5,0,US
2020-05-21,Webster,Nebraska,5,0,US
2020-05-22,Webster,Nebraska,5,0,US
2020-05-23,Webster,Nebraska,5,0,US
2020-05-24,Webster,Nebraska,5,0,US
2020-05-25,Webster,Nebraska,5,0,US
2020-05-26,Webster,Nebraska,5,0,US
2020-05-27,Webster,Nebraska,5,0,US
2020-05-28,Webster,Nebraska,5,0,US
2020-05-29,Webster,Nebraska,5,0,US
2020-05-30,Webster,Nebraska,5,0,US
2020-05-31,Webster,Nebraska,5,0,US
2020-06-01,Webster,Nebraska,5,0,US
2020-06-02,Webster,Nebraska,5,0,US
2020-06-03,Webster,Nebraska,5,0,US
2020-06-04,Webster,Nebraska,5,0,US
2020-06-05,Webster,Nebraska,5,0,US
2020-06-06,Webster,Nebraska,5,0,US
2020-06-07,Webster,Nebraska,5,0,US
2020-06-08,Webster,Nebraska,5,0,US
2020-06-09,Webster,Nebraska,5,0,US
2020-06-10,Webster,Nebraska,5,0,US
2020-06-11,Webster,Nebraska,6,0,US
2020-06-12,Webster,Nebraska,6,0,US
2020-06-13,Webster,Nebraska,6,0,US
2020-06-14,Webster,Nebraska,6,0,US
2020-06-15,Webster,Nebraska,6,0,US
2020-06-16,Webster,Nebraska,6,0,US
2020-06-17,Webster,Nebraska,6,0,US
2020-06-18,Webster,Nebraska,6,0,US
2020-06-19,Webster,Nebraska,6,0,US
2020-06-20,Webster,Nebraska,6,0,US
2020-06-21,Webster,Nebraska,6,0,US
2020-06-22,Webster,Nebraska,6,0,US
2020-06-23,Webster,Nebraska,6,0,US
2020-06-24,Webster,Nebraska,6,0,US
2020-06-25,Webster,Nebraska,6,0,US
2020-06-26,Webster,Nebraska,6,0,US
2020-06-27,Webster,Nebraska,6,0,US
2020-06-28,Webster,Nebraska,6,0,US
2020-06-29,Webster,Nebraska,6,0,US
2020-06-30,Webster,Nebraska,6,0,US
2020-07-01,Webster,Nebraska,6,0,US
2020-07-02,Webster,Nebraska,7,0,US
2020-07-03,Webster,Nebraska,7,0,US
2020-07-04,Webster,Nebraska,7,0,US
2020-07-05,Webster,Nebraska,7,0,US
2020-07-06,Webster,Nebraska,7,0,US
2020-07-07,Webster,Nebraska,7,0,US
2020-07-08,Webster,Nebraska,7,0,US
2020-07-09,Webster,Nebraska,7,0,US
2020-07-10,Webster,Nebraska,7,0,US
2020-07-11,Webster,Nebraska,7,0,US
2020-07-12,Webster,Nebraska,7,0,US
2020-07-13,Webster,Nebraska,9,0,US
2020-07-14,Webster,Nebraska,9,0,US
