Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,West Carroll,Louisiana,0,0,US
2020-01-23,West Carroll,Louisiana,0,0,US
2020-01-24,West Carroll,Louisiana,0,0,US
2020-01-25,West Carroll,Louisiana,0,0,US
2020-01-26,West Carroll,Louisiana,0,0,US
2020-01-27,West Carroll,Louisiana,0,0,US
2020-01-28,West Carroll,Louisiana,0,0,US
2020-01-29,West Carroll,Louisiana,0,0,US
2020-01-30,West Carroll,Louisiana,0,0,US
2020-01-31,West Carroll,Louisiana,0,0,US
2020-02-01,West Carroll,Louisiana,0,0,US
2020-02-02,West Carroll,Louisiana,0,0,US
2020-02-03,West Carroll,Louisiana,0,0,US
2020-02-04,West Carroll,Louisiana,0,0,US
2020-02-05,West Carroll,Louisiana,0,0,US
2020-02-06,West Carroll,Louisiana,0,0,US
2020-02-07,West Carroll,Louisiana,0,0,US
2020-02-08,West Carroll,Louisiana,0,0,US
2020-02-09,West Carroll,Louisiana,0,0,US
2020-02-10,West Carroll,Louisiana,0,0,US
2020-02-11,West Carroll,Louisiana,0,0,US
2020-02-12,West Carroll,Louisiana,0,0,US
2020-02-13,West Carroll,Louisiana,0,0,US
2020-02-14,West Carroll,Louisiana,0,0,US
2020-02-15,West Carroll,Louisiana,0,0,US
2020-02-16,West Carroll,Louisiana,0,0,US
2020-02-17,West Carroll,Louisiana,0,0,US
2020-02-18,West Carroll,Louisiana,0,0,US
2020-02-19,West Carroll,Louisiana,0,0,US
2020-02-20,West Carroll,Louisiana,0,0,US
2020-02-21,West Carroll,Louisiana,0,0,US
2020-02-22,West Carroll,Louisiana,0,0,US
2020-02-23,West Carroll,Louisiana,0,0,US
2020-02-24,West Carroll,Louisiana,0,0,US
2020-02-25,West Carroll,Louisiana,0,0,US
2020-02-26,West Carroll,Louisiana,0,0,US
2020-02-27,West Carroll,Louisiana,0,0,US
2020-02-28,West Carroll,Louisiana,0,0,US
2020-02-29,West Carroll,Louisiana,0,0,US
2020-03-01,West Carroll,Louisiana,0,0,US
2020-03-02,West Carroll,Louisiana,0,0,US
2020-03-03,West Carroll,Louisiana,0,0,US
2020-03-04,West Carroll,Louisiana,0,0,US
2020-03-05,West Carroll,Louisiana,0,0,US
2020-03-06,West Carroll,Louisiana,0,0,US
2020-03-07,West Carroll,Louisiana,0,0,US
2020-03-08,West Carroll,Louisiana,0,0,US
2020-03-09,West Carroll,Louisiana,0,0,US
2020-03-10,West Carroll,Louisiana,0,0,US
2020-03-11,West Carroll,Louisiana,0,0,US
2020-03-12,West Carroll,Louisiana,0,0,US
2020-03-13,West Carroll,Louisiana,0,0,US
2020-03-14,West Carroll,Louisiana,0,0,US
2020-03-15,West Carroll,Louisiana,0,0,US
2020-03-16,West Carroll,Louisiana,0,0,US
