Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Westchester,New York,0,0,US
2020-01-23,Westchester,New York,0,0,US
2020-01-24,Westchester,New York,0,0,US
2020-01-25,Westchester,New York,0,0,US
2020-01-26,Westchester,New York,0,0,US
2020-01-27,Westchester,New York,0,0,US
2020-01-28,Westchester,New York,0,0,US
2020-01-29,Westchester,New York,0,0,US
2020-01-30,Westchester,New York,0,0,US
2020-01-31,Westchester,New York,0,0,US
2020-02-01,Westchester,New York,0,0,US
2020-02-02,Westchester,New York,0,0,US
2020-02-03,Westchester,New York,0,0,US
2020-02-04,Westchester,New York,0,0,US
2020-02-05,Westchester,New York,0,0,US
2020-02-06,Westchester,New York,0,0,US
2020-02-07,Westchester,New York,0,0,US
2020-02-08,Westchester,New York,0,0,US
2020-02-09,Westchester,New York,0,0,US
2020-02-10,Westchester,New York,0,0,US
2020-02-11,Westchester,New York,0,0,US
2020-02-12,Westchester,New York,0,0,US
2020-02-13,Westchester,New York,0,0,US
2020-02-14,Westchester,New York,0,0,US
2020-02-15,Westchester,New York,0,0,US
2020-02-16,Westchester,New York,0,0,US
2020-02-17,Westchester,New York,0,0,US
2020-02-18,Westchester,New York,0,0,US
2020-02-19,Westchester,New York,0,0,US
2020-02-20,Westchester,New York,0,0,US
2020-02-21,Westchester,New York,0,0,US
2020-02-22,Westchester,New York,0,0,US
2020-02-23,Westchester,New York,0,0,US
2020-02-24,Westchester,New York,0,0,US
2020-02-25,Westchester,New York,0,0,US
2020-02-26,Westchester,New York,0,0,US
2020-02-27,Westchester,New York,0,0,US
2020-02-28,Westchester,New York,0,0,US
2020-02-29,Westchester,New York,0,0,US
2020-03-01,Westchester,New York,0,0,US
2020-03-02,Westchester,New York,0,0,US
2020-03-03,Westchester,New York,1,0,US
2020-03-04,Westchester,New York,10,0,US
2020-03-05,Westchester,New York,18,0,US
2020-03-06,Westchester,New York,19,0,US
2020-03-07,Westchester,New York,57,0,US
2020-03-08,Westchester,New York,83,0,US
2020-03-09,Westchester,New York,98,0,US
2020-03-10,Westchester,New York,98,0,US
2020-03-11,Westchester,New York,121,0,US
2020-03-12,Westchester,New York,148,0,US
2020-03-13,Westchester,New York,158,0,US
2020-03-14,Westchester,New York,172,0,US
2020-03-15,Westchester,New York,178,0,US
2020-03-16,Westchester,New York,220,0,US
2020-03-17,Westchester,New York,380,0,US
2020-03-18,Westchester,New York,538,0,US
2020-03-19,Westchester,New York,798,0,US
2020-03-20,Westchester,New York,1091,0,US
2020-03-21,Westchester,New York,1387,0,US
2020-03-22,Westchester,New York,1873,0,US
2020-03-23,Westchester,New York,2894,0,US
2020-03-24,Westchester,New York,3891,1,US
2020-03-25,Westchester,New York,4691,1,US
2020-03-26,Westchester,New York,5944,1,US
2020-03-27,Westchester,New York,7187,1,US
2020-03-28,Westchester,New York,7875,10,US
2020-03-29,Westchester,New York,8519,10,US
2020-03-30,Westchester,New York,9326,10,US
2020-03-31,Westchester,New York,9967,10,US
2020-04-01,Westchester,New York,10683,25,US
2020-04-02,Westchester,New York,11567,64,US
2020-04-03,Westchester,New York,12351,67,US
2020-04-04,Westchester,New York,13081,67,US
2020-04-05,Westchester,New York,13723,67,US
2020-04-06,Westchester,New York,14294,211,US
2020-04-07,Westchester,New York,14294,211,US
2020-04-08,Westchester,New York,15887,283,US
2020-04-09,Westchester,New York,17004,359,US
2020-04-10,Westchester,New York,18077,389,US
2020-04-11,Westchester,New York,18729,461,US
2020-04-12,Westchester,New York,19313,511,US
2020-04-13,Westchester,New York,19786,557,US
2020-04-14,Westchester,New York,20191,596,US
2020-04-15,Westchester,New York,20947,640,US
2020-04-16,Westchester,New York,21828,668,US
2020-04-17,Westchester,New York,22476,668,US
2020-04-18,Westchester,New York,23179,668,US
2020-04-19,Westchester,New York,23803,668,US
2020-04-20,Westchester,New York,24306,776,US
2020-04-21,Westchester,New York,24656,809,US
2020-04-22,Westchester,New York,25276,838,US
2020-04-23,Westchester,New York,25959,863,US
2020-04-24,Westchester,New York,26633,891,US
2020-04-25,Westchester,New York,27231,920,US
2020-04-26,Westchester,New York,27664,946,US
2020-04-27,Westchester,New York,28007,962,US
2020-04-28,Westchester,New York,28245,983,US
2020-04-29,Westchester,New York,28626,1006,US
2020-04-30,Westchester,New York,28970,1031,US
2020-05-01,Westchester,New York,29232,1049,US
2020-05-02,Westchester,New York,29626,1067,US
2020-05-03,Westchester,New York,29884,1086,US
2020-05-04,Westchester,New York,30097,1101,US
2020-05-05,Westchester,New York,30240,1116,US
2020-05-06,Westchester,New York,30426,1167,US
2020-05-07,Westchester,New York,30708,1184,US
2020-05-08,Westchester,New York,30905,1191,US
2020-05-09,Westchester,New York,31087,1203,US
2020-05-10,Westchester,New York,31294,1218,US
2020-05-11,Westchester,New York,31384,1227,US
2020-05-12,Westchester,New York,31472,1238,US
2020-05-13,Westchester,New York,31611,1245,US
2020-05-14,Westchester,New York,31792,1256,US
2020-05-15,Westchester,New York,31943,1269,US
2020-05-16,Westchester,New York,32097,1275,US
2020-05-17,Westchester,New York,32224,1289,US
2020-05-18,Westchester,New York,32323,1295,US
2020-05-19,Westchester,New York,32402,1298,US
2020-05-20,Westchester,New York,32517,1305,US
2020-05-21,Westchester,New York,32673,1313,US
2020-05-22,Westchester,New York,32767,1319,US
2020-05-23,Westchester,New York,32881,1327,US
2020-05-24,Westchester,New York,32968,1337,US
2020-05-25,Westchester,New York,33049,1343,US
2020-05-26,Westchester,New York,33107,1345,US
2020-05-27,Westchester,New York,33186,1352,US
2020-05-28,Westchester,New York,33293,1357,US
2020-05-29,Westchester,New York,33349,1359,US
2020-05-30,Westchester,New York,33429,1364,US
2020-05-31,Westchester,New York,33481,1371,US
2020-06-01,Westchester,New York,33552,1374,US
2020-06-02,Westchester,New York,33633,1378,US
2020-06-03,Westchester,New York,33691,1381,US
2020-06-04,Westchester,New York,33767,1385,US
2020-06-05,Westchester,New York,33854,1389,US
2020-06-06,Westchester,New York,33924,1392,US
2020-06-07,Westchester,New York,33954,1392,US
2020-06-08,Westchester,New York,34000,1395,US
2020-06-09,Westchester,New York,34035,1395,US
2020-06-10,Westchester,New York,34076,1399,US
2020-06-11,Westchester,New York,34106,1400,US
2020-06-12,Westchester,New York,34175,1402,US
2020-06-13,Westchester,New York,34253,1404,US
2020-06-14,Westchester,New York,34290,1404,US
2020-06-15,Westchester,New York,34327,1405,US
2020-06-16,Westchester,New York,34358,1405,US
2020-06-17,Westchester,New York,34385,1407,US
2020-06-18,Westchester,New York,34409,1410,US
2020-06-19,Westchester,New York,34455,1410,US
2020-06-20,Westchester,New York,34486,1413,US
2020-06-21,Westchester,New York,34521,1414,US
2020-06-22,Westchester,New York,34557,1415,US
2020-06-23,Westchester,New York,34581,1416,US
2020-06-24,Westchester,New York,34597,1416,US
2020-06-25,Westchester,New York,34642,1416,US
2020-06-26,Westchester,New York,34700,1418,US
2020-06-27,Westchester,New York,34748,1419,US
2020-06-28,Westchester,New York,34780,1419,US
2020-06-29,Westchester,New York,34798,1424,US
2020-06-30,Westchester,New York,34838,1425,US
2020-07-01,Westchester,New York,34866,1425,US
2020-07-02,Westchester,New York,34912,1426,US
2020-07-03,Westchester,New York,34980,1426,US
2020-07-04,Westchester,New York,35020,1426,US
2020-07-05,Westchester,New York,35043,1427,US
2020-07-06,Westchester,New York,35084,1427,US
2020-07-07,Westchester,New York,35106,1430,US
2020-07-08,Westchester,New York,35154,1431,US
2020-07-09,Westchester,New York,35183,1432,US
2020-07-10,Westchester,New York,35226,1433,US
2020-07-11,Westchester,New York,35260,1433,US
2020-07-12,Westchester,New York,35297,1435,US
2020-07-13,Westchester,New York,35327,1435,US
2020-07-14,Westchester,New York,35366,1435,US
2020-07-15,Westchester,New York,35394,1436,US
2020-07-16,Westchester,New York,35422,1436,US
2020-07-17,Westchester,New York,35463,1436,US
2020-07-18,Westchester,New York,35503,1437,US
2020-07-19,Westchester,New York,35515,1440,US
2020-07-20,Westchester,New York,35551,1440,US
2020-07-21,Westchester,New York,35587,1440,US
2020-07-22,Westchester,New York,35636,1442,US
2020-07-23,Westchester,New York,35667,1443,US
2020-07-24,Westchester,New York,35700,1443,US
2020-07-25,Westchester,New York,35738,1443,US
2020-07-26,Westchester,New York,35777,1443,US
2020-07-27,Westchester,New York,35799,1443,US
2020-07-28,Westchester,New York,35838,1443,US
2020-07-29,Westchester,New York,35874,1443,US
2020-07-30,Westchester,New York,35913,1445,US
2020-07-31,Westchester,New York,35933,1445,US
2020-08-01,Westchester,New York,35974,1445,US
2020-08-02,Westchester,New York,35998,1446,US
2020-08-03,Westchester,New York,36014,1446,US
2020-08-04,Westchester,New York,36049,1446,US
2020-08-05,Westchester,New York,36075,1446,US
2020-08-06,Westchester,New York,36107,1447,US
2020-08-07,Westchester,New York,36136,1447,US
2020-08-08,Westchester,New York,36180,1447,US
2020-08-09,Westchester,New York,36205,1447,US
2020-08-10,Westchester,New York,36233,1447,US
2020-08-11,Westchester,New York,36272,1447,US
2020-08-12,Westchester,New York,36324,1447,US
2020-08-13,Westchester,New York,36357,1447,US
2020-08-14,Westchester,New York,36402,1447,US
2020-08-15,Westchester,New York,36435,1447,US
2020-08-16,Westchester,New York,36453,1447,US
2020-08-17,Westchester,New York,36486,1447,US
2020-08-18,Westchester,New York,36540,1448,US
2020-08-19,Westchester,New York,36563,1448,US
2020-08-20,Westchester,New York,36586,1448,US
2020-08-21,Westchester,New York,36621,1449,US
2020-08-22,Westchester,New York,36651,1449,US
2020-08-23,Westchester,New York,36689,1449,US
2020-08-24,Westchester,New York,36710,1449,US
2020-08-25,Westchester,New York,36742,1449,US
2020-08-26,Westchester,New York,36780,1449,US
2020-08-27,Westchester,New York,36825,1449,US
2020-08-28,Westchester,New York,36863,1450,US
2020-08-29,Westchester,New York,36895,1450,US
2020-08-30,Westchester,New York,36949,1451,US
2020-08-31,Westchester,New York,36984,1451,US
2020-09-01,Westchester,New York,37021,1452,US
2020-09-02,Westchester,New York,37057,1452,US
2020-09-03,Westchester,New York,37106,1452,US
2020-09-04,Westchester,New York,37152,1452,US
2020-09-05,Westchester,New York,37205,1452,US
2020-09-06,Westchester,New York,37246,1452,US
2020-09-07,Westchester,New York,37277,1452,US
2020-09-08,Westchester,New York,37314,1452,US
2020-09-09,Westchester,New York,37355,1452,US
2020-09-10,Westchester,New York,37405,1452,US
2020-09-11,Westchester,New York,37454,1452,US
2020-09-12,Westchester,New York,37486,1452,US
2020-09-13,Westchester,New York,37531,1452,US
2020-09-14,Westchester,New York,37571,1452,US
2020-09-15,Westchester,New York,37601,1452,US
2020-09-16,Westchester,New York,37634,1452,US
2020-09-17,Westchester,New York,37672,1452,US
2020-09-18,Westchester,New York,37718,1454,US
2020-09-19,Westchester,New York,37755,1454,US
2020-09-20,Westchester,New York,37801,1454,US
2020-09-21,Westchester,New York,37837,1454,US
2020-09-22,Westchester,New York,37866,1454,US
2020-09-23,Westchester,New York,37903,1455,US
2020-09-24,Westchester,New York,37948,1455,US
2020-09-25,Westchester,New York,38001,1456,US
2020-09-26,Westchester,New York,38051,1456,US
2020-09-27,Westchester,New York,38098,1456,US
2020-09-28,Westchester,New York,38133,1456,US
2020-09-29,Westchester,New York,38182,1456,US
2020-09-30,Westchester,New York,38239,1456,US
2020-10-01,Westchester,New York,38300,1456,US
2020-10-02,Westchester,New York,38346,1456,US
2020-10-03,Westchester,New York,38431,1456,US
2020-10-04,Westchester,New York,38475,1457,US
2020-10-05,Westchester,New York,38515,1457,US
2020-10-06,Westchester,New York,38567,1457,US
2020-10-07,Westchester,New York,38628,1458,US
2020-10-08,Westchester,New York,38694,1459,US
2020-10-09,Westchester,New York,38771,1460,US
2020-10-10,Westchester,New York,38847,1461,US
2020-10-11,Westchester,New York,38894,1461,US
2020-10-12,Westchester,New York,39001,1462,US
2020-10-13,Westchester,New York,39064,1462,US
2020-10-14,Westchester,New York,39118,1462,US
2020-10-15,Westchester,New York,39200,1463,US
2020-10-16,Westchester,New York,39288,1465,US
2020-10-17,Westchester,New York,39398,1466,US
2020-10-18,Westchester,New York,39476,1467,US
2020-10-19,Westchester,New York,39548,1469,US
2020-10-20,Westchester,New York,39616,1469,US
2020-10-21,Westchester,New York,39694,1470,US
2020-10-22,Westchester,New York,39789,1470,US
2020-10-23,Westchester,New York,39890,1470,US
2020-10-24,Westchester,New York,40041,1471,US
2020-10-25,Westchester,New York,40131,1471,US
2020-10-26,Westchester,New York,40202,1471,US
2020-10-27,Westchester,New York,40322,1472,US
2020-10-28,Westchester,New York,40438,1472,US
2020-10-29,Westchester,New York,40554,1473,US
2020-10-30,Westchester,New York,40681,1473,US
2020-10-31,Westchester,New York,40800,1471,US
2020-11-01,Westchester,New York,40946,1472,US
2020-11-02,Westchester,New York,41061,1473,US
2020-11-03,Westchester,New York,41226,1473,US
2020-11-04,Westchester,New York,41360,1473,US
2020-11-05,Westchester,New York,41542,1474,US
2020-11-06,Westchester,New York,41720,1475,US
2020-11-07,Westchester,New York,41954,1476,US
2020-11-08,Westchester,New York,42179,1477,US
2020-11-09,Westchester,New York,42454,1479,US
2020-11-10,Westchester,New York,42696,1480,US
2020-11-11,Westchester,New York,42940,1482,US
2020-11-12,Westchester,New York,43292,1482,US
2020-11-13,Westchester,New York,43656,1483,US
2020-11-14,Westchester,New York,44093,1486,US
2020-11-15,Westchester,New York,44346,1488,US
2020-11-16,Westchester,New York,44576,1490,US
2020-11-17,Westchester,New York,44975,1490,US
2020-11-18,Westchester,New York,45335,1493,US
2020-11-19,Westchester,New York,45672,1494,US
2020-11-20,Westchester,New York,46064,1498,US
2020-11-21,Westchester,New York,46469,1499,US
2020-11-22,Westchester,New York,46841,1500,US
2020-11-23,Westchester,New York,47262,1500,US
2020-11-24,Westchester,New York,47632,1502,US
2020-11-25,Westchester,New York,47964,1506,US
2020-11-26,Westchester,New York,48441,1510,US
2020-11-27,Westchester,New York,49102,1512,US
2020-11-28,Westchester,New York,49646,1514,US
2020-11-29,Westchester,New York,50110,1514,US
2020-11-30,Westchester,New York,50693,1515,US
2020-12-01,Westchester,New York,51220,1517,US
2020-12-02,Westchester,New York,51790,1520,US
2020-12-03,Westchester,New York,52418,1525,US
2020-12-04,Westchester,New York,53186,1527,US
2020-12-05,Westchester,New York,53944,1527,US
2020-12-06,Westchester,New York,54671,1529,US
2020-12-07,Westchester,New York,55187,1534,US
2020-12-08,Westchester,New York,55797,1539,US
2020-12-09,Westchester,New York,56372,1545,US
2020-12-10,Westchester,New York,56995,1550,US
2020-12-11,Westchester,New York,57606,1553,US
2020-12-12,Westchester,New York,58244,1558,US
2020-12-13,Westchester,New York,58837,1562,US
2020-12-14,Westchester,New York,59431,1568,US
2020-12-15,Westchester,New York,59991,1575,US
2020-12-16,Westchester,New York,60540,1581,US
2020-12-17,Westchester,New York,61111,1584,US
2020-12-18,Westchester,New York,61827,1594,US
2020-12-19,Westchester,New York,62405,1600,US
2020-12-20,Westchester,New York,62940,1606,US
2020-12-21,Westchester,New York,63373,1611,US
2020-12-22,Westchester,New York,63909,1617,US
2020-12-23,Westchester,New York,64560,1624,US
2020-12-24,Westchester,New York,65137,1628,US
2020-12-25,Westchester,New York,65851,1635,US
2020-12-26,Westchester,New York,66405,1639,US
2020-12-27,Westchester,New York,66837,1643,US
2020-12-28,Westchester,New York,67388,1652,US
2020-12-29,Westchester,New York,67931,1656,US
2020-12-30,Westchester,New York,68702,1661,US
2020-12-31,Westchester,New York,69661,1664,US
2021-01-01,Westchester,New York,70614,1675,US
2021-01-02,Westchester,New York,71627,1677,US
2021-01-03,Westchester,New York,72218,1681,US
2021-01-04,Westchester,New York,72762,1683,US
2021-01-05,Westchester,New York,73381,1692,US
2021-01-06,Westchester,New York,74157,1697,US
2021-01-07,Westchester,New York,75176,1711,US
2021-01-08,Westchester,New York,76089,1713,US
2021-01-09,Westchester,New York,76942,1721,US
2021-01-10,Westchester,New York,77731,1730,US
2021-01-11,Westchester,New York,78534,1736,US
2021-01-12,Westchester,New York,79406,1744,US
2021-01-13,Westchester,New York,80146,1750,US
2021-01-14,Westchester,New York,80869,1763,US
2021-01-15,Westchester,New York,81982,1774,US
2021-01-16,Westchester,New York,82933,1780,US
2021-01-17,Westchester,New York,83708,1789,US
2021-01-18,Westchester,New York,84420,1797,US
2021-01-19,Westchester,New York,85020,1806,US
2021-01-20,Westchester,New York,85723,1819,US
2021-01-21,Westchester,New York,86646,1824,US
2021-01-22,Westchester,New York,87570,1832,US
2021-01-23,Westchester,New York,88404,1836,US
2021-01-24,Westchester,New York,89225,1846,US
2021-01-25,Westchester,New York,90029,1851,US
2021-01-26,Westchester,New York,90665,1858,US
2021-01-27,Westchester,New York,91223,1864,US
2021-01-28,Westchester,New York,92062,1875,US
2021-01-29,Westchester,New York,92794,1884,US
2021-01-30,Westchester,New York,93585,1894,US
2021-01-31,Westchester,New York,94214,1906,US
2021-02-01,Westchester,New York,94698,1917,US
2021-02-02,Westchester,New York,95303,1927,US
2021-02-03,Westchester,New York,95642,1938,US
2021-02-04,Westchester,New York,95989,1948,US
