Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Whitley,Kentucky,0,0,US
2020-01-23,Whitley,Kentucky,0,0,US
2020-01-24,Whitley,Kentucky,0,0,US
2020-01-25,Whitley,Kentucky,0,0,US
2020-01-26,Whitley,Kentucky,0,0,US
2020-01-27,Whitley,Kentucky,0,0,US
2020-01-28,Whitley,Kentucky,0,0,US
2020-01-29,Whitley,Kentucky,0,0,US
2020-01-30,Whitley,Kentucky,0,0,US
2020-01-31,Whitley,Kentucky,0,0,US
2020-02-01,Whitley,Kentucky,0,0,US
2020-02-02,Whitley,Kentucky,0,0,US
2020-02-03,Whitley,Kentucky,0,0,US
2020-02-04,Whitley,Kentucky,0,0,US
2020-02-05,Whitley,Kentucky,0,0,US
2020-02-06,Whitley,Kentucky,0,0,US
2020-02-07,Whitley,Kentucky,0,0,US
2020-02-08,Whitley,Kentucky,0,0,US
2020-02-09,Whitley,Kentucky,0,0,US
2020-02-10,Whitley,Kentucky,0,0,US
2020-02-11,Whitley,Kentucky,0,0,US
2020-02-12,Whitley,Kentucky,0,0,US
2020-02-13,Whitley,Kentucky,0,0,US
2020-02-14,Whitley,Kentucky,0,0,US
2020-02-15,Whitley,Kentucky,0,0,US
2020-02-16,Whitley,Kentucky,0,0,US
2020-02-17,Whitley,Kentucky,0,0,US
2020-02-18,Whitley,Kentucky,0,0,US
2020-02-19,Whitley,Kentucky,0,0,US
2020-02-20,Whitley,Kentucky,0,0,US
2020-02-21,Whitley,Kentucky,0,0,US
2020-02-22,Whitley,Kentucky,0,0,US
2020-02-23,Whitley,Kentucky,0,0,US
2020-02-24,Whitley,Kentucky,0,0,US
2020-02-25,Whitley,Kentucky,0,0,US
2020-02-26,Whitley,Kentucky,0,0,US
2020-02-27,Whitley,Kentucky,0,0,US
2020-02-28,Whitley,Kentucky,0,0,US
2020-02-29,Whitley,Kentucky,0,0,US
2020-03-01,Whitley,Kentucky,0,0,US
2020-03-02,Whitley,Kentucky,0,0,US
2020-03-03,Whitley,Kentucky,0,0,US
2020-03-04,Whitley,Kentucky,0,0,US
2020-03-05,Whitley,Kentucky,0,0,US
2020-03-06,Whitley,Kentucky,0,0,US
2020-03-07,Whitley,Kentucky,0,0,US
2020-03-08,Whitley,Kentucky,0,0,US
2020-03-09,Whitley,Kentucky,0,0,US
2020-03-10,Whitley,Kentucky,0,0,US
2020-03-11,Whitley,Kentucky,0,0,US
2020-03-12,Whitley,Kentucky,0,0,US
2020-03-13,Whitley,Kentucky,0,0,US
2020-03-14,Whitley,Kentucky,0,0,US
2020-03-15,Whitley,Kentucky,0,0,US
2020-03-16,Whitley,Kentucky,0,0,US
2020-03-17,Whitley,Kentucky,0,0,US
2020-03-18,Whitley,Kentucky,0,0,US
2020-03-19,Whitley,Kentucky,0,0,US
2020-03-20,Whitley,Kentucky,0,0,US
2020-03-21,Whitley,Kentucky,0,0,US
2020-03-22,Whitley,Kentucky,0,0,US
2020-03-23,Whitley,Kentucky,0,0,US
2020-03-24,Whitley,Kentucky,0,0,US
2020-03-25,Whitley,Kentucky,0,0,US
2020-03-26,Whitley,Kentucky,0,0,US
2020-03-27,Whitley,Kentucky,0,0,US
2020-03-28,Whitley,Kentucky,0,0,US
2020-03-29,Whitley,Kentucky,0,0,US
2020-03-30,Whitley,Kentucky,0,0,US
2020-03-31,Whitley,Kentucky,0,0,US
2020-04-01,Whitley,Kentucky,0,0,US
2020-04-02,Whitley,Kentucky,0,0,US
2020-04-03,Whitley,Kentucky,0,0,US
2020-04-04,Whitley,Kentucky,0,0,US
2020-04-05,Whitley,Kentucky,0,0,US
2020-04-06,Whitley,Kentucky,0,0,US
2020-04-07,Whitley,Kentucky,0,0,US
2020-04-08,Whitley,Kentucky,0,0,US
2020-04-09,Whitley,Kentucky,1,0,US
