Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Wilkinson,Mississippi,0,0,US
2020-01-23,Wilkinson,Mississippi,0,0,US
2020-01-24,Wilkinson,Mississippi,0,0,US
2020-01-25,Wilkinson,Mississippi,0,0,US
2020-01-26,Wilkinson,Mississippi,0,0,US
2020-01-27,Wilkinson,Mississippi,0,0,US
2020-01-28,Wilkinson,Mississippi,0,0,US
2020-01-29,Wilkinson,Mississippi,0,0,US
2020-01-30,Wilkinson,Mississippi,0,0,US
2020-01-31,Wilkinson,Mississippi,0,0,US
2020-02-01,Wilkinson,Mississippi,0,0,US
2020-02-02,Wilkinson,Mississippi,0,0,US
2020-02-03,Wilkinson,Mississippi,0,0,US
2020-02-04,Wilkinson,Mississippi,0,0,US
2020-02-05,Wilkinson,Mississippi,0,0,US
2020-02-06,Wilkinson,Mississippi,0,0,US
2020-02-07,Wilkinson,Mississippi,0,0,US
2020-02-08,Wilkinson,Mississippi,0,0,US
2020-02-09,Wilkinson,Mississippi,0,0,US
2020-02-10,Wilkinson,Mississippi,0,0,US
2020-02-11,Wilkinson,Mississippi,0,0,US
2020-02-12,Wilkinson,Mississippi,0,0,US
2020-02-13,Wilkinson,Mississippi,0,0,US
2020-02-14,Wilkinson,Mississippi,0,0,US
2020-02-15,Wilkinson,Mississippi,0,0,US
2020-02-16,Wilkinson,Mississippi,0,0,US
2020-02-17,Wilkinson,Mississippi,0,0,US
2020-02-18,Wilkinson,Mississippi,0,0,US
2020-02-19,Wilkinson,Mississippi,0,0,US
2020-02-20,Wilkinson,Mississippi,0,0,US
2020-02-21,Wilkinson,Mississippi,0,0,US
2020-02-22,Wilkinson,Mississippi,0,0,US
2020-02-23,Wilkinson,Mississippi,0,0,US
2020-02-24,Wilkinson,Mississippi,0,0,US
2020-02-25,Wilkinson,Mississippi,0,0,US
2020-02-26,Wilkinson,Mississippi,0,0,US
2020-02-27,Wilkinson,Mississippi,0,0,US
2020-02-28,Wilkinson,Mississippi,0,0,US
2020-02-29,Wilkinson,Mississippi,0,0,US
2020-03-01,Wilkinson,Mississippi,0,0,US
2020-03-02,Wilkinson,Mississippi,0,0,US
2020-03-03,Wilkinson,Mississippi,0,0,US
2020-03-04,Wilkinson,Mississippi,0,0,US
2020-03-05,Wilkinson,Mississippi,0,0,US
2020-03-06,Wilkinson,Mississippi,0,0,US
2020-03-07,Wilkinson,Mississippi,0,0,US
2020-03-08,Wilkinson,Mississippi,0,0,US
2020-03-09,Wilkinson,Mississippi,0,0,US
2020-03-10,Wilkinson,Mississippi,0,0,US
2020-03-11,Wilkinson,Mississippi,0,0,US
2020-03-12,Wilkinson,Mississippi,0,0,US
2020-03-13,Wilkinson,Mississippi,0,0,US
2020-03-14,Wilkinson,Mississippi,0,0,US
2020-03-15,Wilkinson,Mississippi,0,0,US
2020-03-16,Wilkinson,Mississippi,0,0,US
2020-03-17,Wilkinson,Mississippi,0,0,US
2020-03-18,Wilkinson,Mississippi,0,0,US
2020-03-19,Wilkinson,Mississippi,1,0,US
2020-03-20,Wilkinson,Mississippi,1,0,US
2020-03-21,Wilkinson,Mississippi,1,0,US
2020-03-22,Wilkinson,Mississippi,3,0,US
2020-03-23,Wilkinson,Mississippi,3,0,US
2020-03-24,Wilkinson,Mississippi,4,0,US
2020-03-25,Wilkinson,Mississippi,5,0,US
2020-03-26,Wilkinson,Mississippi,8,1,US
2020-03-27,Wilkinson,Mississippi,9,1,US
2020-03-28,Wilkinson,Mississippi,11,1,US
2020-03-29,Wilkinson,Mississippi,12,2,US
2020-03-30,Wilkinson,Mississippi,12,2,US
2020-03-31,Wilkinson,Mississippi,14,2,US
2020-04-01,Wilkinson,Mississippi,16,2,US
2020-04-02,Wilkinson,Mississippi,17,2,US
2020-04-03,Wilkinson,Mississippi,22,2,US
2020-04-04,Wilkinson,Mississippi,25,3,US
2020-04-05,Wilkinson,Mississippi,30,3,US
2020-04-06,Wilkinson,Mississippi,30,3,US
2020-04-07,Wilkinson,Mississippi,32,3,US
2020-04-08,Wilkinson,Mississippi,33,3,US
2020-04-09,Wilkinson,Mississippi,37,3,US
2020-04-10,Wilkinson,Mississippi,40,3,US
2020-04-11,Wilkinson,Mississippi,42,3,US
2020-04-12,Wilkinson,Mississippi,45,3,US
2020-04-13,Wilkinson,Mississippi,49,3,US
2020-04-14,Wilkinson,Mississippi,49,3,US
2020-04-15,Wilkinson,Mississippi,51,3,US
2020-04-16,Wilkinson,Mississippi,53,3,US
2020-04-17,Wilkinson,Mississippi,53,3,US
2020-04-18,Wilkinson,Mississippi,55,4,US
2020-04-19,Wilkinson,Mississippi,58,5,US
2020-04-20,Wilkinson,Mississippi,61,5,US
2020-04-21,Wilkinson,Mississippi,64,6,US
2020-04-22,Wilkinson,Mississippi,66,6,US
2020-04-23,Wilkinson,Mississippi,65,6,US
2020-04-24,Wilkinson,Mississippi,66,7,US
2020-04-25,Wilkinson,Mississippi,68,7,US
2020-04-26,Wilkinson,Mississippi,68,7,US
2020-04-27,Wilkinson,Mississippi,68,7,US
2020-04-28,Wilkinson,Mississippi,68,7,US
2020-04-29,Wilkinson,Mississippi,69,7,US
2020-04-30,Wilkinson,Mississippi,69,7,US
2020-05-01,Wilkinson,Mississippi,69,7,US
2020-05-02,Wilkinson,Mississippi,69,7,US
2020-05-03,Wilkinson,Mississippi,69,7,US
2020-05-04,Wilkinson,Mississippi,70,7,US
2020-05-05,Wilkinson,Mississippi,71,7,US
2020-05-06,Wilkinson,Mississippi,72,7,US
2020-05-07,Wilkinson,Mississippi,74,9,US
2020-05-08,Wilkinson,Mississippi,74,9,US
2020-05-09,Wilkinson,Mississippi,75,9,US
2020-05-10,Wilkinson,Mississippi,77,9,US
2020-05-11,Wilkinson,Mississippi,77,9,US
2020-05-12,Wilkinson,Mississippi,78,9,US
2020-05-13,Wilkinson,Mississippi,78,9,US
2020-05-14,Wilkinson,Mississippi,78,9,US
2020-05-15,Wilkinson,Mississippi,78,9,US
2020-05-16,Wilkinson,Mississippi,78,9,US
2020-05-17,Wilkinson,Mississippi,78,9,US
2020-05-18,Wilkinson,Mississippi,78,9,US
2020-05-19,Wilkinson,Mississippi,78,9,US
2020-05-20,Wilkinson,Mississippi,80,9,US
2020-05-21,Wilkinson,Mississippi,80,9,US
2020-05-22,Wilkinson,Mississippi,81,9,US
2020-05-23,Wilkinson,Mississippi,81,9,US
2020-05-24,Wilkinson,Mississippi,82,9,US
2020-05-25,Wilkinson,Mississippi,84,9,US
2020-05-26,Wilkinson,Mississippi,85,9,US
2020-05-27,Wilkinson,Mississippi,85,9,US
2020-05-28,Wilkinson,Mississippi,85,9,US
2020-05-29,Wilkinson,Mississippi,86,9,US
2020-05-30,Wilkinson,Mississippi,88,9,US
2020-05-31,Wilkinson,Mississippi,88,9,US
2020-06-01,Wilkinson,Mississippi,85,9,US
2020-06-02,Wilkinson,Mississippi,85,9,US
2020-06-03,Wilkinson,Mississippi,85,9,US
2020-06-04,Wilkinson,Mississippi,85,9,US
2020-06-05,Wilkinson,Mississippi,85,9,US
2020-06-06,Wilkinson,Mississippi,85,9,US
2020-06-07,Wilkinson,Mississippi,85,9,US
2020-06-08,Wilkinson,Mississippi,85,9,US
2020-06-09,Wilkinson,Mississippi,85,9,US
2020-06-10,Wilkinson,Mississippi,85,9,US
2020-06-11,Wilkinson,Mississippi,85,9,US
2020-06-12,Wilkinson,Mississippi,85,9,US
2020-06-13,Wilkinson,Mississippi,85,9,US
2020-06-14,Wilkinson,Mississippi,85,9,US
2020-06-15,Wilkinson,Mississippi,85,9,US
2020-06-16,Wilkinson,Mississippi,85,9,US
2020-06-17,Wilkinson,Mississippi,85,9,US
2020-06-18,Wilkinson,Mississippi,85,9,US
2020-06-19,Wilkinson,Mississippi,85,9,US
2020-06-20,Wilkinson,Mississippi,85,9,US
2020-06-21,Wilkinson,Mississippi,85,9,US
2020-06-22,Wilkinson,Mississippi,85,9,US
2020-06-23,Wilkinson,Mississippi,85,9,US
2020-06-24,Wilkinson,Mississippi,86,9,US
2020-06-25,Wilkinson,Mississippi,87,9,US
2020-06-26,Wilkinson,Mississippi,88,9,US
2020-06-27,Wilkinson,Mississippi,89,9,US
2020-06-28,Wilkinson,Mississippi,89,9,US
2020-06-29,Wilkinson,Mississippi,89,9,US
2020-06-30,Wilkinson,Mississippi,89,9,US
2020-07-01,Wilkinson,Mississippi,91,9,US
2020-07-02,Wilkinson,Mississippi,92,9,US
2020-07-03,Wilkinson,Mississippi,92,9,US
2020-07-04,Wilkinson,Mississippi,94,9,US
2020-07-05,Wilkinson,Mississippi,94,9,US
2020-07-06,Wilkinson,Mississippi,94,9,US
2020-07-07,Wilkinson,Mississippi,93,9,US
2020-07-08,Wilkinson,Mississippi,94,9,US
2020-07-09,Wilkinson,Mississippi,95,9,US
2020-07-10,Wilkinson,Mississippi,96,9,US
2020-07-11,Wilkinson,Mississippi,98,9,US
2020-07-12,Wilkinson,Mississippi,98,9,US
2020-07-13,Wilkinson,Mississippi,101,9,US
2020-07-14,Wilkinson,Mississippi,104,9,US
2020-07-15,Wilkinson,Mississippi,107,9,US
2020-07-16,Wilkinson,Mississippi,111,9,US
2020-07-17,Wilkinson,Mississippi,111,9,US
2020-07-18,Wilkinson,Mississippi,121,11,US
2020-07-19,Wilkinson,Mississippi,121,11,US
2020-07-20,Wilkinson,Mississippi,129,11,US
2020-07-21,Wilkinson,Mississippi,129,11,US
2020-07-22,Wilkinson,Mississippi,134,12,US
2020-07-23,Wilkinson,Mississippi,137,12,US
2020-07-24,Wilkinson,Mississippi,142,12,US
2020-07-25,Wilkinson,Mississippi,145,12,US
2020-07-26,Wilkinson,Mississippi,151,12,US
2020-07-27,Wilkinson,Mississippi,154,12,US
2020-07-28,Wilkinson,Mississippi,158,12,US
2020-07-29,Wilkinson,Mississippi,160,12,US
2020-07-30,Wilkinson,Mississippi,173,12,US
2020-07-31,Wilkinson,Mississippi,178,12,US
2020-08-01,Wilkinson,Mississippi,183,12,US
2020-08-02,Wilkinson,Mississippi,187,12,US
2020-08-03,Wilkinson,Mississippi,187,12,US
2020-08-04,Wilkinson,Mississippi,188,13,US
2020-08-05,Wilkinson,Mississippi,193,13,US
2020-08-06,Wilkinson,Mississippi,194,13,US
2020-08-07,Wilkinson,Mississippi,201,13,US
2020-08-08,Wilkinson,Mississippi,205,13,US
2020-08-09,Wilkinson,Mississippi,212,13,US
2020-08-10,Wilkinson,Mississippi,211,13,US
2020-08-11,Wilkinson,Mississippi,215,13,US
2020-08-12,Wilkinson,Mississippi,220,13,US
2020-08-13,Wilkinson,Mississippi,227,14,US
2020-08-14,Wilkinson,Mississippi,231,14,US
2020-08-15,Wilkinson,Mississippi,233,14,US
2020-08-16,Wilkinson,Mississippi,234,14,US
2020-08-17,Wilkinson,Mississippi,234,14,US
2020-08-18,Wilkinson,Mississippi,239,14,US
2020-08-19,Wilkinson,Mississippi,241,14,US
2020-08-20,Wilkinson,Mississippi,244,14,US
2020-08-21,Wilkinson,Mississippi,247,14,US
2020-08-22,Wilkinson,Mississippi,253,14,US
2020-08-23,Wilkinson,Mississippi,258,14,US
2020-08-24,Wilkinson,Mississippi,258,14,US
2020-08-25,Wilkinson,Mississippi,273,15,US
2020-08-26,Wilkinson,Mississippi,277,17,US
2020-08-27,Wilkinson,Mississippi,274,17,US
2020-08-28,Wilkinson,Mississippi,275,17,US
2020-08-29,Wilkinson,Mississippi,276,17,US
2020-08-30,Wilkinson,Mississippi,277,17,US
2020-08-31,Wilkinson,Mississippi,277,17,US
2020-09-01,Wilkinson,Mississippi,277,17,US
2020-09-02,Wilkinson,Mississippi,281,17,US
2020-09-03,Wilkinson,Mississippi,284,17,US
2020-09-04,Wilkinson,Mississippi,284,17,US
2020-09-05,Wilkinson,Mississippi,284,17,US
2020-09-06,Wilkinson,Mississippi,284,17,US
2020-09-07,Wilkinson,Mississippi,284,17,US
2020-09-08,Wilkinson,Mississippi,284,17,US
2020-09-09,Wilkinson,Mississippi,284,17,US
2020-09-10,Wilkinson,Mississippi,287,17,US
2020-09-11,Wilkinson,Mississippi,288,17,US
2020-09-12,Wilkinson,Mississippi,290,17,US
2020-09-13,Wilkinson,Mississippi,290,17,US
2020-09-14,Wilkinson,Mississippi,290,17,US
2020-09-15,Wilkinson,Mississippi,296,17,US
2020-09-16,Wilkinson,Mississippi,299,17,US
2020-09-17,Wilkinson,Mississippi,301,17,US
2020-09-18,Wilkinson,Mississippi,301,17,US
2020-09-19,Wilkinson,Mississippi,302,17,US
2020-09-20,Wilkinson,Mississippi,302,17,US
2020-09-21,Wilkinson,Mississippi,302,17,US
2020-09-22,Wilkinson,Mississippi,301,18,US
2020-09-23,Wilkinson,Mississippi,302,18,US
2020-09-24,Wilkinson,Mississippi,303,18,US
