Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Williamson,Illinois,0,0,US
2020-01-23,Williamson,Illinois,0,0,US
2020-01-24,Williamson,Illinois,0,0,US
2020-01-25,Williamson,Illinois,0,0,US
2020-01-26,Williamson,Illinois,0,0,US
2020-01-27,Williamson,Illinois,0,0,US
2020-01-28,Williamson,Illinois,0,0,US
2020-01-29,Williamson,Illinois,0,0,US
2020-01-30,Williamson,Illinois,0,0,US
2020-01-31,Williamson,Illinois,0,0,US
2020-02-01,Williamson,Illinois,0,0,US
2020-02-02,Williamson,Illinois,0,0,US
2020-02-03,Williamson,Illinois,0,0,US
2020-02-04,Williamson,Illinois,0,0,US
2020-02-05,Williamson,Illinois,0,0,US
2020-02-06,Williamson,Illinois,0,0,US
2020-02-07,Williamson,Illinois,0,0,US
2020-02-08,Williamson,Illinois,0,0,US
2020-02-09,Williamson,Illinois,0,0,US
2020-02-10,Williamson,Illinois,0,0,US
2020-02-11,Williamson,Illinois,0,0,US
2020-02-12,Williamson,Illinois,0,0,US
2020-02-13,Williamson,Illinois,0,0,US
2020-02-14,Williamson,Illinois,0,0,US
2020-02-15,Williamson,Illinois,0,0,US
2020-02-16,Williamson,Illinois,0,0,US
2020-02-17,Williamson,Illinois,0,0,US
2020-02-18,Williamson,Illinois,0,0,US
2020-02-19,Williamson,Illinois,0,0,US
2020-02-20,Williamson,Illinois,0,0,US
2020-02-21,Williamson,Illinois,0,0,US
2020-02-22,Williamson,Illinois,0,0,US
2020-02-23,Williamson,Illinois,0,0,US
2020-02-24,Williamson,Illinois,0,0,US
2020-02-25,Williamson,Illinois,0,0,US
2020-02-26,Williamson,Illinois,0,0,US
2020-02-27,Williamson,Illinois,0,0,US
2020-02-28,Williamson,Illinois,0,0,US
2020-02-29,Williamson,Illinois,0,0,US
2020-03-01,Williamson,Illinois,0,0,US
2020-03-02,Williamson,Illinois,0,0,US
2020-03-03,Williamson,Illinois,0,0,US
2020-03-04,Williamson,Illinois,0,0,US
2020-03-05,Williamson,Illinois,0,0,US
2020-03-06,Williamson,Illinois,0,0,US
2020-03-07,Williamson,Illinois,0,0,US
2020-03-08,Williamson,Illinois,0,0,US
2020-03-09,Williamson,Illinois,0,0,US
2020-03-10,Williamson,Illinois,0,0,US
2020-03-11,Williamson,Illinois,0,0,US
2020-03-12,Williamson,Illinois,0,0,US
2020-03-13,Williamson,Illinois,0,0,US
2020-03-14,Williamson,Illinois,0,0,US
2020-03-15,Williamson,Illinois,0,0,US
2020-03-16,Williamson,Illinois,0,0,US
2020-03-17,Williamson,Illinois,0,0,US
2020-03-18,Williamson,Illinois,0,0,US
2020-03-19,Williamson,Illinois,1,0,US
2020-03-20,Williamson,Illinois,1,0,US
2020-03-21,Williamson,Illinois,1,0,US
2020-03-22,Williamson,Illinois,1,0,US
2020-03-23,Williamson,Illinois,1,0,US
2020-03-24,Williamson,Illinois,0,0,US
2020-03-25,Williamson,Illinois,0,0,US
2020-03-26,Williamson,Illinois,0,0,US
2020-03-27,Williamson,Illinois,1,0,US
2020-03-28,Williamson,Illinois,1,0,US
2020-03-29,Williamson,Illinois,1,0,US
2020-03-30,Williamson,Illinois,1,0,US
2020-03-31,Williamson,Illinois,1,0,US
2020-04-01,Williamson,Illinois,1,0,US
2020-04-02,Williamson,Illinois,1,0,US
2020-04-03,Williamson,Illinois,2,0,US
2020-04-04,Williamson,Illinois,3,0,US
2020-04-05,Williamson,Illinois,3,0,US
2020-04-06,Williamson,Illinois,3,0,US
2020-04-07,Williamson,Illinois,8,0,US
2020-04-08,Williamson,Illinois,9,0,US
2020-04-09,Williamson,Illinois,10,0,US
2020-04-10,Williamson,Illinois,10,0,US
2020-04-11,Williamson,Illinois,10,0,US
2020-04-12,Williamson,Illinois,10,0,US
2020-04-13,Williamson,Illinois,10,0,US
2020-04-14,Williamson,Illinois,10,0,US
2020-04-15,Williamson,Illinois,12,0,US
2020-04-16,Williamson,Illinois,12,0,US
2020-04-17,Williamson,Illinois,13,0,US
2020-04-18,Williamson,Illinois,13,0,US
2020-04-19,Williamson,Illinois,14,0,US
2020-04-20,Williamson,Illinois,15,0,US
2020-04-21,Williamson,Illinois,16,0,US
2020-04-22,Williamson,Illinois,17,0,US
2020-04-23,Williamson,Illinois,19,0,US
2020-04-24,Williamson,Illinois,22,0,US
2020-04-25,Williamson,Illinois,22,0,US
2020-04-26,Williamson,Illinois,25,0,US
2020-04-27,Williamson,Illinois,25,0,US
2020-04-28,Williamson,Illinois,28,0,US
2020-04-29,Williamson,Illinois,29,0,US
2020-04-30,Williamson,Illinois,31,0,US
2020-05-01,Williamson,Illinois,32,0,US
2020-05-02,Williamson,Illinois,32,0,US
2020-05-03,Williamson,Illinois,34,0,US
2020-05-04,Williamson,Illinois,35,0,US
2020-05-05,Williamson,Illinois,37,0,US
2020-05-06,Williamson,Illinois,40,0,US
2020-05-07,Williamson,Illinois,42,0,US
2020-05-08,Williamson,Illinois,44,1,US
2020-05-09,Williamson,Illinois,44,1,US
2020-05-10,Williamson,Illinois,44,1,US
2020-05-11,Williamson,Illinois,44,1,US
2020-05-12,Williamson,Illinois,44,1,US
2020-05-13,Williamson,Illinois,52,1,US
2020-05-14,Williamson,Illinois,52,1,US
2020-05-15,Williamson,Illinois,51,1,US
2020-05-16,Williamson,Illinois,52,1,US
2020-05-17,Williamson,Illinois,52,1,US
2020-05-18,Williamson,Illinois,52,1,US
2020-05-19,Williamson,Illinois,52,1,US
2020-05-20,Williamson,Illinois,55,1,US
2020-05-21,Williamson,Illinois,55,1,US
2020-05-22,Williamson,Illinois,54,1,US
2020-05-23,Williamson,Illinois,54,1,US
2020-05-24,Williamson,Illinois,55,1,US
2020-05-25,Williamson,Illinois,55,1,US
2020-05-26,Williamson,Illinois,54,1,US
2020-05-27,Williamson,Illinois,57,2,US
2020-05-28,Williamson,Illinois,60,2,US
2020-05-29,Williamson,Illinois,64,2,US
2020-05-30,Williamson,Illinois,66,1,US
2020-05-31,Williamson,Illinois,67,2,US
2020-06-01,Williamson,Illinois,67,2,US
2020-06-02,Williamson,Illinois,68,2,US
2020-06-03,Williamson,Illinois,71,2,US
2020-06-04,Williamson,Illinois,74,3,US
2020-06-05,Williamson,Illinois,75,3,US
2020-06-06,Williamson,Illinois,76,3,US
2020-06-07,Williamson,Illinois,76,3,US
2020-06-08,Williamson,Illinois,77,3,US
2020-06-09,Williamson,Illinois,81,3,US
2020-06-10,Williamson,Illinois,81,3,US
2020-06-11,Williamson,Illinois,81,3,US
2020-06-12,Williamson,Illinois,80,3,US
2020-06-13,Williamson,Illinois,82,3,US
2020-06-14,Williamson,Illinois,83,3,US
2020-06-15,Williamson,Illinois,86,3,US
2020-06-16,Williamson,Illinois,87,3,US
2020-06-17,Williamson,Illinois,89,3,US
2020-06-18,Williamson,Illinois,91,3,US
2020-06-19,Williamson,Illinois,91,4,US
2020-06-20,Williamson,Illinois,92,4,US
2020-06-21,Williamson,Illinois,93,4,US
2020-06-22,Williamson,Illinois,93,4,US
2020-06-23,Williamson,Illinois,95,4,US
2020-06-24,Williamson,Illinois,99,4,US
2020-06-25,Williamson,Illinois,102,4,US
2020-06-26,Williamson,Illinois,104,4,US
2020-06-27,Williamson,Illinois,106,4,US
2020-06-28,Williamson,Illinois,113,4,US
2020-06-29,Williamson,Illinois,114,4,US
2020-06-30,Williamson,Illinois,115,4,US
2020-07-01,Williamson,Illinois,120,4,US
2020-07-02,Williamson,Illinois,121,4,US
2020-07-03,Williamson,Illinois,122,4,US
2020-07-04,Williamson,Illinois,126,4,US
2020-07-05,Williamson,Illinois,132,4,US
2020-07-06,Williamson,Illinois,133,4,US
2020-07-07,Williamson,Illinois,133,4,US
2020-07-08,Williamson,Illinois,134,4,US
2020-07-09,Williamson,Illinois,139,4,US
2020-07-10,Williamson,Illinois,145,4,US
2020-07-11,Williamson,Illinois,155,4,US
2020-07-12,Williamson,Illinois,161,4,US
2020-07-13,Williamson,Illinois,162,4,US
2020-07-14,Williamson,Illinois,164,4,US
2020-07-15,Williamson,Illinois,173,4,US
2020-07-16,Williamson,Illinois,181,4,US
2020-07-17,Williamson,Illinois,186,4,US
2020-07-18,Williamson,Illinois,196,4,US
2020-07-19,Williamson,Illinois,201,4,US
2020-07-20,Williamson,Illinois,213,4,US
2020-07-21,Williamson,Illinois,211,4,US
2020-07-22,Williamson,Illinois,218,4,US
2020-07-23,Williamson,Illinois,222,4,US
2020-07-24,Williamson,Illinois,240,4,US
2020-07-25,Williamson,Illinois,248,4,US
2020-07-26,Williamson,Illinois,265,4,US
2020-07-27,Williamson,Illinois,270,4,US
2020-07-28,Williamson,Illinois,270,5,US
2020-07-29,Williamson,Illinois,280,5,US
2020-07-30,Williamson,Illinois,289,5,US
2020-07-31,Williamson,Illinois,301,5,US
2020-08-01,Williamson,Illinois,315,5,US
2020-08-02,Williamson,Illinois,329,5,US
2020-08-03,Williamson,Illinois,341,5,US
2020-08-04,Williamson,Illinois,344,5,US
2020-08-05,Williamson,Illinois,349,5,US
2020-08-06,Williamson,Illinois,364,6,US
2020-08-07,Williamson,Illinois,374,6,US
2020-08-08,Williamson,Illinois,388,6,US
2020-08-09,Williamson,Illinois,399,6,US
2020-08-10,Williamson,Illinois,409,6,US
2020-08-11,Williamson,Illinois,434,6,US
2020-08-12,Williamson,Illinois,454,7,US
2020-08-13,Williamson,Illinois,477,7,US
2020-08-14,Williamson,Illinois,499,7,US
2020-08-15,Williamson,Illinois,512,7,US
2020-08-16,Williamson,Illinois,534,7,US
2020-08-17,Williamson,Illinois,552,7,US
2020-08-18,Williamson,Illinois,568,7,US
2020-08-19,Williamson,Illinois,620,7,US
2020-08-20,Williamson,Illinois,637,8,US
2020-08-21,Williamson,Illinois,654,9,US
2020-08-22,Williamson,Illinois,673,9,US
2020-08-23,Williamson,Illinois,695,9,US
2020-08-24,Williamson,Illinois,716,9,US
2020-08-25,Williamson,Illinois,747,10,US
2020-08-26,Williamson,Illinois,784,11,US
2020-08-27,Williamson,Illinois,806,11,US
2020-08-28,Williamson,Illinois,812,12,US
2020-08-29,Williamson,Illinois,860,12,US
2020-08-30,Williamson,Illinois,879,12,US
2020-08-31,Williamson,Illinois,908,12,US
2020-09-01,Williamson,Illinois,927,13,US
2020-09-02,Williamson,Illinois,960,14,US
2020-09-03,Williamson,Illinois,965,14,US
2020-09-04,Williamson,Illinois,1017,16,US
2020-09-05,Williamson,Illinois,1024,18,US
2020-09-06,Williamson,Illinois,1036,18,US
2020-09-07,Williamson,Illinois,1058,18,US
2020-09-08,Williamson,Illinois,1065,20,US
2020-09-09,Williamson,Illinois,1068,24,US
2020-09-10,Williamson,Illinois,1098,23,US
2020-09-11,Williamson,Illinois,1126,26,US
2020-09-12,Williamson,Illinois,1141,26,US
2020-09-13,Williamson,Illinois,1160,27,US
2020-09-14,Williamson,Illinois,1183,27,US
2020-09-15,Williamson,Illinois,1204,27,US
2020-09-16,Williamson,Illinois,1227,28,US
2020-09-17,Williamson,Illinois,1253,31,US
2020-09-18,Williamson,Illinois,1289,34,US
2020-09-19,Williamson,Illinois,1296,34,US
2020-09-20,Williamson,Illinois,1315,34,US
2020-09-21,Williamson,Illinois,1325,34,US
2020-09-22,Williamson,Illinois,1337,37,US
2020-09-23,Williamson,Illinois,1351,39,US
2020-09-24,Williamson,Illinois,1371,42,US
2020-09-25,Williamson,Illinois,1383,44,US
2020-09-26,Williamson,Illinois,1390,45,US
2020-09-27,Williamson,Illinois,1401,45,US
2020-09-28,Williamson,Illinois,1406,45,US
2020-09-29,Williamson,Illinois,1416,47,US
2020-09-30,Williamson,Illinois,1426,49,US
2020-10-01,Williamson,Illinois,1442,50,US
2020-10-02,Williamson,Illinois,1453,52,US
2020-10-03,Williamson,Illinois,1457,52,US
2020-10-04,Williamson,Illinois,1464,53,US
2020-10-05,Williamson,Illinois,1467,54,US
2020-10-06,Williamson,Illinois,1484,54,US
2020-10-07,Williamson,Illinois,1502,55,US
2020-10-08,Williamson,Illinois,1521,55,US
2020-10-09,Williamson,Illinois,1522,56,US
2020-10-10,Williamson,Illinois,1532,56,US
2020-10-11,Williamson,Illinois,1551,56,US
2020-10-12,Williamson,Illinois,1564,56,US
2020-10-13,Williamson,Illinois,1575,56,US
2020-10-14,Williamson,Illinois,1601,56,US
2020-10-15,Williamson,Illinois,1621,56,US
2020-10-16,Williamson,Illinois,1655,57,US
2020-10-17,Williamson,Illinois,1668,57,US
2020-10-18,Williamson,Illinois,1696,57,US
2020-10-19,Williamson,Illinois,1709,58,US
2020-10-20,Williamson,Illinois,1737,58,US
2020-10-21,Williamson,Illinois,1761,59,US
2020-10-22,Williamson,Illinois,1800,59,US
2020-10-23,Williamson,Illinois,1832,59,US
2020-10-24,Williamson,Illinois,1857,59,US
2020-10-25,Williamson,Illinois,1883,59,US
2020-10-26,Williamson,Illinois,1888,59,US
2020-10-27,Williamson,Illinois,1905,61,US
2020-10-28,Williamson,Illinois,1938,61,US
2020-10-29,Williamson,Illinois,1979,61,US
2020-10-30,Williamson,Illinois,2016,61,US
2020-10-31,Williamson,Illinois,2040,61,US
2020-11-01,Williamson,Illinois,2062,61,US
2020-11-02,Williamson,Illinois,2085,61,US
2020-11-03,Williamson,Illinois,2153,63,US
2020-11-04,Williamson,Illinois,2180,64,US
2020-11-05,Williamson,Illinois,2226,65,US
2020-11-06,Williamson,Illinois,2295,65,US
2020-11-07,Williamson,Illinois,2353,65,US
2020-11-08,Williamson,Illinois,2405,65,US
2020-11-09,Williamson,Illinois,2452,65,US
2020-11-10,Williamson,Illinois,2545,66,US
2020-11-11,Williamson,Illinois,2594,67,US
2020-11-12,Williamson,Illinois,2668,67,US
2020-11-13,Williamson,Illinois,2748,68,US
2020-11-14,Williamson,Illinois,2813,69,US
2020-11-15,Williamson,Illinois,2829,70,US
2020-11-16,Williamson,Illinois,2862,70,US
2020-11-17,Williamson,Illinois,2919,72,US
2020-11-18,Williamson,Illinois,2980,73,US
2020-11-19,Williamson,Illinois,3063,74,US
2020-11-20,Williamson,Illinois,3127,74,US
2020-11-21,Williamson,Illinois,3176,74,US
2020-11-22,Williamson,Illinois,3218,74,US
2020-11-23,Williamson,Illinois,3284,74,US
2020-11-24,Williamson,Illinois,3327,74,US
2020-11-25,Williamson,Illinois,3407,76,US
2020-11-26,Williamson,Illinois,3491,76,US
2020-11-27,Williamson,Illinois,3510,76,US
2020-11-28,Williamson,Illinois,3557,77,US
2020-11-29,Williamson,Illinois,3610,77,US
2020-11-30,Williamson,Illinois,3659,77,US
2020-12-01,Williamson,Illinois,3717,77,US
2020-12-02,Williamson,Illinois,3785,77,US
2020-12-03,Williamson,Illinois,3859,82,US
2020-12-04,Williamson,Illinois,3936,82,US
2020-12-05,Williamson,Illinois,3979,84,US
2020-12-06,Williamson,Illinois,4012,84,US
2020-12-07,Williamson,Illinois,4060,84,US
2020-12-08,Williamson,Illinois,4107,86,US
2020-12-09,Williamson,Illinois,4169,87,US
2020-12-10,Williamson,Illinois,4230,89,US
2020-12-11,Williamson,Illinois,4311,90,US
2020-12-12,Williamson,Illinois,4373,92,US
2020-12-13,Williamson,Illinois,4404,93,US
2020-12-14,Williamson,Illinois,4442,93,US
2020-12-15,Williamson,Illinois,4483,93,US
2020-12-16,Williamson,Illinois,4548,94,US
2020-12-17,Williamson,Illinois,4627,96,US
2020-12-18,Williamson,Illinois,4679,97,US
2020-12-19,Williamson,Illinois,4722,97,US
2020-12-20,Williamson,Illinois,4743,97,US
2020-12-21,Williamson,Illinois,4789,97,US
2020-12-22,Williamson,Illinois,4834,97,US
2020-12-23,Williamson,Illinois,4888,99,US
2020-12-24,Williamson,Illinois,4926,98,US
2020-12-25,Williamson,Illinois,4986,98,US
2020-12-26,Williamson,Illinois,5001,98,US
2020-12-27,Williamson,Illinois,5038,98,US
2020-12-28,Williamson,Illinois,5090,98,US
2020-12-29,Williamson,Illinois,5132,98,US
2020-12-30,Williamson,Illinois,5234,98,US
2020-12-31,Williamson,Illinois,5316,98,US
2021-01-01,Williamson,Illinois,5316,98,US
2021-01-02,Williamson,Illinois,5407,98,US
2021-01-03,Williamson,Illinois,5467,98,US
2021-01-04,Williamson,Illinois,5519,99,US
2021-01-05,Williamson,Illinois,5582,99,US
2021-01-06,Williamson,Illinois,5659,100,US
2021-01-07,Williamson,Illinois,5725,101,US
2021-01-08,Williamson,Illinois,5784,102,US
2021-01-09,Williamson,Illinois,5861,102,US
2021-01-10,Williamson,Illinois,5887,102,US
2021-01-11,Williamson,Illinois,5925,102,US
2021-01-12,Williamson,Illinois,5963,103,US
2021-01-13,Williamson,Illinois,6008,104,US
2021-01-14,Williamson,Illinois,6056,104,US
2021-01-15,Williamson,Illinois,6102,105,US
2021-01-16,Williamson,Illinois,6119,106,US
2021-01-17,Williamson,Illinois,6146,107,US
2021-01-18,Williamson,Illinois,6166,107,US
2021-01-19,Williamson,Illinois,6196,107,US
2021-01-20,Williamson,Illinois,6220,107,US
2021-01-21,Williamson,Illinois,6247,107,US
2021-01-22,Williamson,Illinois,6293,107,US
2021-01-23,Williamson,Illinois,6327,108,US
2021-01-24,Williamson,Illinois,6358,108,US
2021-01-25,Williamson,Illinois,6373,108,US
2021-01-26,Williamson,Illinois,6396,108,US
2021-01-27,Williamson,Illinois,6417,109,US
2021-01-28,Williamson,Illinois,6438,110,US
2021-01-29,Williamson,Illinois,6487,111,US
2021-01-30,Williamson,Illinois,6507,112,US
2021-01-31,Williamson,Illinois,6522,112,US
2021-02-01,Williamson,Illinois,6534,112,US
2021-02-02,Williamson,Illinois,6549,112,US
2021-02-03,Williamson,Illinois,6567,112,US
2021-02-04,Williamson,Illinois,6588,112,US
2021-02-05,Williamson,Illinois,6603,112,US
2021-02-06,Williamson,Illinois,6615,115,US
2021-02-07,Williamson,Illinois,6622,115,US
2021-02-08,Williamson,Illinois,6633,115,US
2021-02-09,Williamson,Illinois,6642,115,US
2021-02-10,Williamson,Illinois,6648,115,US
2021-02-11,Williamson,Illinois,6658,115,US
2021-02-12,Williamson,Illinois,6663,115,US
2021-02-13,Williamson,Illinois,6670,116,US
2021-02-14,Williamson,Illinois,6693,116,US
2021-02-15,Williamson,Illinois,6701,116,US
2021-02-16,Williamson,Illinois,6706,116,US
2021-02-17,Williamson,Illinois,6716,116,US
2021-02-18,Williamson,Illinois,6724,116,US
2021-02-19,Williamson,Illinois,6731,117,US
2021-02-20,Williamson,Illinois,6739,119,US
2021-02-21,Williamson,Illinois,6748,119,US
2021-02-22,Williamson,Illinois,6754,119,US
2021-02-23,Williamson,Illinois,6763,119,US
2021-02-24,Williamson,Illinois,6768,119,US
2021-02-25,Williamson,Illinois,6778,119,US
2021-02-26,Williamson,Illinois,6789,119,US
2021-02-27,Williamson,Illinois,6794,120,US
2021-02-28,Williamson,Illinois,6796,121,US
2021-03-01,Williamson,Illinois,6800,121,US
2021-03-02,Williamson,Illinois,6816,121,US
2021-03-03,Williamson,Illinois,6827,121,US
2021-03-04,Williamson,Illinois,6837,121,US
2021-03-05,Williamson,Illinois,6858,121,US
2021-03-06,Williamson,Illinois,6861,121,US
2021-03-07,Williamson,Illinois,6866,121,US
2021-03-08,Williamson,Illinois,6879,121,US
2021-03-09,Williamson,Illinois,6887,121,US
2021-03-10,Williamson,Illinois,6896,121,US
2021-03-11,Williamson,Illinois,6905,122,US
2021-03-12,Williamson,Illinois,6918,123,US
2021-03-13,Williamson,Illinois,6926,123,US
2021-03-14,Williamson,Illinois,6939,124,US
2021-03-15,Williamson,Illinois,6941,124,US
2021-03-16,Williamson,Illinois,6951,124,US
2021-03-17,Williamson,Illinois,6958,124,US
2021-03-18,Williamson,Illinois,6971,124,US
2021-03-19,Williamson,Illinois,6976,124,US
2021-03-20,Williamson,Illinois,6987,124,US
2021-03-21,Williamson,Illinois,6990,124,US
2021-03-22,Williamson,Illinois,6991,124,US
