Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Winchester,Virginia,0,0,US
2020-01-23,Winchester,Virginia,0,0,US
2020-01-24,Winchester,Virginia,0,0,US
2020-01-25,Winchester,Virginia,0,0,US
2020-01-26,Winchester,Virginia,0,0,US
2020-01-27,Winchester,Virginia,0,0,US
2020-01-28,Winchester,Virginia,0,0,US
2020-01-29,Winchester,Virginia,0,0,US
2020-01-30,Winchester,Virginia,0,0,US
2020-01-31,Winchester,Virginia,0,0,US
2020-02-01,Winchester,Virginia,0,0,US
2020-02-02,Winchester,Virginia,0,0,US
2020-02-03,Winchester,Virginia,0,0,US
2020-02-04,Winchester,Virginia,0,0,US
2020-02-05,Winchester,Virginia,0,0,US
2020-02-06,Winchester,Virginia,0,0,US
2020-02-07,Winchester,Virginia,0,0,US
2020-02-08,Winchester,Virginia,0,0,US
2020-02-09,Winchester,Virginia,0,0,US
2020-02-10,Winchester,Virginia,0,0,US
2020-02-11,Winchester,Virginia,0,0,US
2020-02-12,Winchester,Virginia,0,0,US
2020-02-13,Winchester,Virginia,0,0,US
2020-02-14,Winchester,Virginia,0,0,US
2020-02-15,Winchester,Virginia,0,0,US
2020-02-16,Winchester,Virginia,0,0,US
2020-02-17,Winchester,Virginia,0,0,US
2020-02-18,Winchester,Virginia,0,0,US
2020-02-19,Winchester,Virginia,0,0,US
2020-02-20,Winchester,Virginia,0,0,US
2020-02-21,Winchester,Virginia,0,0,US
2020-02-22,Winchester,Virginia,0,0,US
2020-02-23,Winchester,Virginia,0,0,US
2020-02-24,Winchester,Virginia,0,0,US
2020-02-25,Winchester,Virginia,0,0,US
2020-02-26,Winchester,Virginia,0,0,US
2020-02-27,Winchester,Virginia,0,0,US
2020-02-28,Winchester,Virginia,0,0,US
2020-02-29,Winchester,Virginia,0,0,US
2020-03-01,Winchester,Virginia,0,0,US
2020-03-02,Winchester,Virginia,0,0,US
2020-03-03,Winchester,Virginia,0,0,US
2020-03-04,Winchester,Virginia,0,0,US
2020-03-05,Winchester,Virginia,0,0,US
2020-03-06,Winchester,Virginia,0,0,US
2020-03-07,Winchester,Virginia,0,0,US
2020-03-08,Winchester,Virginia,0,0,US
2020-03-09,Winchester,Virginia,0,0,US
2020-03-10,Winchester,Virginia,0,0,US
2020-03-11,Winchester,Virginia,0,0,US
2020-03-12,Winchester,Virginia,0,0,US
2020-03-13,Winchester,Virginia,0,0,US
2020-03-14,Winchester,Virginia,0,0,US
2020-03-15,Winchester,Virginia,0,0,US
2020-03-16,Winchester,Virginia,0,0,US
2020-03-17,Winchester,Virginia,0,0,US
2020-03-18,Winchester,Virginia,0,0,US
2020-03-19,Winchester,Virginia,0,0,US
2020-03-20,Winchester,Virginia,0,0,US
2020-03-21,Winchester,Virginia,0,0,US
2020-03-22,Winchester,Virginia,0,0,US
2020-03-23,Winchester,Virginia,0,0,US
2020-03-24,Winchester,Virginia,0,0,US
2020-03-25,Winchester,Virginia,0,0,US
2020-03-26,Winchester,Virginia,0,0,US
2020-03-27,Winchester,Virginia,0,0,US
2020-03-28,Winchester,Virginia,0,0,US
2020-03-29,Winchester,Virginia,1,0,US
2020-03-30,Winchester,Virginia,3,0,US
2020-03-31,Winchester,Virginia,3,0,US
2020-04-01,Winchester,Virginia,5,0,US
2020-04-02,Winchester,Virginia,5,0,US
2020-04-03,Winchester,Virginia,9,0,US
2020-04-04,Winchester,Virginia,10,0,US
2020-04-05,Winchester,Virginia,11,0,US
2020-04-06,Winchester,Virginia,13,0,US
2020-04-07,Winchester,Virginia,14,0,US
2020-04-08,Winchester,Virginia,15,0,US
2020-04-09,Winchester,Virginia,16,0,US
2020-04-10,Winchester,Virginia,16,0,US
2020-04-11,Winchester,Virginia,19,0,US
2020-04-12,Winchester,Virginia,19,0,US
2020-04-13,Winchester,Virginia,20,0,US
2020-04-14,Winchester,Virginia,20,0,US
2020-04-15,Winchester,Virginia,21,0,US
2020-04-16,Winchester,Virginia,21,0,US
2020-04-17,Winchester,Virginia,22,0,US
