Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Wood,Ohio,0,0,US
2020-01-23,Wood,Ohio,0,0,US
2020-01-24,Wood,Ohio,0,0,US
2020-01-25,Wood,Ohio,0,0,US
2020-01-26,Wood,Ohio,0,0,US
2020-01-27,Wood,Ohio,0,0,US
2020-01-28,Wood,Ohio,0,0,US
2020-01-29,Wood,Ohio,0,0,US
2020-01-30,Wood,Ohio,0,0,US
2020-01-31,Wood,Ohio,0,0,US
2020-02-01,Wood,Ohio,0,0,US
2020-02-02,Wood,Ohio,0,0,US
2020-02-03,Wood,Ohio,0,0,US
2020-02-04,Wood,Ohio,0,0,US
2020-02-05,Wood,Ohio,0,0,US
2020-02-06,Wood,Ohio,0,0,US
2020-02-07,Wood,Ohio,0,0,US
2020-02-08,Wood,Ohio,0,0,US
2020-02-09,Wood,Ohio,0,0,US
2020-02-10,Wood,Ohio,0,0,US
2020-02-11,Wood,Ohio,0,0,US
2020-02-12,Wood,Ohio,0,0,US
2020-02-13,Wood,Ohio,0,0,US
2020-02-14,Wood,Ohio,0,0,US
2020-02-15,Wood,Ohio,0,0,US
2020-02-16,Wood,Ohio,0,0,US
2020-02-17,Wood,Ohio,0,0,US
2020-02-18,Wood,Ohio,0,0,US
2020-02-19,Wood,Ohio,0,0,US
2020-02-20,Wood,Ohio,0,0,US
2020-02-21,Wood,Ohio,0,0,US
2020-02-22,Wood,Ohio,0,0,US
2020-02-23,Wood,Ohio,0,0,US
2020-02-24,Wood,Ohio,0,0,US
2020-02-25,Wood,Ohio,0,0,US
2020-02-26,Wood,Ohio,0,0,US
2020-02-27,Wood,Ohio,0,0,US
2020-02-28,Wood,Ohio,0,0,US
2020-02-29,Wood,Ohio,0,0,US
2020-03-01,Wood,Ohio,0,0,US
2020-03-02,Wood,Ohio,0,0,US
2020-03-03,Wood,Ohio,0,0,US
2020-03-04,Wood,Ohio,0,0,US
2020-03-05,Wood,Ohio,0,0,US
2020-03-06,Wood,Ohio,0,0,US
2020-03-07,Wood,Ohio,0,0,US
2020-03-08,Wood,Ohio,0,0,US
2020-03-09,Wood,Ohio,0,0,US
2020-03-10,Wood,Ohio,0,0,US
2020-03-11,Wood,Ohio,0,0,US
2020-03-12,Wood,Ohio,0,0,US
2020-03-13,Wood,Ohio,0,0,US
2020-03-14,Wood,Ohio,0,0,US
2020-03-15,Wood,Ohio,0,0,US
2020-03-16,Wood,Ohio,0,0,US
2020-03-17,Wood,Ohio,0,0,US
2020-03-18,Wood,Ohio,0,0,US
2020-03-19,Wood,Ohio,0,0,US
2020-03-20,Wood,Ohio,0,0,US
2020-03-21,Wood,Ohio,0,0,US
2020-03-22,Wood,Ohio,1,0,US
2020-03-23,Wood,Ohio,2,0,US
2020-03-24,Wood,Ohio,2,0,US
2020-03-25,Wood,Ohio,3,0,US
2020-03-26,Wood,Ohio,6,0,US
2020-03-27,Wood,Ohio,8,0,US
2020-03-28,Wood,Ohio,10,0,US
2020-03-29,Wood,Ohio,12,0,US
2020-03-30,Wood,Ohio,13,0,US
2020-03-31,Wood,Ohio,15,0,US
2020-04-01,Wood,Ohio,15,0,US
2020-04-02,Wood,Ohio,18,0,US
2020-04-03,Wood,Ohio,20,0,US
2020-04-04,Wood,Ohio,23,0,US
2020-04-05,Wood,Ohio,29,0,US
2020-04-06,Wood,Ohio,34,0,US
2020-04-07,Wood,Ohio,38,2,US
2020-04-08,Wood,Ohio,41,3,US
2020-04-09,Wood,Ohio,42,3,US
2020-04-10,Wood,Ohio,49,3,US
2020-04-11,Wood,Ohio,52,3,US
2020-04-12,Wood,Ohio,54,5,US
2020-04-13,Wood,Ohio,54,6,US
2020-04-14,Wood,Ohio,61,6,US
2020-04-15,Wood,Ohio,64,6,US
2020-04-16,Wood,Ohio,67,7,US
2020-04-17,Wood,Ohio,73,8,US
2020-04-18,Wood,Ohio,80,8,US
2020-04-19,Wood,Ohio,84,8,US
2020-04-20,Wood,Ohio,84,10,US
2020-04-21,Wood,Ohio,92,10,US
2020-04-22,Wood,Ohio,98,10,US
2020-04-23,Wood,Ohio,105,11,US
2020-04-24,Wood,Ohio,122,14,US
2020-04-25,Wood,Ohio,132,15,US
2020-04-26,Wood,Ohio,133,15,US
2020-04-27,Wood,Ohio,139,16,US
2020-04-28,Wood,Ohio,145,18,US
2020-04-29,Wood,Ohio,154,19,US
2020-04-30,Wood,Ohio,164,20,US
2020-05-01,Wood,Ohio,174,22,US
2020-05-02,Wood,Ohio,183,23,US
2020-05-03,Wood,Ohio,187,23,US
2020-05-04,Wood,Ohio,193,23,US
