Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Wood,Wisconsin,0,0,US
2020-01-23,Wood,Wisconsin,0,0,US
2020-01-24,Wood,Wisconsin,0,0,US
2020-01-25,Wood,Wisconsin,0,0,US
2020-01-26,Wood,Wisconsin,0,0,US
2020-01-27,Wood,Wisconsin,0,0,US
2020-01-28,Wood,Wisconsin,0,0,US
2020-01-29,Wood,Wisconsin,0,0,US
2020-01-30,Wood,Wisconsin,0,0,US
2020-01-31,Wood,Wisconsin,0,0,US
2020-02-01,Wood,Wisconsin,0,0,US
2020-02-02,Wood,Wisconsin,0,0,US
2020-02-03,Wood,Wisconsin,0,0,US
2020-02-04,Wood,Wisconsin,0,0,US
2020-02-05,Wood,Wisconsin,0,0,US
2020-02-06,Wood,Wisconsin,0,0,US
2020-02-07,Wood,Wisconsin,0,0,US
2020-02-08,Wood,Wisconsin,0,0,US
2020-02-09,Wood,Wisconsin,0,0,US
2020-02-10,Wood,Wisconsin,0,0,US
2020-02-11,Wood,Wisconsin,0,0,US
2020-02-12,Wood,Wisconsin,0,0,US
2020-02-13,Wood,Wisconsin,0,0,US
2020-02-14,Wood,Wisconsin,0,0,US
2020-02-15,Wood,Wisconsin,0,0,US
2020-02-16,Wood,Wisconsin,0,0,US
2020-02-17,Wood,Wisconsin,0,0,US
2020-02-18,Wood,Wisconsin,0,0,US
2020-02-19,Wood,Wisconsin,0,0,US
2020-02-20,Wood,Wisconsin,0,0,US
2020-02-21,Wood,Wisconsin,0,0,US
2020-02-22,Wood,Wisconsin,0,0,US
2020-02-23,Wood,Wisconsin,0,0,US
2020-02-24,Wood,Wisconsin,0,0,US
2020-02-25,Wood,Wisconsin,0,0,US
2020-02-26,Wood,Wisconsin,0,0,US
2020-02-27,Wood,Wisconsin,0,0,US
2020-02-28,Wood,Wisconsin,0,0,US
2020-02-29,Wood,Wisconsin,0,0,US
2020-03-01,Wood,Wisconsin,0,0,US
2020-03-02,Wood,Wisconsin,0,0,US
2020-03-03,Wood,Wisconsin,0,0,US
2020-03-04,Wood,Wisconsin,0,0,US
2020-03-05,Wood,Wisconsin,0,0,US
2020-03-06,Wood,Wisconsin,0,0,US
2020-03-07,Wood,Wisconsin,0,0,US
2020-03-08,Wood,Wisconsin,0,0,US
2020-03-09,Wood,Wisconsin,0,0,US
2020-03-10,Wood,Wisconsin,0,0,US
2020-03-11,Wood,Wisconsin,0,0,US
2020-03-12,Wood,Wisconsin,0,0,US
2020-03-13,Wood,Wisconsin,0,0,US
2020-03-14,Wood,Wisconsin,0,0,US
2020-03-15,Wood,Wisconsin,0,0,US
2020-03-16,Wood,Wisconsin,1,0,US
2020-03-17,Wood,Wisconsin,1,0,US
2020-03-18,Wood,Wisconsin,1,0,US
2020-03-19,Wood,Wisconsin,1,0,US
2020-03-20,Wood,Wisconsin,1,0,US
2020-03-21,Wood,Wisconsin,1,0,US
2020-03-22,Wood,Wisconsin,1,0,US
2020-03-23,Wood,Wisconsin,1,0,US
2020-03-24,Wood,Wisconsin,1,0,US
2020-03-25,Wood,Wisconsin,1,0,US
2020-03-26,Wood,Wisconsin,1,0,US
2020-03-27,Wood,Wisconsin,2,0,US
2020-03-28,Wood,Wisconsin,2,0,US
2020-03-29,Wood,Wisconsin,2,0,US
2020-03-30,Wood,Wisconsin,2,0,US
2020-03-31,Wood,Wisconsin,2,0,US
2020-04-01,Wood,Wisconsin,2,0,US
2020-04-02,Wood,Wisconsin,2,0,US
2020-04-03,Wood,Wisconsin,2,0,US
2020-04-04,Wood,Wisconsin,2,0,US
2020-04-05,Wood,Wisconsin,2,0,US
2020-04-06,Wood,Wisconsin,2,0,US
2020-04-07,Wood,Wisconsin,2,0,US
2020-04-08,Wood,Wisconsin,2,0,US
2020-04-09,Wood,Wisconsin,2,0,US
2020-04-10,Wood,Wisconsin,2,0,US
2020-04-11,Wood,Wisconsin,2,0,US
2020-04-12,Wood,Wisconsin,2,0,US
2020-04-13,Wood,Wisconsin,2,0,US
2020-04-14,Wood,Wisconsin,2,0,US
2020-04-15,Wood,Wisconsin,2,0,US
2020-04-16,Wood,Wisconsin,2,0,US
2020-04-17,Wood,Wisconsin,2,0,US
2020-04-18,Wood,Wisconsin,2,0,US
2020-04-19,Wood,Wisconsin,2,0,US
2020-04-20,Wood,Wisconsin,2,0,US
2020-04-21,Wood,Wisconsin,2,0,US
2020-04-22,Wood,Wisconsin,2,0,US
2020-04-23,Wood,Wisconsin,2,0,US
2020-04-24,Wood,Wisconsin,2,0,US
2020-04-25,Wood,Wisconsin,2,0,US
2020-04-26,Wood,Wisconsin,2,0,US
2020-04-27,Wood,Wisconsin,2,0,US
2020-04-28,Wood,Wisconsin,2,0,US
2020-04-29,Wood,Wisconsin,2,0,US
2020-04-30,Wood,Wisconsin,2,0,US
2020-05-01,Wood,Wisconsin,2,0,US
2020-05-02,Wood,Wisconsin,2,0,US
2020-05-03,Wood,Wisconsin,2,0,US
2020-05-04,Wood,Wisconsin,2,0,US
2020-05-05,Wood,Wisconsin,2,0,US
2020-05-06,Wood,Wisconsin,2,0,US
2020-05-07,Wood,Wisconsin,2,0,US
2020-05-08,Wood,Wisconsin,2,0,US
2020-05-09,Wood,Wisconsin,2,0,US
2020-05-10,Wood,Wisconsin,2,0,US
