Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Wright,Minnesota,0,0,US
2020-01-23,Wright,Minnesota,0,0,US
2020-01-24,Wright,Minnesota,0,0,US
2020-01-25,Wright,Minnesota,0,0,US
2020-01-26,Wright,Minnesota,0,0,US
2020-01-27,Wright,Minnesota,0,0,US
2020-01-28,Wright,Minnesota,0,0,US
2020-01-29,Wright,Minnesota,0,0,US
2020-01-30,Wright,Minnesota,0,0,US
2020-01-31,Wright,Minnesota,0,0,US
2020-02-01,Wright,Minnesota,0,0,US
2020-02-02,Wright,Minnesota,0,0,US
2020-02-03,Wright,Minnesota,0,0,US
2020-02-04,Wright,Minnesota,0,0,US
2020-02-05,Wright,Minnesota,0,0,US
2020-02-06,Wright,Minnesota,0,0,US
2020-02-07,Wright,Minnesota,0,0,US
2020-02-08,Wright,Minnesota,0,0,US
2020-02-09,Wright,Minnesota,0,0,US
2020-02-10,Wright,Minnesota,0,0,US
2020-02-11,Wright,Minnesota,0,0,US
2020-02-12,Wright,Minnesota,0,0,US
2020-02-13,Wright,Minnesota,0,0,US
2020-02-14,Wright,Minnesota,0,0,US
2020-02-15,Wright,Minnesota,0,0,US
2020-02-16,Wright,Minnesota,0,0,US
2020-02-17,Wright,Minnesota,0,0,US
2020-02-18,Wright,Minnesota,0,0,US
2020-02-19,Wright,Minnesota,0,0,US
2020-02-20,Wright,Minnesota,0,0,US
2020-02-21,Wright,Minnesota,0,0,US
2020-02-22,Wright,Minnesota,0,0,US
2020-02-23,Wright,Minnesota,0,0,US
2020-02-24,Wright,Minnesota,0,0,US
2020-02-25,Wright,Minnesota,0,0,US
2020-02-26,Wright,Minnesota,0,0,US
2020-02-27,Wright,Minnesota,0,0,US
2020-02-28,Wright,Minnesota,0,0,US
2020-02-29,Wright,Minnesota,0,0,US
2020-03-01,Wright,Minnesota,0,0,US
2020-03-02,Wright,Minnesota,0,0,US
2020-03-03,Wright,Minnesota,0,0,US
2020-03-04,Wright,Minnesota,0,0,US
2020-03-05,Wright,Minnesota,0,0,US
2020-03-06,Wright,Minnesota,0,0,US
2020-03-07,Wright,Minnesota,0,0,US
2020-03-08,Wright,Minnesota,0,0,US
2020-03-09,Wright,Minnesota,0,0,US
2020-03-10,Wright,Minnesota,0,0,US
2020-03-11,Wright,Minnesota,0,0,US
2020-03-12,Wright,Minnesota,0,0,US
2020-03-13,Wright,Minnesota,1,0,US
2020-03-14,Wright,Minnesota,1,0,US
2020-03-15,Wright,Minnesota,1,0,US
2020-03-16,Wright,Minnesota,1,0,US
2020-03-17,Wright,Minnesota,1,0,US
2020-03-18,Wright,Minnesota,2,0,US
2020-03-19,Wright,Minnesota,2,0,US
2020-03-20,Wright,Minnesota,2,0,US
2020-03-21,Wright,Minnesota,3,0,US
2020-03-22,Wright,Minnesota,3,0,US
2020-03-23,Wright,Minnesota,3,0,US
2020-03-24,Wright,Minnesota,3,0,US
2020-03-25,Wright,Minnesota,3,0,US
2020-03-26,Wright,Minnesota,5,0,US
2020-03-27,Wright,Minnesota,5,0,US
2020-03-28,Wright,Minnesota,5,0,US
2020-03-29,Wright,Minnesota,6,0,US
2020-03-30,Wright,Minnesota,6,0,US
2020-03-31,Wright,Minnesota,6,0,US
2020-04-01,Wright,Minnesota,6,0,US
2020-04-02,Wright,Minnesota,7,0,US
2020-04-03,Wright,Minnesota,7,0,US
2020-04-04,Wright,Minnesota,8,0,US
2020-04-05,Wright,Minnesota,9,0,US
2020-04-06,Wright,Minnesota,9,0,US
2020-04-07,Wright,Minnesota,12,0,US
2020-04-08,Wright,Minnesota,12,0,US
2020-04-09,Wright,Minnesota,12,0,US
2020-04-10,Wright,Minnesota,14,0,US
2020-04-11,Wright,Minnesota,16,1,US
2020-04-12,Wright,Minnesota,17,1,US
2020-04-13,Wright,Minnesota,17,1,US
2020-04-14,Wright,Minnesota,19,1,US
2020-04-15,Wright,Minnesota,21,1,US
2020-04-16,Wright,Minnesota,21,1,US
2020-04-17,Wright,Minnesota,23,1,US
