Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,York,Virginia,0,0,US
2020-01-23,York,Virginia,0,0,US
2020-01-24,York,Virginia,0,0,US
2020-01-25,York,Virginia,0,0,US
2020-01-26,York,Virginia,0,0,US
2020-01-27,York,Virginia,0,0,US
2020-01-28,York,Virginia,0,0,US
2020-01-29,York,Virginia,0,0,US
2020-01-30,York,Virginia,0,0,US
2020-01-31,York,Virginia,0,0,US
2020-02-01,York,Virginia,0,0,US
2020-02-02,York,Virginia,0,0,US
2020-02-03,York,Virginia,0,0,US
2020-02-04,York,Virginia,0,0,US
2020-02-05,York,Virginia,0,0,US
2020-02-06,York,Virginia,0,0,US
2020-02-07,York,Virginia,0,0,US
2020-02-08,York,Virginia,0,0,US
2020-02-09,York,Virginia,0,0,US
2020-02-10,York,Virginia,0,0,US
2020-02-11,York,Virginia,0,0,US
2020-02-12,York,Virginia,0,0,US
2020-02-13,York,Virginia,0,0,US
2020-02-14,York,Virginia,0,0,US
2020-02-15,York,Virginia,0,0,US
2020-02-16,York,Virginia,0,0,US
2020-02-17,York,Virginia,0,0,US
2020-02-18,York,Virginia,0,0,US
2020-02-19,York,Virginia,0,0,US
2020-02-20,York,Virginia,0,0,US
2020-02-21,York,Virginia,0,0,US
2020-02-22,York,Virginia,0,0,US
2020-02-23,York,Virginia,0,0,US
2020-02-24,York,Virginia,0,0,US
2020-02-25,York,Virginia,0,0,US
2020-02-26,York,Virginia,0,0,US
2020-02-27,York,Virginia,0,0,US
2020-02-28,York,Virginia,0,0,US
2020-02-29,York,Virginia,0,0,US
2020-03-01,York,Virginia,0,0,US
2020-03-02,York,Virginia,0,0,US
2020-03-03,York,Virginia,0,0,US
2020-03-04,York,Virginia,0,0,US
2020-03-05,York,Virginia,0,0,US
2020-03-06,York,Virginia,0,0,US
2020-03-07,York,Virginia,0,0,US
2020-03-08,York,Virginia,0,0,US
2020-03-09,York,Virginia,0,0,US
2020-03-10,York,Virginia,0,0,US
2020-03-11,York,Virginia,0,0,US
2020-03-12,York,Virginia,0,0,US
2020-03-13,York,Virginia,0,0,US
2020-03-14,York,Virginia,0,0,US
2020-03-15,York,Virginia,0,0,US
2020-03-16,York,Virginia,0,1,US
2020-03-17,York,Virginia,1,1,US
2020-03-18,York,Virginia,1,1,US
2020-03-19,York,Virginia,1,1,US
2020-03-20,York,Virginia,3,1,US
2020-03-21,York,Virginia,3,1,US
2020-03-22,York,Virginia,5,1,US
2020-03-23,York,Virginia,5,1,US
2020-03-24,York,Virginia,6,1,US
2020-03-25,York,Virginia,8,1,US
2020-03-26,York,Virginia,9,1,US
2020-03-27,York,Virginia,9,1,US
2020-03-28,York,Virginia,9,1,US
2020-03-29,York,Virginia,9,1,US
2020-03-30,York,Virginia,11,1,US
2020-03-31,York,Virginia,14,1,US
2020-04-01,York,Virginia,16,1,US
2020-04-02,York,Virginia,17,1,US
2020-04-03,York,Virginia,17,1,US
2020-04-04,York,Virginia,19,1,US
2020-04-05,York,Virginia,20,1,US
2020-04-06,York,Virginia,21,1,US
2020-04-07,York,Virginia,25,1,US
2020-04-08,York,Virginia,25,1,US
2020-04-09,York,Virginia,25,1,US
2020-04-10,York,Virginia,25,1,US
2020-04-11,York,Virginia,27,1,US
2020-04-12,York,Virginia,29,1,US
2020-04-13,York,Virginia,33,1,US
2020-04-14,York,Virginia,35,1,US
2020-04-15,York,Virginia,35,1,US
2020-04-16,York,Virginia,37,1,US
2020-04-17,York,Virginia,38,1,US
2020-04-18,York,Virginia,38,1,US
2020-04-19,York,Virginia,44,1,US
2020-04-20,York,Virginia,44,1,US
2020-04-21,York,Virginia,43,1,US
2020-04-22,York,Virginia,43,1,US
2020-04-23,York,Virginia,43,1,US
2020-04-24,York,Virginia,43,1,US
2020-04-25,York,Virginia,44,1,US
2020-04-26,York,Virginia,44,1,US
2020-04-27,York,Virginia,44,1,US
2020-04-28,York,Virginia,45,1,US
2020-04-29,York,Virginia,45,1,US
2020-04-30,York,Virginia,46,1,US
2020-05-01,York,Virginia,46,1,US
2020-05-02,York,Virginia,46,1,US
2020-05-03,York,Virginia,47,1,US
2020-05-04,York,Virginia,47,1,US
2020-05-05,York,Virginia,48,1,US
2020-05-06,York,Virginia,50,1,US
2020-05-07,York,Virginia,51,1,US
2020-05-08,York,Virginia,55,2,US
2020-05-09,York,Virginia,55,2,US
2020-05-10,York,Virginia,56,2,US
2020-05-11,York,Virginia,57,2,US
2020-05-12,York,Virginia,59,2,US
2020-05-13,York,Virginia,60,2,US
2020-05-14,York,Virginia,61,2,US
2020-05-15,York,Virginia,62,3,US
2020-05-16,York,Virginia,62,3,US
2020-05-17,York,Virginia,62,3,US
2020-05-18,York,Virginia,63,3,US
2020-05-19,York,Virginia,63,3,US
2020-05-20,York,Virginia,63,3,US
2020-05-21,York,Virginia,65,3,US
2020-05-22,York,Virginia,67,3,US
2020-05-23,York,Virginia,67,3,US
2020-05-24,York,Virginia,68,3,US
2020-05-25,York,Virginia,69,3,US
2020-05-26,York,Virginia,71,3,US
2020-05-27,York,Virginia,71,3,US
2020-05-28,York,Virginia,72,3,US
2020-05-29,York,Virginia,72,3,US
2020-05-30,York,Virginia,72,3,US
2020-05-31,York,Virginia,74,3,US
2020-06-01,York,Virginia,77,3,US
2020-06-02,York,Virginia,77,3,US
2020-06-03,York,Virginia,77,3,US
2020-06-04,York,Virginia,77,3,US
2020-06-05,York,Virginia,79,3,US
2020-06-06,York,Virginia,82,3,US
2020-06-07,York,Virginia,86,3,US
2020-06-08,York,Virginia,86,3,US
2020-06-09,York,Virginia,86,3,US
2020-06-10,York,Virginia,86,3,US
2020-06-11,York,Virginia,89,3,US
2020-06-12,York,Virginia,90,3,US
2020-06-13,York,Virginia,91,3,US
2020-06-14,York,Virginia,93,3,US
2020-06-15,York,Virginia,93,3,US
2020-06-16,York,Virginia,94,3,US
2020-06-17,York,Virginia,94,3,US
2020-06-18,York,Virginia,94,3,US
2020-06-19,York,Virginia,97,3,US
2020-06-20,York,Virginia,98,3,US
2020-06-21,York,Virginia,99,3,US
2020-06-22,York,Virginia,101,3,US
2020-06-23,York,Virginia,106,3,US
2020-06-24,York,Virginia,106,3,US
2020-06-25,York,Virginia,106,3,US
2020-06-26,York,Virginia,108,3,US
2020-06-27,York,Virginia,110,3,US
2020-06-28,York,Virginia,114,3,US
2020-06-29,York,Virginia,115,3,US
2020-06-30,York,Virginia,115,3,US
2020-07-01,York,Virginia,115,3,US
2020-07-02,York,Virginia,116,3,US
2020-07-03,York,Virginia,120,3,US
2020-07-04,York,Virginia,124,3,US
2020-07-05,York,Virginia,129,3,US
2020-07-06,York,Virginia,131,3,US
2020-07-07,York,Virginia,131,3,US
2020-07-08,York,Virginia,135,3,US
2020-07-09,York,Virginia,140,3,US
2020-07-10,York,Virginia,144,3,US
2020-07-11,York,Virginia,149,3,US
2020-07-12,York,Virginia,160,3,US
2020-07-13,York,Virginia,168,3,US
2020-07-14,York,Virginia,176,3,US
2020-07-15,York,Virginia,180,3,US
2020-07-16,York,Virginia,181,3,US
2020-07-17,York,Virginia,191,3,US
2020-07-18,York,Virginia,200,3,US
2020-07-19,York,Virginia,216,3,US
2020-07-20,York,Virginia,226,3,US
2020-07-21,York,Virginia,234,3,US
2020-07-22,York,Virginia,237,3,US
2020-07-23,York,Virginia,243,3,US
2020-07-24,York,Virginia,259,3,US
2020-07-25,York,Virginia,270,3,US
2020-07-26,York,Virginia,279,3,US
2020-07-27,York,Virginia,282,3,US
2020-07-28,York,Virginia,287,3,US
2020-07-29,York,Virginia,290,3,US
2020-07-30,York,Virginia,293,3,US
2020-07-31,York,Virginia,301,3,US
2020-08-01,York,Virginia,308,3,US
2020-08-02,York,Virginia,310,3,US
2020-08-03,York,Virginia,318,3,US
2020-08-04,York,Virginia,330,3,US
2020-08-05,York,Virginia,335,4,US
2020-08-06,York,Virginia,338,4,US
2020-08-07,York,Virginia,355,4,US
2020-08-08,York,Virginia,361,4,US
2020-08-09,York,Virginia,366,4,US
2020-08-10,York,Virginia,373,4,US
2020-08-11,York,Virginia,374,4,US
2020-08-12,York,Virginia,375,4,US
2020-08-13,York,Virginia,383,4,US
2020-08-14,York,Virginia,394,4,US
2020-08-15,York,Virginia,400,4,US
2020-08-16,York,Virginia,406,4,US
2020-08-17,York,Virginia,409,4,US
2020-08-18,York,Virginia,410,4,US
2020-08-19,York,Virginia,412,4,US
2020-08-20,York,Virginia,413,4,US
2020-08-21,York,Virginia,419,4,US
2020-08-22,York,Virginia,423,4,US
2020-08-23,York,Virginia,427,5,US
2020-08-24,York,Virginia,432,5,US
2020-08-25,York,Virginia,433,5,US
2020-08-26,York,Virginia,437,5,US
2020-08-27,York,Virginia,444,5,US
2020-08-28,York,Virginia,444,5,US
2020-08-29,York,Virginia,451,5,US
2020-08-30,York,Virginia,454,5,US
2020-08-31,York,Virginia,461,6,US
2020-09-01,York,Virginia,467,6,US
2020-09-02,York,Virginia,468,6,US
2020-09-03,York,Virginia,474,6,US
2020-09-04,York,Virginia,480,6,US
2020-09-05,York,Virginia,482,6,US
2020-09-06,York,Virginia,486,6,US
2020-09-07,York,Virginia,488,6,US
2020-09-08,York,Virginia,492,6,US
2020-09-09,York,Virginia,492,6,US
2020-09-10,York,Virginia,497,6,US
2020-09-11,York,Virginia,497,6,US
2020-09-12,York,Virginia,503,6,US
2020-09-13,York,Virginia,506,6,US
2020-09-14,York,Virginia,507,6,US
2020-09-15,York,Virginia,509,6,US
2020-09-16,York,Virginia,513,6,US
2020-09-17,York,Virginia,514,6,US
2020-09-18,York,Virginia,520,6,US
2020-09-19,York,Virginia,523,6,US
2020-09-20,York,Virginia,528,6,US
2020-09-21,York,Virginia,532,6,US
2020-09-22,York,Virginia,534,8,US
2020-09-23,York,Virginia,537,8,US
2020-09-24,York,Virginia,541,8,US
2020-09-25,York,Virginia,541,8,US
2020-09-26,York,Virginia,544,8,US
2020-09-27,York,Virginia,545,8,US
2020-09-28,York,Virginia,546,8,US
2020-09-29,York,Virginia,549,8,US
2020-09-30,York,Virginia,553,8,US
2020-10-01,York,Virginia,554,8,US
2020-10-02,York,Virginia,557,8,US
2020-10-03,York,Virginia,561,8,US
2020-10-04,York,Virginia,562,8,US
2020-10-05,York,Virginia,564,8,US
2020-10-06,York,Virginia,566,8,US
2020-10-07,York,Virginia,564,9,US
2020-10-08,York,Virginia,570,9,US
2020-10-09,York,Virginia,580,9,US
2020-10-10,York,Virginia,584,9,US
2020-10-11,York,Virginia,587,9,US
2020-10-12,York,Virginia,588,9,US
2020-10-13,York,Virginia,592,9,US
2020-10-14,York,Virginia,595,9,US
2020-10-15,York,Virginia,603,9,US
2020-10-16,York,Virginia,612,9,US
2020-10-17,York,Virginia,616,9,US
2020-10-18,York,Virginia,616,9,US
2020-10-19,York,Virginia,617,9,US
2020-10-20,York,Virginia,620,9,US
2020-10-21,York,Virginia,625,9,US
2020-10-22,York,Virginia,626,9,US
2020-10-23,York,Virginia,626,9,US
2020-10-24,York,Virginia,629,9,US
2020-10-25,York,Virginia,637,9,US
2020-10-26,York,Virginia,637,9,US
2020-10-27,York,Virginia,640,9,US
2020-10-28,York,Virginia,644,9,US
2020-10-29,York,Virginia,646,9,US
2020-10-30,York,Virginia,650,9,US
2020-10-31,York,Virginia,658,9,US
2020-11-01,York,Virginia,658,9,US
2020-11-02,York,Virginia,661,9,US
2020-11-03,York,Virginia,665,9,US
2020-11-04,York,Virginia,668,9,US
2020-11-05,York,Virginia,670,9,US
2020-11-06,York,Virginia,686,9,US
