Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Yuba,California,0,0,US
2020-01-23,Yuba,California,0,0,US
2020-01-24,Yuba,California,0,0,US
2020-01-25,Yuba,California,0,0,US
2020-01-26,Yuba,California,0,0,US
2020-01-27,Yuba,California,0,0,US
2020-01-28,Yuba,California,0,0,US
2020-01-29,Yuba,California,0,0,US
2020-01-30,Yuba,California,0,0,US
2020-01-31,Yuba,California,0,0,US
2020-02-01,Yuba,California,0,0,US
2020-02-02,Yuba,California,0,0,US
2020-02-03,Yuba,California,0,0,US
2020-02-04,Yuba,California,0,0,US
2020-02-05,Yuba,California,0,0,US
2020-02-06,Yuba,California,0,0,US
2020-02-07,Yuba,California,0,0,US
2020-02-08,Yuba,California,0,0,US
2020-02-09,Yuba,California,0,0,US
2020-02-10,Yuba,California,0,0,US
2020-02-11,Yuba,California,0,0,US
2020-02-12,Yuba,California,0,0,US
2020-02-13,Yuba,California,0,0,US
2020-02-14,Yuba,California,0,0,US
2020-02-15,Yuba,California,0,0,US
2020-02-16,Yuba,California,0,0,US
2020-02-17,Yuba,California,0,0,US
2020-02-18,Yuba,California,0,0,US
2020-02-19,Yuba,California,0,0,US
2020-02-20,Yuba,California,0,0,US
2020-02-21,Yuba,California,0,0,US
2020-02-22,Yuba,California,0,0,US
2020-02-23,Yuba,California,0,0,US
2020-02-24,Yuba,California,0,0,US
2020-02-25,Yuba,California,0,0,US
2020-02-26,Yuba,California,0,0,US
2020-02-27,Yuba,California,0,0,US
2020-02-28,Yuba,California,0,0,US
2020-02-29,Yuba,California,0,0,US
2020-03-01,Yuba,California,0,0,US
2020-03-02,Yuba,California,0,0,US
2020-03-03,Yuba,California,0,0,US
2020-03-04,Yuba,California,0,0,US
2020-03-05,Yuba,California,0,0,US
2020-03-06,Yuba,California,0,0,US
2020-03-07,Yuba,California,0,0,US
2020-03-08,Yuba,California,0,0,US
2020-03-09,Yuba,California,0,0,US
2020-03-10,Yuba,California,0,0,US
2020-03-11,Yuba,California,0,0,US
2020-03-12,Yuba,California,0,0,US
2020-03-13,Yuba,California,0,0,US
2020-03-14,Yuba,California,0,0,US
2020-03-15,Yuba,California,0,0,US
2020-03-16,Yuba,California,0,0,US
2020-03-17,Yuba,California,0,0,US
2020-03-18,Yuba,California,0,0,US
2020-03-19,Yuba,California,0,0,US
2020-03-20,Yuba,California,0,0,US
2020-03-21,Yuba,California,1,0,US
2020-03-22,Yuba,California,2,0,US
2020-03-23,Yuba,California,2,0,US
2020-03-24,Yuba,California,2,0,US
2020-03-25,Yuba,California,2,0,US
2020-03-26,Yuba,California,3,0,US
2020-03-27,Yuba,California,3,0,US
2020-03-28,Yuba,California,6,0,US
2020-03-29,Yuba,California,3,0,US
2020-03-30,Yuba,California,5,0,US
2020-03-31,Yuba,California,5,0,US
2020-04-01,Yuba,California,5,0,US
2020-04-02,Yuba,California,5,0,US
2020-04-03,Yuba,California,6,0,US
2020-04-04,Yuba,California,7,0,US
2020-04-05,Yuba,California,7,0,US
