Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Yuma,Colorado,0,0,US
2020-01-23,Yuma,Colorado,0,0,US
2020-01-24,Yuma,Colorado,0,0,US
2020-01-25,Yuma,Colorado,0,0,US
2020-01-26,Yuma,Colorado,0,0,US
2020-01-27,Yuma,Colorado,0,0,US
2020-01-28,Yuma,Colorado,0,0,US
2020-01-29,Yuma,Colorado,0,0,US
2020-01-30,Yuma,Colorado,0,0,US
2020-01-31,Yuma,Colorado,0,0,US
2020-02-01,Yuma,Colorado,0,0,US
2020-02-02,Yuma,Colorado,0,0,US
2020-02-03,Yuma,Colorado,0,0,US
2020-02-04,Yuma,Colorado,0,0,US
2020-02-05,Yuma,Colorado,0,0,US
2020-02-06,Yuma,Colorado,0,0,US
2020-02-07,Yuma,Colorado,0,0,US
2020-02-08,Yuma,Colorado,0,0,US
2020-02-09,Yuma,Colorado,0,0,US
2020-02-10,Yuma,Colorado,0,0,US
2020-02-11,Yuma,Colorado,0,0,US
2020-02-12,Yuma,Colorado,0,0,US
2020-02-13,Yuma,Colorado,0,0,US
2020-02-14,Yuma,Colorado,0,0,US
2020-02-15,Yuma,Colorado,0,0,US
2020-02-16,Yuma,Colorado,0,0,US
2020-02-17,Yuma,Colorado,0,0,US
2020-02-18,Yuma,Colorado,0,0,US
2020-02-19,Yuma,Colorado,0,0,US
2020-02-20,Yuma,Colorado,0,0,US
2020-02-21,Yuma,Colorado,0,0,US
2020-02-22,Yuma,Colorado,0,0,US
2020-02-23,Yuma,Colorado,0,0,US
2020-02-24,Yuma,Colorado,0,0,US
2020-02-25,Yuma,Colorado,0,0,US
2020-02-26,Yuma,Colorado,0,0,US
2020-02-27,Yuma,Colorado,0,0,US
2020-02-28,Yuma,Colorado,0,0,US
2020-02-29,Yuma,Colorado,0,0,US
2020-03-01,Yuma,Colorado,0,0,US
2020-03-02,Yuma,Colorado,0,0,US
2020-03-03,Yuma,Colorado,0,0,US
2020-03-04,Yuma,Colorado,0,0,US
2020-03-05,Yuma,Colorado,0,0,US
2020-03-06,Yuma,Colorado,0,0,US
2020-03-07,Yuma,Colorado,0,0,US
2020-03-08,Yuma,Colorado,0,0,US
2020-03-09,Yuma,Colorado,0,0,US
2020-03-10,Yuma,Colorado,0,0,US
2020-03-11,Yuma,Colorado,0,0,US
2020-03-12,Yuma,Colorado,0,0,US
2020-03-13,Yuma,Colorado,0,0,US
2020-03-14,Yuma,Colorado,0,0,US
2020-03-15,Yuma,Colorado,0,0,US
2020-03-16,Yuma,Colorado,0,0,US
2020-03-17,Yuma,Colorado,0,0,US
2020-03-18,Yuma,Colorado,1,0,US
2020-03-19,Yuma,Colorado,1,0,US
2020-03-20,Yuma,Colorado,1,0,US
2020-03-21,Yuma,Colorado,1,0,US
2020-03-22,Yuma,Colorado,1,0,US
2020-03-23,Yuma,Colorado,1,0,US
2020-03-24,Yuma,Colorado,1,0,US
2020-03-25,Yuma,Colorado,1,0,US
2020-03-26,Yuma,Colorado,2,0,US
2020-03-27,Yuma,Colorado,2,0,US
2020-03-28,Yuma,Colorado,2,0,US
2020-03-29,Yuma,Colorado,2,0,US
2020-03-30,Yuma,Colorado,2,0,US
2020-03-31,Yuma,Colorado,2,0,US
2020-04-01,Yuma,Colorado,2,0,US
2020-04-02,Yuma,Colorado,2,0,US
2020-04-03,Yuma,Colorado,2,0,US
2020-04-04,Yuma,Colorado,2,0,US
2020-04-05,Yuma,Colorado,2,0,US
2020-04-06,Yuma,Colorado,2,0,US
2020-04-07,Yuma,Colorado,2,0,US
2020-04-08,Yuma,Colorado,2,0,US
2020-04-09,Yuma,Colorado,2,0,US
2020-04-10,Yuma,Colorado,2,0,US
2020-04-11,Yuma,Colorado,2,0,US
2020-04-12,Yuma,Colorado,2,0,US
2020-04-13,Yuma,Colorado,2,0,US
2020-04-14,Yuma,Colorado,2,0,US
2020-04-15,Yuma,Colorado,2,0,US
2020-04-16,Yuma,Colorado,2,0,US
2020-04-17,Yuma,Colorado,2,0,US
2020-04-18,Yuma,Colorado,2,0,US
2020-04-19,Yuma,Colorado,3,0,US
2020-04-20,Yuma,Colorado,3,0,US
2020-04-21,Yuma,Colorado,3,0,US
2020-04-22,Yuma,Colorado,4,0,US
2020-04-23,Yuma,Colorado,5,0,US
2020-04-24,Yuma,Colorado,6,0,US
2020-04-25,Yuma,Colorado,6,0,US
2020-04-26,Yuma,Colorado,6,0,US
2020-04-27,Yuma,Colorado,6,0,US
2020-04-28,Yuma,Colorado,7,0,US
2020-04-29,Yuma,Colorado,8,0,US
2020-04-30,Yuma,Colorado,8,0,US
2020-05-01,Yuma,Colorado,9,0,US
2020-05-02,Yuma,Colorado,8,0,US
2020-05-03,Yuma,Colorado,9,0,US
2020-05-04,Yuma,Colorado,9,0,US
2020-05-05,Yuma,Colorado,9,0,US
2020-05-06,Yuma,Colorado,9,0,US
2020-05-07,Yuma,Colorado,10,0,US
2020-05-08,Yuma,Colorado,10,0,US
2020-05-09,Yuma,Colorado,10,0,US
2020-05-10,Yuma,Colorado,11,0,US
2020-05-11,Yuma,Colorado,11,0,US
2020-05-12,Yuma,Colorado,11,0,US
2020-05-13,Yuma,Colorado,11,0,US
2020-05-14,Yuma,Colorado,11,0,US
2020-05-15,Yuma,Colorado,12,0,US
2020-05-16,Yuma,Colorado,12,0,US
2020-05-17,Yuma,Colorado,12,0,US
2020-05-18,Yuma,Colorado,11,0,US
2020-05-19,Yuma,Colorado,11,0,US
2020-05-20,Yuma,Colorado,11,0,US
2020-05-21,Yuma,Colorado,12,0,US
2020-05-22,Yuma,Colorado,12,0,US
2020-05-23,Yuma,Colorado,15,0,US
2020-05-24,Yuma,Colorado,15,0,US
2020-05-25,Yuma,Colorado,18,0,US
2020-05-26,Yuma,Colorado,19,0,US
2020-05-27,Yuma,Colorado,19,0,US
2020-05-28,Yuma,Colorado,20,0,US
2020-05-29,Yuma,Colorado,36,0,US
2020-05-30,Yuma,Colorado,35,0,US
2020-05-31,Yuma,Colorado,35,0,US
2020-06-01,Yuma,Colorado,40,0,US
2020-06-02,Yuma,Colorado,40,0,US
2020-06-03,Yuma,Colorado,40,0,US
2020-06-04,Yuma,Colorado,42,0,US
2020-06-05,Yuma,Colorado,43,0,US
2020-06-06,Yuma,Colorado,44,0,US
2020-06-07,Yuma,Colorado,45,0,US
2020-06-08,Yuma,Colorado,48,0,US
2020-06-09,Yuma,Colorado,48,0,US
2020-06-10,Yuma,Colorado,48,0,US
2020-06-11,Yuma,Colorado,47,0,US
2020-06-12,Yuma,Colorado,47,0,US
2020-06-13,Yuma,Colorado,47,0,US
2020-06-14,Yuma,Colorado,48,0,US
2020-06-15,Yuma,Colorado,49,0,US
2020-06-16,Yuma,Colorado,49,0,US
2020-06-17,Yuma,Colorado,49,0,US
2020-06-18,Yuma,Colorado,49,0,US
2020-06-19,Yuma,Colorado,49,0,US
2020-06-20,Yuma,Colorado,49,0,US
2020-06-21,Yuma,Colorado,50,0,US
2020-06-22,Yuma,Colorado,50,0,US
2020-06-23,Yuma,Colorado,50,0,US
2020-06-24,Yuma,Colorado,51,0,US
2020-06-25,Yuma,Colorado,51,0,US
2020-06-26,Yuma,Colorado,51,0,US
2020-06-27,Yuma,Colorado,51,0,US
2020-06-28,Yuma,Colorado,51,0,US
2020-06-29,Yuma,Colorado,52,0,US
2020-06-30,Yuma,Colorado,52,0,US
2020-07-01,Yuma,Colorado,52,0,US
2020-07-02,Yuma,Colorado,52,0,US
2020-07-03,Yuma,Colorado,52,0,US
2020-07-04,Yuma,Colorado,53,0,US
2020-07-05,Yuma,Colorado,53,0,US
2020-07-06,Yuma,Colorado,53,0,US
2020-07-07,Yuma,Colorado,53,0,US
2020-07-08,Yuma,Colorado,54,0,US
2020-07-09,Yuma,Colorado,54,0,US
2020-07-10,Yuma,Colorado,54,0,US
2020-07-11,Yuma,Colorado,54,0,US
2020-07-12,Yuma,Colorado,54,0,US
2020-07-13,Yuma,Colorado,54,0,US
2020-07-14,Yuma,Colorado,54,0,US
2020-07-15,Yuma,Colorado,55,0,US
2020-07-16,Yuma,Colorado,55,0,US
2020-07-17,Yuma,Colorado,55,0,US
2020-07-18,Yuma,Colorado,55,0,US
2020-07-19,Yuma,Colorado,56,0,US
2020-07-20,Yuma,Colorado,56,0,US
2020-07-21,Yuma,Colorado,56,0,US
2020-07-22,Yuma,Colorado,56,0,US
2020-07-23,Yuma,Colorado,56,0,US
2020-07-24,Yuma,Colorado,56,0,US
2020-07-25,Yuma,Colorado,57,0,US
2020-07-26,Yuma,Colorado,57,0,US
2020-07-27,Yuma,Colorado,57,0,US
2020-07-28,Yuma,Colorado,57,0,US
2020-07-29,Yuma,Colorado,57,0,US
